,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,税费解析,小区介绍,周边配套,权属抵押,适宜人群,房源核验码
0,风景英伦，纯毛坯，看房方便，随时看。,68万,6551,溧阳市溧阳,风景英伦,3室2厅1厨2卫,高楼层 (共6层),103.81㎡,平层,暂无数据,暂无数据,西,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,低层洋房楼层较好配套齐全小区绿化环境舒适。,小区环境好，物业管理好， 小区内有儿童娱乐场，小区停车位充足，电动车充电方便，绿化高，配套全。,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,,,,,
1,风景英伦洋房，采光全天无遮挡。,65万,6500,溧阳市溧阳,风景英伦,3室2厅1厨1卫,中楼层 (共11层),100.01㎡,暂无数据,暂无数据,暂无数据,西,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-25,商品房,2018-07-12,普通住宅,暂无数据,非共有,有抵押 20万元,已上传房本照片,低层洋房楼层较好配套齐全小区绿化环境舒适。,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,小区环境好，物业管理好， 小区内有儿童娱乐场，小区停车位充足，电动车充电方便，绿化高，配套全。,,,,
2,上黄镇风景英伦洋房，纯毛坯，看房方便，随时看。,70万,5487,溧阳市溧阳,风景英伦,3室2厅1厨2卫,中楼层 (共5层),127.58㎡,暂无数据,暂无数据,暂无数据,东,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-22,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,低层洋房楼层较好配套齐全小区绿化环境舒适。,小区环境好，物业管理好， 小区内有儿童娱乐场，小区停车位充足，电动车充电方便，绿化高，配套全。,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,,,,,
3,精装大三房，房东诚心售房，看房方便。,155万,13108,溧阳市溧阳,西城花园Ⅱ区,3室2厅1厨1卫,中楼层 (共24层),118.25㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,两梯四户,有,暂无数据,2023-07-26,商品房,2020-06-12,普通住宅,暂无数据,共有,无抵押,已上传房本照片,精装大三房，房东诚心售房，看房方便。,,房 子 房 东 新 装 修，房 东 要 换  大 房 子，诚 心 售 房。,"：
此房满二1：契税，首套房90平及以下成交价的1% 二套90平及以下成交价的1% 2：个税，成交价的1个点",,"小区自带商铺有便利店能满足日常生活需要,边上有多所教育资源，出行有多路公交站台",,,
4,燕山国际低层洋房楼层较好 配套齐全小区绿化环境舒适,308万,12954,溧阳市溧阳,燕山国际花园,5室2厅1厨3卫,高楼层 (共11层),237.78㎡,暂无数据,暂无数据,塔楼,南 北,框架结构,毛坯,一梯两户,有,暂无数据,2022-03-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,燕山国际 低层洋房 楼层较好 配套齐全 小区绿化环境舒适,,业主现诚心出售，全款房 证件齐全，欢迎看房，随时恭候您看房 。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区生活设施齐全，菜市场、银行、，交通便捷； 2、小区内有健身器材，小孩游乐场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡,,,,
5,荷花新村 2室1厅 南 北,55万,6406,溧阳市溧阳,荷花新村,2室1厅1厨1卫,高楼层 (共7层),85.87㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,简装,暂无数据,无,暂无数据,2023-09-05,商品房,2018-07-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,,,,,,,,,
6,装修很好，采光好，房型方正，楼层也不错,68万,7556,溧阳市溧阳,美景天城,2室2厅1厨1卫,高楼层 (共6层),90㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,无,暂无数据,2023-08-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满五唯一，地处溧阳繁华地段，出行方便，生活便利,,,"契税：首套房，90平以下成交价的1%，90平以上成交价的1.5%；二套房，90平以下成交价的1%，90平以上成交价的2%；三套房，成交价的3%
个税：满五唯一不需要交",,,此房产权清晰，房源真实，全款无抵押，业主诚心出售，过户全程陪同,,
7,幸福城 2室1厅 南 北,88万,8843,溧阳市溧阳,幸福城,2室1厅1厨1卫,高楼层 (共33层),99.52㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,两梯四户,有,暂无数据,2023-10-03,商品房,2023-11-06,普通住宅,未满两年,非共有,有抵押 19万元,已上传房本照片,,,,,,,,,
8,溧阳，风景英伦毛坯，三室两卫，可随自己心意装修,72万,5672,溧阳市溧阳,风景英伦,3室2厅1厨2卫,低楼层 (共6层),126.95㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-11-20,商品房,2018-06-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型好，采光好，楼层好，出行方便,,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,物业管理规范，24小时安保，小区干净整洁，素质住户，有健身区和儿童游乐区。,,,人文环境好，贷款方式不限，适合首付不多的小两口，配套齐全，有菜市场，公园,
9,燕山新村三区 3室1厅 南 北,75万,9053,溧阳市溧阳,燕山新村三区,3室1厅1厨1卫,低楼层 (共5层),82.85㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,暂无数据,无,暂无数据,2024-03-08,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
10,荷花新村 3室1厅 南 北,59万,7565,溧阳市溧阳,荷花新村,3室1厅1厨1卫,中楼层 (共6层),78㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,暂无数据,无,暂无数据,2024-03-01,商品房,2018-10-29,普通住宅,暂无数据,共有,暂无数据,已上传房本照片,,,,,,,,,
11,环球融创·曹山未来城 3室2厅 南,133.8万,9813,溧阳市溧阳,环球融创·曹山未来城,3室2厅1厨2卫,中楼层 (共8层),136.35㎡,平层,暂无数据,暂无数据,南,未知结构,其他,暂无数据,暂无数据,暂无数据,2024-03-16,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
12,景鸿花园 3室1厅 南 北,110万,10577,溧阳市溧阳,景鸿花园,3室1厅1厨1卫,高楼层 (共6层),104㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,暂无数据,无,暂无数据,2024-03-01,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
13,美景天城 2室2厅 南 北,85万,10000,溧阳市溧阳,美景天城,2室2厅1厨1卫,高楼层 (共6层),85㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,暂无数据,无,暂无数据,2024-03-08,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
14,交通便利 生活设施完善 商场 采光好,85万,8965,溧阳市溧阳,中央花园(溧阳市),2室1厅1厨1卫,高楼层 (共6层),94.82㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,无,暂无数据,2023-11-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,交通便利 生活设施完善 商场 采光好,户型周正，格局分布合理，空间感好，通透性强，居住舒适: 2、楼层佳，朝向南北，视野开阔,,契税:A:首套 90平米以下1%B:首套90平米以上1.5%C;二套90平米以下1%D:二套90平米以上2%E:三套3%2.满2年免征，不满2年全额征收5.35%3.个人 :不满5年征1%满5年且房东名下唯一住房可免,小区生活实施齐全，商场，菜市场，银户型周正，格局分布合理，空间感好，通透性强，居住舒适: 2、楼层佳，朝向南北，视野开阔行等。2:小区内有健身器材，可供小区居民使用。3:小区停车位充足，建有地面临时停车位,,,,0003396
15,曹山未来城 三室两厅一厨一卫 楼层好 采光充足,125万,12887,溧阳市溧阳,环球融创·曹山未来城,3室2厅1厨1卫,中楼层 (共8层),97㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,住宅房.旅游环球融创.曹山未来城，环境好，事宜居住养老,户型.是三室两厅一厨一卫的房子，一家三口够居住，平时也可以当旅游居住点,交易方便，价格优惠，诚心出售，看房提前联系都可以看，交通也方便，,,,,,此小区事宜养生的业主们环境空气好旅游城适合长期居住有配套医疗也方便,
16,北水西花園 3室1厅 南,131万,11734,溧阳市溧阳,北水西花園,3室1厅1厨1卫,高楼层 (共11层),111.65㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,一梯两户,有,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
17,岗头新村 3室2厅 南 北,75万,5220,溧阳市溧阳,岗头新村,3室2厅1厨2卫,高楼层 (共6层),143.7㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,暂无数据,无,暂无数据,2024-02-22,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
18,凤仪湾 3室2厅 南 北,125万,10965,溧阳市溧阳,凤仪湾,3室2厅1厨2卫,高楼层 (共6层),114㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,无,暂无数据,2024-02-23,商品房,暂无数据,普通住宅,暂无数据,共有,暂无数据,未上传房本照片,,,,,,,,,
19,环球融创·曹山未来城 3室2厅 南,180万,15550,溧阳市溧阳,环球融创·曹山未来城,3室2厅0厨2卫,高楼层 (共8层),115.76㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-04,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,,,,,,,,,
20,光明英伦尊邸 3室2厅 南 北,124万,9254,溧阳市溧阳,光明英伦尊邸,3室2厅1厨2卫,高楼层 (共26层),134㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,两梯两户,有,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
21,文化新村一区 2室1厅 南,20.8万,4334,溧阳市溧阳,文化新村一区,2室1厅1厨1卫,中楼层 (共7层),48㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,暂无数据,无,暂无数据,2024-03-05,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
22,时代天悦 3室2厅 南 北,165万,15000,溧阳市溧阳,时代天悦,3室2厅1厨2卫,中楼层 (共26层),110㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,暂无数据,暂无数据,暂无数据,2024-03-03,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
23,金顶名都 3室2厅 南 北,189万,12600,溧阳市溧阳,金顶名都,3室2厅1厨2卫,低楼层 (共25层),150㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,两梯三户,有,暂无数据,2024-03-20,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
24,西城花园Ⅱ区 3室2厅 南 北,172.8万,12343,溧阳市溧阳,西城花园Ⅱ区,3室2厅1厨2卫,高楼层 (共26层),140㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,四梯两户,有,暂无数据,2024-03-05,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
25,福阳山庄 3室2厅 南,130万,10848,溧阳市溧阳,福阳山庄,3室2厅1厨2卫,中楼层 (共5层),119.84㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,暂无数据,无,暂无数据,2024-03-16,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
26,华府天第 2室1厅 南 北,130万,13334,溧阳市溧阳,华府天第,2室1厅1厨1卫,低楼层 (共20层),97.5㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,两梯三户,有,暂无数据,2024-02-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,
27,庄家小区 3室2厅 北 南,125万,10246,溧阳市溧阳,庄家小区,3室2厅1厨1卫,低楼层 (共6层),122㎡,暂无数据,暂无数据,暂无数据,北 南,未知结构,其他,暂无数据,无,暂无数据,2024-02-24,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
28,中央花园(溧阳市) 3室2厅 南 北,119.8万,9345,溧阳市溧阳,中央花园(溧阳市),3室2厅1厨1卫,高楼层 (共6层),128.21㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,无,暂无数据,2024-01-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元,未上传房本照片,,,,,,,,,
29,御湖城 3室2厅 南 北,150万,10996,溧阳市溧阳,御湖城,3室2厅1厨2卫,低楼层 (共24层),136.42㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,两梯四户,有,暂无数据,2024-03-21,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
