,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,周边配套,装修描述,售房详情,税费解析,适宜人群,权属抵押,别墅类型,交通出行,用水类型,用电类型,燃气价格
0,邹新东苑有产证优质户型南北通风，全天采光无遮挡,60万,7342,钟楼区邹区,邹新东苑,2室2厅1厨1卫,低楼层 (共27层),81.73㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主安置房，有产证可贷款，优质户型，南北通风,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,,,,,,,,
1,星光城，灯城旁，小区前排，全天采光无遮挡，中高楼层,152万,12882,钟楼区邹区,樾棠花园,3室2厅1厨2卫,高楼层 (共29层),118㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-11-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房为业主毛坯房，目前空置，全天采光无遮挡，中高楼层,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调。,居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,,,,,,,,,,
2,金洲花城 三期 精装俩室一卫  可预约看房,109万,11979,钟楼区邹区,金洲花城,2室2厅1厨1卫,中楼层 (共16层),91㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 25万元 建设银行 业主自还,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
3,房东迁移外地 出售大三室俩卫 金洲花城好楼层 有钥匙,175万,13258,钟楼区邹区,金洲花城,3室2厅1厨2卫,中楼层 (共11层),132㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯两户,有,暂无数据,2023-10-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,目前精装可拎包入住，装修好之后居住比较少，家电家具保护的比较新,,,,,,,,,
4,泰富嘉园 3室2厅 南 北,175万,14958,钟楼区邹区,泰富嘉园,3室2厅1厨2卫,高楼层 (共18层),117㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,
5,金洲花城，精装复式，带阳光房和露台，4房2卫,330万,13699,钟楼区邹区,金洲花城,4室2厅1厨2卫,高楼层 (共11层),240.9㎡,复式,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-01-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元 业主自还,未上传房本照片,精装复式楼，240平，4房2卫，前带阳光房，后带露台,小区环境优美，社区花园，绿化面积高，健身区，散步区，可以锻炼身体，24小时物业，让你有一个干净安全的居住环境，方便生活,客厅空间组合自然开阔，站在观景窗台前，园区美景一览无余。大面宽主卧，采光充分，明亮一片好心情，二人世界温馨倍至。五彩缤纷的童话世界，让孩子的天真纯洁在小小的空间灿烂呈现。书房也可做电脑房，理性与感性兼容,,房屋是精装修的4室2厅，小高层，户型方正，阳光充足，采光通风好，房子面积公摊小，物业费低。,,,,,,,,,
6,精装复式，金洲花城，172平，满五唯一,220万,12791,钟楼区邹区,金洲花城,4室2厅1厨2卫,高楼层 (共11层),172㎡,复式,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-10-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，精装复式，小高层，172平，空中花园,小区环境优美：小区带花园，楼栋之间距离远，采光通风良好，带电梯，物业管理良好，注重安保，很安全,此房看房方便只需您提前一个电话、房子172平米，4居室，南北通风户型，主卧朝南带窗，客厅，餐厅，厨房，客厅带窗，明厅，整个格局就是户户朝阳，格局相当正规，自住精装修，,生活便利：小区内有商铺，合理分布便利，购买生活用品及买菜十分便利，小区内还有其他生活配套店铺，生活十分便利。,,,,,,,,,,
7,金洲花城 中上楼层 房东自住的三室一卫,148万,12033,钟楼区邹区,金洲花城,3室2厅1厨1卫,中楼层 (共17层),123㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2023-10-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型比较好 三房朝南 楼层中上采光好,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
8,泰富嘉园二期，精装三房，南北通风，采光佳,165万,17369,钟楼区邹区,泰富嘉园,3室1厅1厨2卫,高楼层 (共18层),95㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-04-18,商品房,2024-03-06,普通住宅,未满两年,非共有,有抵押,已上传房本照片,此房精装，为业主婚装房，保养好，三房二卫，采光好，楼层佳,小区环境优美：小区带花园，楼栋之间距离远，采光通风良好，带电梯，物业管理良好，注重安保，很安全,房间格局很宽敞，采光通风俱佳，南北房型，南北通风带错层的厅，房型正气，全明户型；,生活便利：小区内有商铺，合理分布便利，购买生活用品及买菜十分便利，小区内还有其他生活配套店铺，生活十分便利,,,,,,,,,,
9,居全明格局客厅宽敞明亮精装修南北通,224万,16843,钟楼区邹区,金洲花城,3室1厅1厨2卫,高楼层 (共11层),133㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,暂无数据,2022-02-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,中间楼层、采光好，主体朝东对小区花园，无遮。格局好，动静分开,小区环境优雅，绿化好，给您与众不同的观景新感受。居住以大学教师为主，深厚的文化底蕴，人文素质高。是您理想的未来友邻。方正格局，无任何浪费空间,3居户型，大客厅，流畅的落地大阳台，，次卧朝北，全飘窗设计，宽敞舒适，采光优良，全日阳光满满,,房屋是精装修中高层，户型方正，阳光充足，采光通风好，房子面积公摊小，物业费低,,,,,,,,,
10,泰富嘉园，精装三室，东边户，带产权车位，诚心出售,170万,14518,钟楼区邹区,泰富嘉园,3室2厅1厨2卫,低楼层 (共18层),117.1㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-05-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满五，为业主首套房，带车位，精装三室，家电全留,房间格局很宽敞，采光通风俱佳；南北房型，南北通风带错层的厅，房型正气，全明户型,配套设施齐全完善，有银行，医院，邮局，各种餐馆，幼儿园，娱乐场所，公园，很方便,环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,,,,,,,,
11,名城嘉苑 3室1厅 南 北,150万,11364,钟楼区邹区,名城嘉苑,3室1厅1厨2卫,高楼层 (共10层),132㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,有,暂无数据,2022-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,
12,金洲花城，小高层，满五不唯一，精装在售,165万,16500,钟楼区邹区,金洲花城,3室2厅1厨1卫,中楼层 (共11层),100㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-11-14,商品房,2024-03-07,普通住宅,未满两年,非共有,有抵押 10万元 业主自还,已上传房本照片,房子满五不唯一，小高层，南北通透，精装修，采光好，无遮挡，，,开发商信誉好，环境优美，物业定期打理，无垃圾乱丢，整洁干净卫生,精装三房，三开间朝南，南北通透，明厨明卫，小高层，中间楼层，,,精装修，拎包入住，业主婚房自住，保养的好，无老化现象，家电家具无全坏,,,,,,,,,
13,金洲花城，优质户型，小高层，中高楼层，精装修,160万,10527,钟楼区邹区,金洲花城,4室2厅1厨2卫,中楼层 (共11层),152㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，小高层，精装修，优质户型，全天采光好,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调。,居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,,,,,,,,,,
14,泰富嘉园，配套成熟，楼下就是商场,180万,13968,钟楼区邹区,泰富嘉园,3室2厅1厨2卫,低楼层 (共18层),128.87㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-11-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子满二，业主诚心出售，配套成熟，环境优美，居住舒服，楼下，,小区环境优美，临河而建，出门就是商场，开发商信誉好，空气清新宜人,小区房子满五，格局好，楼栋无老化，南北通透，采光条件好，业主,,,业主青枫公园有房，还是想搬到清枫公园去，这里房子变现，诚心出售,,,,,,,,
15,房东自住房 诚心可议价 金洲花城好楼层 三室一卫,138万,12213,钟楼区邹区,金洲花城,3室2厅1厨1卫,中楼层 (共11层),113㎡,平层,暂无数据,板楼,东,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 建行 业主自还,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
16,老俩口自住的 金洲花城 好楼层 三室一卫,138万,11500,钟楼区邹区,金洲花城,3室2厅1厨1卫,中楼层 (共17层),120㎡,平层,暂无数据,板楼,东,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好视野宽阔，采光足，自住房保养不错，诚心买卖,"小区环境好，交通方便、快捷
13.小区多层，高层都带有电梯，方便业主的上、下楼的出入。。
18.小区内部设有多处健身器材和小孩的游乐设施。
19.小区楼房产品种类多，有别墅，多层，高层等等，可以满足不同的业主。","2.户型好(动静分区，人性化方便) 
俩房朝南，采光充足
 3. 五证齐全，可做银行按揭，首付低，月供压力小。",.小区有内外铺，方便了业主的生活，可以满足业主的一切吃、喝、玩、乐。,,,,,,,,,,
17,金洲花城，优质户型，四房2卫，前排别墅区，采光好,225万,18750,钟楼区邹区,金洲花城,4室2厅1厨2卫,中楼层 (共11层),120㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-07-16,商品房,2024-03-07,普通住宅,未满两年,非共有,无抵押,已上传房本照片,此房屋为业主婚房，三房朝南，明厨明卫 满五,小区环境优美：小区带花园，楼栋之间距离远，采光通风良好，带电梯，物业管理良好，注重安保，很安全,此房户型方正，南北通透，光线良好，十分适合居住格局好，动静分开。 布局合理，公摊面积小，空气流通，永远让客厅和卧室保持着新鲜的空气，有益身体健康,生活便利：小区内有商铺，合理分布便利，购买生活用品及买菜十分便利，小区内还有其他生活配套店铺，生活十分便利。,,,,,,,,,,
18,金洲花城 精装修 中间楼层 拎包入住,120万,12904,钟楼区邹区,金洲花城,2室2厅1厨1卫,中楼层 (共16层),93㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-05-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"核卖点：
高楼层，视野开阔，采光充足，交通便利",,"户型介绍：
楼层好，采光充足，配套齐全，四室两厅一厨两卫，客厅带阳台，视野开阔",,,"售房详情：
房东处理财产，诚心出售，价格可以再谈，欢迎看房，随时恭候，本公司经过层层筛选，房东委托挂牌，诚心出售，价格以房东为准。产权清晰，无任何经济纠纷，请放心考虑。","税费解析：
1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税",,,,,,,
19,泰富嘉园 3室1厅 南,210万,16031,钟楼区邹区,泰富嘉园,3室1厅1厨2卫,高楼层 (共18层),131㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-28,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,
20,名城嘉苑，精装舒适小户型，南北通风，采光好,140万,14584,钟楼区邹区,名城嘉苑,2室2厅1厨1卫,中楼层 (共10层),96㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,暂无数据,2022-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 70万元,未上传房本照片,此房为精装舒适小户型，边户，南北通风，采光好，前排别墅区,环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,此房户型方正，南北通风，光线良好，十分适合居住！业主准备迁居，低于市场价出售,生活便利：小区内有商铺，合理分布便利，购买生活用品及买菜十分便利，小区内还有其他生活配套店铺，生活十分便利,,,,,,,,,,
21,好位置 前排无遮挡 金洲花城 俩室一卫,120万,13044,钟楼区邹区,金洲花城,2室2厅1厨1卫,中楼层 (共11层),92㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位,,,,,,,,,,
22,精装欧式风格，楼层好，视野开阔，交通便利，采光充足,160万,17709,钟楼区邹区,金洲花城,2室2厅1厨1卫,中楼层 (共11层),90.35㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-12-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,精装欧式风格，楼层好，视野开阔，交通便利，采光充足,,楼层好，采光充足，配套齐全，两室二厅一厨一卫。客厅带阳台，视野开阔,,,产权清晰，无纠纷； 房东置换，诚心出售， 看房方便，看中即签！ 随时恭候您的来电,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,,
23,金洲花城，南北通风，优质户型，全天采光无遮挡,120万,13044,钟楼区邹区,金洲花城,2室2厅1厨1卫,中楼层 (共11层),92㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，目前空置，优质户型，全天采光无遮挡,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,,,,,,,,
24,业主精装自住房，目前空置，优质户型，全天采光无遮挡,140万,11383,钟楼区邹区,金洲花城,3室2厅1厨1卫,中楼层 (共11层),123㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2024-03-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房为业主精装自住房，目前空置，优质户型，全天采光无遮挡,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
25,不的了，不的了房东诚心出售价格可谈,96万,10304,钟楼区邹区,金洲花城,2室2厅1厨1卫,低楼层 (共11层),93.17㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，目前空置，优质户型，全天采光无遮挡,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住 　小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,,,
26,包含车位！急售！急售！樾棠花园 三室俩卫 有钥匙在手,155万,13136,钟楼区邹区,樾棠花园,3室2厅1厨2卫,中楼层 (共29层),118㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-11-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 60万元 农业银行 业主自还,未上传房本照片,包含车位！价格有优势，户型方正楼层好，视野开阔充足采光，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
27,泰富嘉园 3室2厅 南,200万,13450,钟楼区邹区,泰富嘉园,3室2厅1厨2卫,低楼层 (共18层),148.7㎡,暂无数据,暂无数据,板塔结合,南,砖混结构,精装,两梯三户,有,暂无数据,2023-11-13,商品房,暂无数据,普通住宅,暂无数据,共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,
28,泰富嘉园二期精装修 两室两厅一厨一卫 家电家具齐全,120万,14507,钟楼区邹区,泰富嘉园,2室1厅1厨1卫,高楼层 (共18层),82.72㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局方正 楼层好 采光好 交通便利 家电家具齐全,,好楼层 无遮挡 采光好 户型方正 空间好设计合理无任何浪费空间,小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，小区外有公园环境优美,,,,,此房目前为无抵押状态 可随时出手 房东心态很稳，您无需担心房东跳价问题！,,,,,
29,金洲花城 少有的三室俩卫 精装家电家具,142万,11452,钟楼区邹区,金洲花城,3室2厅1厨2卫,低楼层 (共17层),124㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
30,泰富嘉园 4室2厅 南,238万,16963,钟楼区邹区,泰富嘉园,4室2厅1厨2卫,中楼层 (共18层),140.31㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-04,商品房,2016-03-04,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,
31,金洲花城 精装修3房 高楼层 采光好 配套齐全,165万,14001,钟楼区邹区,金洲花城,3室2厅1厨1卫,高楼层 (共11层),117.85㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-02-08,商品房,2016-08-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房户型方正 三室两厅一厨一卫 高楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民小使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,,,
32,那想卖又纠结价格的金洲花城房东,148万,11213,钟楼区邹区,金洲花城,3室2厅1厨2卫,中楼层 (共11层),132㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,两梯两户,有,暂无数据,2023-10-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房原房东自住房保养好，户型方正得房率高，留精装家电家具。,五证齐全，可做银行按揭，首付低，月供压力小。小区活动空间大，采光好。小区多层，高层都带有电梯，方便业主的上、下楼的出入。。,,.附件教育、医疗、便利店齐全，小区有内外铺，方便了业主的生活，可以满足业主的一切吃、喝、玩、乐。,,房东现在搬到离孩子上学近的地方，这边便空置下来了，目前正在搬家，后期随时看房,,,,,,,,
33,泰富嘉园，优质户型，南北通风，双阳台，精装自住,198万,13027,钟楼区邹区,泰富嘉园,4室2厅1厨2卫,低楼层 (共18层),152㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-02-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，优质户型，全天采光无遮挡，南北通风,环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,配套：全民健身设施齐全；公园，医院，中国银行、中国农业银行。该小区属于普通住宅，南北户型，采光好，主体朝东对小区花园，无遮挡，格局好，动静分开。 布局合理,,,,,,,,,,
