,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,周边配套,装修描述,售房详情,税费解析,适宜人群,权属抵押,别墅类型,交通出行,用水类型,用电类型,燃气价格
34,金洲花城，边户，大院子，毛坯，带露台，优质户型,800万,20888,钟楼区邹区,金洲花城,6室2厅1厨3卫,低楼层 (共2层),383㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2022-12-31,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,此房为业主改善房，毛坯带露台，带院子，随时看,小区环境优雅，深厚的文化底蕴，方正格局，无任何浪费空间，房本产权清晰，无任何抵押可随时过户,大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满,交通十分方便，快捷！配套：全民健身设施齐全；公园，医院，中国银行、中国农业银行,,,,,,暂无数据,,,,
35,星光城二期，优质户型，前排，全天采光无遮挡，,175万,14899,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨2卫,低楼层 (共30层),117.46㎡,暂无数据,暂无数据,板塔结合,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-02,商品房,2023-02-25,普通住宅,未满两年,共有,有抵押,已上传房本照片,此房为业主毛坯房，优质户型，中上楼层，全天采光无遮挡,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调。,,,,,,,,,,
36,金洲花城 3室2厅 东南,155万,11773,钟楼区邹区,金洲花城,3室2厅1厨2卫,中楼层 (共11层),131.66㎡,暂无数据,暂无数据,板楼,东南,钢混结构,毛坯,两梯两户,有,暂无数据,2023-10-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,
37,泰富嘉园 3室1厅 北 南,155万,13136,钟楼区邹区,泰富嘉园,3室1厅1厨2卫,中楼层 (共18层),118㎡,暂无数据,暂无数据,板楼,北 南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,
38,星光城好楼层 三室一卫 简单拎包入住,153万,15000,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨1卫,高楼层 (共32层),102㎡,暂无数据,暂无数据,板塔结合,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-11-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好  房东名下无贷款 可随时过户,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
39,星光城，灯城旁，简装三室，中间楼层，优质户型,135万,13107,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨1卫,中楼层 (共30层),103㎡,暂无数据,暂无数据,板塔结合,南 北,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-10-31,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房为业主简装自住房，目前出租，优质户型，全天采光无遮挡,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调。,居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,,,,,,,,,,
40,泰富广场旁金洲花城房东诚心出售户型方正,136万,11031,钟楼区邹区,金洲花城,3室2厅1厨1卫,低楼层 (共17层),123.3㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-10,商品房,2015-05-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"卖点：
卖点： 卖点： 卖点： 核卖点： 卖点： 卖点： 精装..","小区介绍：
小区介绍： 小区介绍： 小区介绍： 小区介绍： 小区介绍： 小区介绍： 1、环境优雅，低密度社区 2、小区绿化高，地理位置得天独厚，出行方便！","户型介绍：
户型介绍： 户型介绍： 户型介绍： 户型介绍： 户型介绍： 户型介绍： 房源优势正规户型，日照充足，空气流畅，格局合理，没有浪费面积，利用空间大，是 的好户型",,,,"税费解析：
税费解析： 税费解析： 税费解析： 税费解析： 税费解析： 税费解析： 房子是商品房，这套房子在交易的时候需要缴纳1.5%的契税（首套房），1%的个人所得税。",,,,,,,
41,钟楼区大别墅 邹区高品质小区花园350平米,1180万,24082,钟楼区邹区,泰富花园公馆,5室2厅1厨4卫,低楼层 (共3层),490㎡,,暂无数据,,东,钢混结构,毛坯,,,暂无数据,2022-10-31,商品房,暂无数据,别墅,暂无数据,共有,有抵押 业主自还,未上传房本照片,双拼花园大 位置佳水洗景观 小公园门口 适合居住养老,小区人车分流 花园每一层一个花园 看起来很不错我 物业好 楼间距大,,青枫公园 梧桐苑菜场龙湖天街 交通方便出门就是生活期......,,,,适合换别墅的客户 联排换大平层这样客户来 首付高的客户 ........,,双拼,,,,
42,星光城一期，毛坯房，优质户型，全天采光无遮挡，出租,185万,13603,钟楼区邹区,嘉宏MOOC星光城,4室2厅1厨2卫,低楼层 (共32层),136㎡,暂无数据,暂无数据,板塔结合,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房为业主毛坯房，目前出租，优质户型，南北通风采光好,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调。,3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,,,,,,,,,,
43,名城嘉苑，优质户型，精装修，家电齐全，采光无遮挡,152万,11429,钟楼区邹区,名城嘉苑,4室2厅1厨2卫,低楼层 (共11层),133㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，目前自住，优质户型，全天采光无遮挡,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调。,,,,,,,,,,
44,名城嘉苑，复式楼，中高楼层，全天采光无遮挡,175万,9723,钟楼区邹区,名城嘉苑,4室2厅1厨2卫,高楼层 (共11层),180㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,暂无数据,2023-10-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，目前自住，全天采光无遮挡，中高楼层,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,,,,,,,,,,
45,水岸馨苑，楼梯房，精装两室，采光好，优质户型，南北,100万,11765,钟楼区邹区,水岸馨苑,2室2厅1厨1卫,中楼层 (共6层),85㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，目前空置，优质户型，全天采光无遮挡,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,,,,,,,,,,
46,金源华庭，满五唯一，全天采光无遮挡，南北通风,100万,10614,钟楼区邹区,金源华庭,2室2厅1厨1卫,高楼层 (共9层),94.22㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-11-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，优质户型，中高楼层,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,,,,,,,,
47,金洲花城，大平层，顶楼复式，精装修，全天采光无遮挡,280万,13726,钟楼区邹区,金洲花城,4室2厅1厨2卫,高楼层 (共11层),204㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2022-05-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满五，为业主婚房，精装复式楼，视野好，全天采光无遮挡,环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,房间格局很宽敞，采光通风俱佳；舒适四房，南北房型，南北通风带错层的厅，房型正气，全明户型,配套设施齐全完善，有银行，医院，邮局，各种餐馆，幼儿园，娱乐场所，公园很方便。,,,,,,,,,,
48,户型周正，格局分布合理，空间感好，通透性强。,160万,12095,钟楼区邹区,名城嘉苑,3室2厅1厨2卫,中楼层 (共11层),132.29㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-02-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强。,1.小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，小型篮球场，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻。,,生活配套齐全，医院，菜场，银行都有，成熟齐全，楼栋清晰分明，坐落有序，现场体验效果更加明显,,房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,小区楼下有共享单车，门口公交有多条线路，可到达火车站等，交通四通八达，小区门口即是环城主干道，可通往常州各个区域。,,,
49,精装修 全明格局 房东诚意出售好沟通,138万,10376,钟楼区邹区,金源华庭,3室2厅1厨2卫,低楼层 (共9层),133㎡,暂无数据,暂无数据,板楼,东南 南,钢混结构,精装,一梯两户,有,暂无数据,2022-09-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,一梯两户，房屋全明格局，精装修 房子楼层好，户型方正,,采光好， 南北通风好 ，厨房宽敞，餐客厅分明， 空间宽敞，明厨明卫，通风条件好,,,此房为南北房型，房子很漂亮，保养比较好，价格实惠：家电齐全，，自住皆可，配套成熟社区，配套设施齐全，菜场，娱乐场所等，适宜居住，让你步行满足一切,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,,
50,星光城103平毛坯3房，中上楼层，有钥匙随时看，包税,140万,13593,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨1卫,高楼层 (共30层),103㎡,暂无数据,暂无数据,板塔结合,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,客厅宽敞舒适，使用率高 ，朝南户型,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好，乐于助人，相处和谐,,,,,"税费解析：1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证满5年，但非房主在本市唯一一套住房，故缴税成交价的1%",,,,,,,
51,金洲花城，优质户型，小高层，南北通风，采光好,99万,10646,钟楼区邹区,金洲花城,2室2厅1厨1卫,中楼层 (共11层),93㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房为业主精装自住房，优质户型，全天采光无遮挡，南北通风,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调。,,,,,,,,,,
52,推荐！星光城好楼层 三室一卫 简装,145万,14216,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨1卫,中楼层 (共32层),102㎡,暂无数据,暂无数据,板塔结合,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-10-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
53,少有的户型65平 一室一厅一卫 好楼层售价75万,78万,11966,钟楼区邹区,金洲花城,1室1厅1厨1卫,中楼层 (共11层),65.19㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-11-12,商品房,2013-11-06,普通住宅,暂无数据,共有,有抵押 25万元 工商银行 业主自还,已上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
54,泰富嘉园，公园旁，毛坯两室，中高楼层，采光佳,110万,13254,钟楼区邹区,泰富嘉园,2室2厅1厨1卫,高楼层 (共18层),83㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-05-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五，为业主首套房，毛坯两室，中高楼层，全天采光,环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,房间格局很宽敞，采光通风俱佳；舒适两房，南北房型，南北通风房型正气，全明户型,配套设施齐全完善，有银行，医院，邮局，各种餐馆，幼儿园，娱乐场所，很方便。,,,,,,,,,,
55,此房户型方正，两室两厅一厨两卫 高楼层  配套完善,98万,10538,钟楼区邹区,金洲花城,2室2厅1厨1卫,中楼层 (共11层),93㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 23万元 业主自还,未上传房本照片,此房户型方正，两室两厅一厨两卫 高楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,,,
56,星光城全天采光无遮挡 小区绿化工程很好,128万,12428,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨1卫,低楼层 (共29层),103㎡,暂无数据,暂无数据,板塔结合,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-11-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,楼层好 视野开阔明亮 ，采光好， 双阳台、,，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局，无任何浪费空间，房本产权清晰。,3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局，无任何浪费空间，房本产权清晰，无任何抵押可随时过。,,毛坯房、 三室二厅二卫、 交通方便、 小区绿化也很好、 通风好,,,,,,,,,
57,此房满五，为业主首套房，精装三室，家电全留,145万,12289,钟楼区邹区,泰富嘉园,3室2厅1厨1卫,高楼层 (共18层),118㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-05-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五，为业主首套房，精装三室，房东保养好 家电全留,房间格局很宽敞，采光通风俱佳；南北房型，南北通风带错层的厅，房型正气，全明户型,配套设施齐全完善，有银行，医院，邮局，各种餐馆，幼儿园，娱乐场所，公园，很方便,环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,,,,,,,,
58,少有的边户 有大院子有地下室 名城嘉苑别墅,590万,16121,钟楼区邹区,名城嘉苑,5室2厅1厨3卫,低楼层 (共2层),366㎡,,暂无数据,,东南,钢混结构,简装,,,暂无数据,2023-10-25,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔，充足采光，重要是房东诚意出售,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善。有保洁员，维护小区卫生和绿化。,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和大型体育广场，生活配套齐全，出入便利、银行、医院设施齐全，属于成熟小区，适宜居位,,,,适合家庭人口较多或者想置换生活条件的老板们，目前总价比较靠谱，欢迎来谈,,联排,,,,
59,名城嘉苑，优质户型，中上楼层，小高层，前排别墅去,155万,11768,钟楼区邹区,名城嘉苑,3室1厅1厨2卫,高楼层 (共11层),131.72㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房为业主精装自住房，南北通风，双阳台，优质户型,十分适合居住，环境按照规划整理后，环境优美！环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局，无任何浪费空间,小区环境优美，社区花园，绿化面积高，健身区，散步区，可以锻炼身体，让你有一个干净安全的居住环境，方便生活,,,,,,,,,,
60,金洲花城优质户型，全天采光，无遮挡中高楼层南北通风,145万,10922,钟楼区邹区,金洲花城,3室2厅1厨2卫,高楼层 (共11层),132.77㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装修自住房南北通风，全天采光,环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情,，3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,,,,,,,,,,
61,邹区星光城 四室俩卫 中上楼层 全天采光无遮挡,200万,14493,钟楼区邹区,嘉宏MOOC星光城,4室2厅1厨2卫,中楼层 (共32层),138㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-27,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房为业主毛坯房，目前空置，全天采光无遮挡，优质户型,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,4居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
62,樾棠花园 3室2厅 南 北,198万,14348,钟楼区邹区,樾棠花园,3室2厅1厨2卫,中楼层 (共29层),138㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,暂无数据,暂无数据,暂无数据,2024-01-19,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,
63,星光城二期，优质户型，全天采光无遮挡，中高楼层,180万,13044,钟楼区邹区,樾棠花园,3室2厅1厨2卫,中楼层 (共29层),138㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,暂无数据,暂无数据,暂无数据,2024-01-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房为业主毛坯房，目前空置，全天采光无遮挡，中高楼层,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,,,,,,,,
64,名城嘉苑 简装三室一卫 目前空置 有钥匙看房,125万,10000,钟楼区邹区,名城嘉苑,3室2厅1厨1卫,低楼层 (共11层),125㎡,暂无数据,暂无数据,板楼,东,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-12-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房东诚意出售，价格好谈，户型方正，采光无影响,"小区介绍
小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善",,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
65,嘉宏MOOC星光城 5室2厅 南,230万,14557,钟楼区邹区,嘉宏MOOC星光城,5室2厅1厨3卫,高楼层 (共32层),158㎡,暂无数据,暂无数据,板塔结合,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,
66,名城嘉苑复式楼精装修户型方正采光好,260万,13000,钟楼区邹区,名城嘉苑,5室2厅1厨3卫,高楼层 (共11层),200㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，目前空置，优质户型，全天采光无遮挡,小区介绍：采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,户型介绍：3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格,配套：环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
67,邹新东苑好楼层 9楼毛坯 位置也好 赶紧来看,62万,7750,钟楼区邹区,邹新东苑,2室2厅1厨1卫,中楼层 (共27层),80㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-11-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位,,,,,,,,,,
