,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,周边配套,装修描述,售房详情,税费解析,适宜人群,权属抵押,别墅类型,交通出行,用水类型,用电类型,燃气价格
68,邹区星光城，全天采光无遮挡，小区前排，精装修,188万,18253,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨1卫,中楼层 (共30层),103㎡,平层,暂无数据,板塔结合,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，目前出租中，全天采光无遮挡，中好楼层,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,,,,,,,,
69,星光城一期，精装修，优质户型，全天采光无遮挡，南北,160万,13560,钟楼区邹区,嘉宏MOOC星光城,3室1厅1厨2卫,低楼层 (共30层),118㎡,暂无数据,暂无数据,板塔结合,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,此房为业主精装自住房，全天采光无遮挡，中高楼层，优质户型,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有,,,,,,,,,,
70,推荐这套来看 金洲花城 精装修俩室一卫,105万,11414,钟楼区邹区,金洲花城,2室2厅1厨1卫,低楼层 (共11层),92㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
71,泰富嘉园二期 三室两厅一厨一卫 精装修 拎包入住,155万,13160,钟楼区邹区,泰富嘉园,3室2厅1厨1卫,低楼层 (共18层),117.79㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2024-01-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房格局好采光佳 边户前排无遮挡 精装修家电家具齐全保养好,小区环境优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,精装修家电家具齐全 全屋保养较好 可拎包入住 户型方正设计合理无浪费空间,,,,无贷款抵押。房东着急出售，房东心态很稳，您无需担心房东跳价问题。,,,,,
72,嘉宏MOOC星光城 3室2厅 北 南,160万,15534,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨1卫,高楼层 (共30层),103㎡,暂无数据,暂无数据,板塔结合,北 南,未知结构,其他,暂无数据,暂无数据,暂无数据,2024-01-22,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,
73,"新小区电梯房房屋,户型端正采光好,可贷款",63万,7875,钟楼区邹区,邹新东苑,2室2厅1厨1卫,低楼层 (共27层),80㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,有产证，电梯房，可贷款，价格便宜,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居,,,,,,,,,,
74,泰富嘉园 中上好楼层 四室俩卫 精装装出售,199万,14203,钟楼区邹区,泰富嘉园,4室2厅1厨2卫,高楼层 (共18层),140.12㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2023-12-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
75,邹新东苑，毛坯，全天采光无遮挡，优质户型，看房提前,65万,8125,钟楼区邹区,邹新东苑,2室2厅1厨1卫,低楼层 (共27层),80㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯六户,有,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主毛坯房，目前空置，全天采光无遮挡，优质户型，中高楼,居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,,,,,,,,
76,邹新东苑，全天采光无遮挡，中高楼层，优质户型,63万,7875,钟楼区邹区,邹新东苑,2室2厅1厨1卫,高楼层 (共27层),80㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-12-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主毛坯房，目前空置，全天采光无遮挡，中高楼层，优质户,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情,,,,,,,,,,
77,邹新东苑，优质户型，全天采光无遮挡，有钥匙,63万,7875,钟楼区邹区,邹新东苑,2室2厅1厨1卫,中楼层 (共27层),80㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯六户,有,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主毛坯自住房，目前空置，全天采光无遮挡，有钥匙,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,,,,,,,,
78,凯旋门大酒店 2室1厅 北,45万,5661,钟楼区邹区,凯旋门大酒店,2室1厅1厨1卫,中楼层 (共24层),79.5㎡,暂无数据,暂无数据,板塔结合,北,钢混结构,精装,两梯五户,有,暂无数据,2024-02-21,商品房,暂无数据,商住两用,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,未知,未知,2.45元/m3
79,泰富嘉园 2室2厅 南 北,118万,13259,钟楼区邹区,泰富嘉园,2室2厅1厨1卫,中楼层 (共18层),89㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-14,商品房,2013-01-01,普通住宅,未满两年,非共有,暂无数据,已上传房本照片,,,,,,,,,,,,,,
80,采光无遮挡 低总价 户型方正 房东诚心出售,110万,9167,钟楼区邹区,邹新东苑,3室2厅1厨1卫,高楼层 (共27层),120㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,暂无数据,2024-01-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型好，朝南舒适，全天采光。房型方正视野好。干湿分离,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居住,,,,,,,,,,
81,邹新东苑好楼层 三室两卫一厨两卫 毛坯 采光好,115万,9584,钟楼区邹区,邹新东苑,3室2厅1厨2卫,中楼层 (共27层),120㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,采光好楼层佳 格局方正 设计合理 没有浪费空间 配套设施齐全,,新小区新楼盘 采光好 楼层佳 主卧朝南带窗，客厅，餐厅，厨房，客厅带窗，明厅，整个格局就是户户朝阳,,此房目前为毛坯房 格局方正无变动 户型设计合理没有浪费空间,,,,没有贷款 房东诚心出售，房东心态很稳，您无需担心房东跳价问题！,,,,,
82,热门房源 邹区星光城花园 前排无遮挡 三室一卫,140.8万,13804,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨1卫,低楼层 (共29层),102㎡,暂无数据,暂无数据,板塔结合,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2024-01-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
83,新小区电梯房采光好可贷款交通方便,75万,9375,钟楼区邹区,邹新东苑,2室2厅1厨1卫,中楼层 (共27层),80㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-12-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,有产证，电梯房，可贷款，价格便宜,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居,,,,,,,,,,
84,采光无遮挡，低总价，此房户型方正，南北通风，光线良,60万,7500,钟楼区邹区,邹新东苑,2室2厅1厨1卫,低楼层 (共27层),80㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,,,,,,,,,,
85,樾棠花园 3室2厅 南,145万,12394,钟楼区邹区,樾棠花园,3室2厅1厨1卫,高楼层 (共29层),117㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,
86,嘉宏MOOC星光城 3室2厅 南,158万,15573,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨1卫,低楼层 (共32层),101.46㎡,暂无数据,暂无数据,板塔结合,南,未知结构,其他,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,
87,"新小区电梯房'户型端正,采光好交通便利.",110万,9167,钟楼区邹区,邹新东苑,3室2厅1厨2卫,低楼层 (共27层),120㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,暂无数据,2024-01-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型好，朝南舒适，全天采光。房型方正视野好。干湿分离 格局..,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居,,,,,,,,,,
88,金洲花城 3室2厅 南,145万,11789,钟楼区邹区,金洲花城,3室2厅1厨1卫,中楼层 (共17层),123㎡,暂无数据,暂无数据,板楼,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-18,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,
89,嘉宏MOOC星光城 4室2厅 南,165万,11957,钟楼区邹区,嘉宏MOOC星光城,4室2厅1厨2卫,高楼层 (共32层),138㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 40万元,未上传房本照片,,,,,,,,,,,,,,
90,优质房源 泰富二期中上楼层 三室俩卫,158万,13439,钟楼区邹区,泰富嘉园,3室2厅1厨2卫,中楼层 (共18层),117.57㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-21,商品房,2016-01-14,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
91,樾棠花园 3室2厅 南,155万,13248,钟楼区邹区,樾棠花园,3室2厅1厨2卫,低楼层 (共29层),117㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元,未上传房本照片,,,,,,,,,,,,,,
92,金洲花城，飞机户型，中间楼层，全天采光无遮挡,129万,10662,钟楼区邹区,金洲花城,3室2厅1厨1卫,中楼层 (共17层),121㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,暂无数据,2024-03-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，目前出租中，优质户型全天采光无遮挡,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,,,,,,,,
93,热门小区邹新东苑电梯房120平三房二厅一厨二卫,89万,7417,钟楼区邹区,邹新东苑,3室2厅1厨2卫,高楼层 (共27层),120㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,暂无数据,2023-12-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,有产证，电梯房，可贷款，价格便宜,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
94,钟楼邹区灯具城旁，小区前排全天采光，户型好配套齐全,150万,12821,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨2卫,低楼层 (共29层),117㎡,平层,暂无数据,板塔结合,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 70万元,未上传房本照片,小区最前排，全天采光，总高22层，户型方正,嘉宏开发商，物业费2.2，小区体量不大，住户素质好，环境优美,,,,,满两年免增值税，首套契税1.5%，个税1%。没有其他税费了，看中了几个好谈的,配套齐全，适合喜欢低楼层，但又对采光要求高的。适合在灯具城和凌家塘工作的,,,,,,
95,此房满五唯一，精装拎包住，楼层好，位置好,85万,10072,钟楼区邹区,水岸馨苑,2室2厅1厨1卫,中楼层 (共6层),84.4㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，精装拎包住，楼层好，位置好，视线采光好,小区比较新，管理比较好，物业费不贵，小区安静，绿化高，环境很好,,,客厅宽敞大方，明亮通透，采光效果好，视野宽阔，使用率高，舒适安静，适宜居住,,买家首套契税：面积＜ 90平米1%，面积≥90平米1.5%；二套契税：面积＜ 90平米1%，面积≥90平米2%；三套契税：3%。个人所得税卖家满五唯一免征。商铺公寓地产3%契税。房屋契税时间不满2年，缴纳5.3%增值税,,,,,,,
96,新小区电梯房采光好'交通便利小区环境优美,110万,9167,钟楼区邹区,邹新东苑,3室2厅1厨2卫,中楼层 (共27层),120㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型好，朝南舒适，全天采光。房型方正视野好。干湿分离 格局..,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居,,,,,,,,,,
97,采光无遮挡，低总价，此房户型方正，南北通风，光线良,60万,7500,钟楼区邹区,邹新东苑,2室2厅1厨1卫,高楼层 (共27层),80㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-12-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有,3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,,,,,,,,,,
98,嘉宏MOOC星光城 3室2厅 南,185万,15795,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨2卫,高楼层 (共30层),117.13㎡,暂无数据,暂无数据,板塔结合,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,
99,水岸馨苑   精装  复式楼   价格可谈,92万,10916,钟楼区邹区,水岸馨苑,4室2厅1厨2卫,高楼层 (共6层),84.28㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，目前空置，优质户型，全天采光无遮挡,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
100,金洲花城，优质户型，全天采光无遮挡，精装修，随时看,78万,11471,钟楼区邹区,金洲花城,2室1厅1厨1卫,中楼层 (共11层),68㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，目前自住，全天采光无遮挡，中高楼层,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,,,,,,,,
101,金洲花城 5室2厅 南,248万,12654,钟楼区邹区,金洲花城,5室2厅1厨2卫,高楼层 (共11层),196㎡,暂无数据,暂无数据,板楼,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,
102,金洲花城 3室2厅 南,120万,10629,钟楼区邹区,金洲花城,3室2厅1厨1卫,低楼层 (共11层),112.9㎡,暂无数据,暂无数据,板楼,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-04,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,
103,星光城花园，优质户型，中高楼层，全天采光无遮挡,183万,13261,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨2卫,高楼层 (共30层),138㎡,暂无数据,暂无数据,板塔结合,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房为业主住房，全天采光无遮挡，优质户型，中高楼层,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调。,,,,,,,,,,
104,邹区凯旋门公寓 俩室一卫 精装拎包入住,60万,5556,钟楼区邹区,凯旋门大酒店,2室1厅1厨1卫,中楼层 (共24层),108㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
105,樾棠花园 3室2厅 南,158万,13505,钟楼区邹区,樾棠花园,3室2厅1厨2卫,低楼层 (共29层),117㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,
106,邹新东苑 2室2厅 南,64万,8000,钟楼区邹区,邹新东苑,2室2厅1厨1卫,低楼层 (共27层),80㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,
107,次新小区配套齐全户型方正格局好全天采光,110万,9167,钟楼区邹区,邹新东苑,3室2厅1厨2卫,高楼层 (共27层),120㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,有产证，电梯房，可贷款，价格便宜,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位,,,,,,,,,,
