,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,周边配套,装修描述,售房详情,税费解析,适宜人群,权属抵押,别墅类型,交通出行,用水类型,用电类型,燃气价格
108,新小区房屋户型端正采光好小区环境优美,64万,8000,钟楼区邹区,邹新东苑,2室2厅1厨1卫,高楼层 (共27层),80㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型好，朝南舒适，全天采光。房型方正视野好。干湿分离 格局..,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居,,,,,,,,,,
109,金洲花城，优质户型，南北通风，全天采光无遮挡,102万,11087,钟楼区邹区,金洲花城,2室2厅1厨2卫,中楼层 (共9层),92㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，目前自住，优质户型，全天采光无遮挡,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调。,,,,,,,,,,
110,金洲花城，南北通风，优质户型，全天采光无遮挡,99万,10761,钟楼区邹区,金洲花城,2室2厅1厨1卫,中楼层 (共11层),92㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房为业主精装自住房，目前自住，全天采光无遮挡，优质户型,居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,,,,,,,,
111,金洲花城，优质户型，全天采光无遮挡，南北通风有钥匙,138万,11220,钟楼区邹区,金洲花城,3室2厅1厨2卫,中楼层 (共17层),123㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-16,商品房,2018-01-01,普通住宅,未满两年,共有,无抵押,已上传房本照片,此房为业主精装自住房，目前空置，全天采光无遮挡，有钥匙,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,,,,,,,,
112,名城嘉苑，联排别墅，精装修，带前后花园，阳光房，露,380万,13014,钟楼区邹区,名城嘉苑,4室2厅1厨2卫,低楼层 (共2层),292㎡,,暂无数据,,南 北,钢混结构,精装,,,暂无数据,2024-03-11,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，目前自住，全天采光无遮挡，随时看,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,,,,联排,,,,
113,金洲花城 3室2厅 南,138万,10376,钟楼区邹区,金洲花城,3室2厅1厨2卫,低楼层 (共11层),133㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2024-03-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,
114,邹新东苑 前排位置 120平三室俩卫 有钥匙看房,115万,9584,钟楼区邹区,邹新东苑,3室2厅1厨2卫,低楼层 (共26层),120㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,三梯六户,有,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
115,户型方正 采光通透 泰富边上 房东诚心出售,65万,7950,钟楼区邹区,邹新东苑,2室2厅1厨1卫,中楼层 (共27层),81.77㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,暂无数据,2023-12-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型好，朝南舒适，全天采光。房型方正视野好。干湿分离 格局..,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居,,,,,,,,,,
116,金洲花城 3室2厅 南,150万,12196,钟楼区邹区,金洲花城,3室2厅1厨1卫,中楼层 (共17层),123㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-21,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 100万元 客户偿还,未上传房本照片,,,,,,,,,,,,,,
117,邹新东苑，低总价，毛坯房，双阳台，房东诚售,61.5万,7593,钟楼区邹区,邹新东苑,2室2厅1厨1卫,高楼层 (共27层),81㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2024-02-28,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房为业主住宅，目前空置，全天采光无遮挡，中高楼层,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,2居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,,,,,,,,,,
118,泰富新房邹新东苑，房子硬装已经基本弄好，楼栋位置好,108万,9000,钟楼区邹区,邹新东苑,3室2厅1厨2卫,中楼层 (共27层),120㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,两梯六户,有,暂无数据,2024-03-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,可以贷款，户型方正，楼层好，视野开阔充足采光好,"小区介绍
小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善",,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
119,邹新东苑 2室2厅 南,62万,7750,钟楼区邹区,邹新东苑,2室2厅1厨1卫,中楼层 (共27层),80㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,其他,两梯六户,有,暂无数据,2024-03-20,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,
120,邹新东苑 爆火盘 好楼层 好位置 120平三房俩卫,108万,9000,钟楼区邹区,邹新东苑,3室2厅1厨2卫,低楼层 (共27层),120㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
121,水岸馨苑 楼梯房 俩室一卫 首付低  来看房,88万,10353,钟楼区邹区,水岸馨苑,2室2厅1厨1卫,高楼层 (共6层),85㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
122,邹区网红小区，有产证，小区前排全天采光，随时看房,64万,7902,钟楼区邹区,邹新东苑,2室2厅1厨1卫,低楼层 (共26层),81㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房东诚售价好谈，前排无遮挡，有钥匙随时看房，欢迎咨询,,,"推荐理由：
1、 环境优美，物业好， ！
2、 经典户型，采光好， 有房源！
3、 配套设施齐全，成熟社区！",,温馨提示：买房子涉及资金数额巨大，切勿私下交易，本公司全程银行监管，交款拿证同步进行，安全有保障。,,,房东置换，具体价钱可以面谈，欢迎实地看房！目前市场交易量平稳，政策已经基本稳定，是市场触底入手的好时候。请不要错过的好房。,,,,,
123,邹区泰富广场旁，紧靠凌家塘，有产值可贷款，随时看房,106万,8834,钟楼区邹区,邹新东苑,3室2厅1厨2卫,中楼层 (共27层),120㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全,小区总高27层都带有电梯，方便业主的上、下楼的出入。面积有80-120平可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
124,邹新东苑 2室2厅 南,58万,7161,钟楼区邹区,邹新东苑,2室2厅1厨2卫,低楼层 (共27层),81㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,
125,金洲花城，优质户型，精装修，全天采光无遮挡，随时看,120万,10715,钟楼区邹区,金洲花城,3室2厅1厨1卫,低楼层 (共11层),112㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，目前自住，南北通风，全天采光无遮挡,"健康
　　
　　采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住",环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,,,,,,,,,,
126,邹新东苑 2室2厅 南,64万,8000,钟楼区邹区,邹新东苑,2室2厅1厨1卫,中楼层 (共27层),80㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,
127,前排无遮挡 邹区星光城 中上楼层 三室俩卫 随时看房,159万,13498,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨2卫,高楼层 (共30层),117.8㎡,平层,暂无数据,板塔结合,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
128,星光城复式楼  得房率高  大双阳台 有钥匙看房,260万,14619,钟楼区邹区,嘉宏MOOC星光城,5室2厅1厨2卫,高楼层 (共29层),177.86㎡,平层,暂无数据,板塔结合,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
129,邹新东苑，全天采光无遮挡，优质户型，中好楼层,64万,8000,钟楼区邹区,邹新东苑,2室2厅1厨1卫,低楼层 (共27层),80㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯六户,有,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主毛坯房，目前空置，全天采光无遮挡，优质户型,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调。,,,,,,,,,,
130,邹新东苑 3室2厅 南,109万,9084,钟楼区邹区,邹新东苑,3室2厅1厨2卫,低楼层 (共27层),120㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,
131,爆火小区 邹新东苑 俩室一卫  首付12万,60万,7500,钟楼区邹区,邹新东苑,2室2厅1厨1卫,低楼层 (共27层),80㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
132,邹新东苑 前排位置 嘎嘎好楼层 俩室一卫,68万,8500,钟楼区邹区,邹新东苑,2室2厅1厨1卫,高楼层 (共26层),80㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,三梯六户,有,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
133,邹区泰富广场、凌家塘旁，双阳台，有证可贷款，楼层好,62万,7655,钟楼区邹区,邹新东苑,2室2厅1厨1卫,低楼层 (共27层),81㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全,小区总高27层有电梯，方便业主的上、下楼的出入。户型有80-120可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位,,,,,,,,,,
134,邹区网红小区，楼层好，独门独户，有钥匙随时可看,63万,7778,钟楼区邹区,邹新东苑,2室2厅1厨1卫,高楼层 (共27层),81㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全,小区总高27层带有电梯，方便业主的上、下楼的出入。户型上有80-120可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位,,,,,,,,,,
135,邹新东苑 2室2厅 南 北,65万,8125,钟楼区邹区,邹新东苑,2室2厅1厨1卫,高楼层 (共27层),80㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯六户,有,暂无数据,2024-03-16,商品房,2015-01-01,普通住宅,未满两年,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,
136,樾棠花园 3室2厅 南,150万,12821,钟楼区邹区,樾棠花园,3室2厅1厨2卫,高楼层 (共29层),117㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,
137,邹新东苑 2室2厅 南,55万,6791,钟楼区邹区,邹新东苑,2室2厅1厨1卫,高楼层 (共27层),81㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,
138,邹新东苑 2室2厅 东 南,65万,8025,钟楼区邹区,邹新东苑,2室2厅1厨1卫,高楼层 (共27层),81㎡,暂无数据,暂无数据,板塔结合,东 南,钢混结构,毛坯,两梯四户,有,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,
139,邹区星光城 好楼层101平三室一卫 价格可议,145万,14357,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨1卫,高楼层 (共32层),101㎡,平层,暂无数据,板塔结合,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
140,邹区灯具城旁，次新小区，大四房中间楼层，随时看房,180万,13044,钟楼区邹区,樾棠花园,4室2厅1厨2卫,中楼层 (共29层),138㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全。,"小区内高层都带有电梯，方便业主的上、下楼的出入。户型有103,117,138可以满足不同的业主需求。外面有商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善",,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
141,好楼层 好装修 泰富嘉园 三室俩卫  随时看房,140万,11865,钟楼区邹区,泰富嘉园,3室2厅1厨2卫,中楼层 (共18层),118㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元 江南银行 业主自还,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
142,水岸馨苑 2室2厅 南,102万,12000,钟楼区邹区,水岸馨苑,2室2厅1厨1卫,中楼层 (共6层),85㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-14,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,
143,邹新东苑 3室2厅 南,107.8万,8984,钟楼区邹区,邹新东苑,3室2厅1厨2卫,高楼层 (共27层),120㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,
144,房东  诚心出售   精装修   采光好,168万,12728,钟楼区邹区,泰富嘉园,3室2厅1厨1卫,低楼层 (共18层),132㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元 邮政 业主自还,未上传房本照片,此房为业主精装自住房，目前空置，优质户型，全天采光无遮挡,小区介绍：小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,小区介绍：采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,配套：环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,"税费解析：1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",适宜人群：小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,,,
145,邹新东苑 2室2厅 南,64万,8000,钟楼区邹区,邹新东苑,2室2厅1厨1卫,低楼层 (共27层),80㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,其他,两梯六户,有,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,
146,好楼层！好装修！邹区星光城 三室一卫 有密码看房,165万,16209,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨1卫,中楼层 (共30层),101.8㎡,平层,暂无数据,板塔结合,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元 江南银行。已经预约还款。 业主自还,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
147,精装房省心咯！ 樾棠花园 三室一卫 中间好楼层,156万,15265,钟楼区邹区,樾棠花园,3室2厅1厨1卫,中楼层 (共29层),102.2㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 60万元 中国银行 客户偿还,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
