,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,装修描述,小区介绍,税费解析,周边配套,适宜人群,权属抵押,房源核验码,查询房管备案记录
28,万象府 好房优质楼层采光佳看房随时,85万,9551,经开区横山桥镇,万象府,3室2厅1厨1卫,高楼层 (共20层),89㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-01-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光充足,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
29,急售万象府户型好 价格可谈看房方便,155万,14590,经开区横山桥镇,万象府,3室2厅1厨2卫,低楼层 (共20层),106.24㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-21,商品房,2021-04-06,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房户型好，户型位置好，房东诚心急卖,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,,,,
30,华润万象府 房东诚售 户型方正 看房方便,175万,15569,经开区横山桥镇,万象府,3室2厅1厨2卫,中楼层 (共20层),112.41㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-18,商品房,2021-03-31,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房是华润万象府的一间毛坯房，楼层居中，户型方正。,此房是三开间朝南的三房户型，南北朝向，房屋的户型较为规整，没有太多的浪费面积。,业主早年开盘的时候购入的新房，现在已经去其他城市发展，决定将此房源处理多余财产，卖房诚心。,此房为开发商的毛坯交付的新房，新购入的客户可以完全按照自己的喜好装修，避免了对旧装修的拆除的情况,,,,,,,
31,华润万象府 纯毛坯 房东诚售 价格可谈,130万,11565,经开区横山桥镇,万象府,3室2厅1厨2卫,高楼层 (共20层),112.41㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-28,商品房,2021-03-19,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
32,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,145万,13552,经开区横山桥镇,万象府,3室2厅1厨2卫,中楼层 (共20层),107㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-17,商品房,2021-03-18,普通住宅,暂无数据,非共有,有抵押 30万元 公积金贷款,已上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
33,此房是华润万象府的一间毛坯房，户型方正。,140万,13085,经开区横山桥镇,万象府,3室2厅1厨2卫,低楼层 (共20层),107㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,两梯四户,有,暂无数据,2023-02-10,商品房,2021-04-13,普通住宅,暂无数据,共有,有抵押 75万元,已上传房本照片,此房是华润万象府的一间毛坯房，户型方正。,此房是三开间朝南的三房户型，南北朝向，房屋的户型较为规整，没有太多的浪费面积。,业主早年开盘的时候购入的新房，现在已经去其他城市发展，决定将此房源处理多余财产，卖房诚心。,此房为开发商的毛坯交付的新房，新购入的客户可以完全按照自己的喜好装修，避免了对旧装修的拆除的情况。,,,,,,,
34,华润万象府 房东诚售 户型方正 有钥匙,105万,11812,经开区横山桥镇,万象府,3室2厅1厨1卫,低楼层 (共20层),88.9㎡,暂无数据,暂无数据,板楼,南 北,混合结构,毛坯,四梯四户,有,暂无数据,2023-02-20,商品房,2021-06-16,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房是华润万象府的一间毛坯房，楼层居中，户型方正。,此房是三开间朝南的三房户型，南北朝向，房屋的户型较为规整，没有太多的浪费面积。,业主早年开盘的时候购入的新房，现在已经去其他城市发展，决定将此房源处理多余财产，卖房诚心。,此房为开发商的毛坯交付的新房，新购入的客户可以完全按照自己的喜好装修，避免了对旧装修的拆除的情况,,,,,,,
35,万象府，大三房，房东诚售，随时看,168万,13885,经开区横山桥镇,万象府,3室2厅1厨2卫,高楼层 (共20层),121㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2022-06-28,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区生活设施齐，商场、菜市场、银行等，交通便捷,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透,,,小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。5.户型周正，格局分布合理，空间感好，通透性佳,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,
36,急售万象府二房户型好价格可谈诚心出售,125万,14045,经开区横山桥镇,万象府,2室2厅1厨1卫,中楼层 (共18层),89㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-27,商品房,2021-02-01,普通住宅,暂无数据,共有,有抵押,已上传房本照片,毛坯房2房 满五 全天采光 地铁口 随时看房,,,,,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.爱琴海购物广场，吾悦广场,,现在产权清晰。房东现在诚心出售此 房东对付款无要求，按照正常首付就可以了。,,
37,小区生活设施齐，商场、菜市场、银行等，交通便捷,140万,15731,经开区横山桥镇,万象府,2室2厅1厨1卫,高楼层 (共18层),89㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-18,商品房,2021-04-15,普通住宅,暂无数据,共有,有抵押,已上传房本照片,小区生活设施齐，商场、菜市场、银行等，交通便捷,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透,,,小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。5.户型周正，格局分布合理，空间感好，通透性佳,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,
38,牡丹招商公园学府好楼层三房两卫户型，诚意出售,230万,19828,经开区潞城,牡丹招商·公园学府,3室2厅1厨2卫,高楼层 (共27层),116㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元,未上传房本照片,此房楼层高无遮挡。 地段优越，交通便捷，配套齐全。,,"售房原因：该房源空置，房东资产整合。
房屋现状：房屋空置，可随时看房；房东可随时签约。",,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%。
2、增值税：产证满2年免收增值税，未满2年征收5.3％。
3、个税：产证满五年而且是唯一套住房，免收个税，未满5年成交价的1%。",,,"贷款抵押：有100万贷款抵押。
房屋不满二，关于税的问题看中可以谈。",,
39,房东价格可谈 诚心急售 看房有钥匙,128万,11852,经开区横山桥镇,万象府,3室2厅1厨2卫,低楼层 (共20层),108㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,此房通风性好  ，  前后双阳台   ，户型方正， 中间楼层采光好!,,,,小区人车分流，共计18栋高层，绿化高，环境优美，平时可以在小区里跑跑步，散散心！,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2、个税：产证满五唯一，免收个税，不唯一交成交价的1%",,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同！,,
40,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,170万,14167,经开区横山桥镇,万象府,4室2厅1厨2卫,中楼层 (共18层),120㎡,暂无数据,暂无数据,板塔结合,北 南,砖混结构,毛坯,两梯四户,有,暂无数据,2023-10-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
41,7区上东 三房 楼层好采光佳 诚心出售,167万,14522,经开区横山桥镇,7区上东,3室2厅1厨2卫,高楼层 (共34层),115㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-03-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,爱琴海奥特莱斯旁 三房 边户 通透 格局 有 2个卫生间,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，可以出价 有钥匙 随时看房,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,
42,7区上东 3室2厅 南,168万,16431,经开区横山桥镇,7区上东,3室2厅1厨1卫,中楼层 (共34层),102.25㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-07-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,
43,此房格局通透，户型方正，楼层佳，阳光足,159.9万,13239,经开区横山桥镇,万象府,4室2厅1厨2卫,低楼层 (共18层),120.78㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-10,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，阳光足，视野开阔，居住舒适,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,
44,万象府 小区中间位置 中间楼层采光好 户型方正格局好,168万,15701,经开区横山桥镇,万象府,3室2厅1厨2卫,中楼层 (共20层),107㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-08-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
45,华润万象城房格局通透，户型方正，楼层佳，视野开阔,150万,14038,经开区横山桥镇,万象府,3室2厅1厨2卫,中楼层 (共20层),106.86㎡,暂无数据,暂无数据,板楼,南 北,混合结构,毛坯,四梯四户,有,暂无数据,2022-08-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 85万元,未上传房本照片,"卖点：
此房格局通透，户型方正，楼层佳，视野开阔，阳光..","户型介绍：
1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。",,,"小区介绍：
小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内","税费解析：
1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
46,小区生活设施齐，商场、菜市场、银行等，交通便捷,146万,13645,经开区横山桥镇,万象府,3室2厅1厨2卫,中楼层 (共20层),107㎡,暂无数据,暂无数据,板塔结合,南 北,混合结构,毛坯,两梯四户,有,暂无数据,2023-02-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 110万元 客户偿还,未上传房本照片,小区生活设施齐，商场、菜市场、银行等，交通便捷,户型介绍： 户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，,,,小区介绍： 小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,"税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,
47,7区上东 精装三房未入住 爱琴海地铁口 楼层佳诚心出售,119万,11639,经开区横山桥镇,7区上东,3室2厅1厨1卫,低楼层 (共34层),102.25㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-08-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，户型方正，楼层佳， 视野开阔，阳光足,.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
48,华润万象府，地铁二号线，白金汉爵，爱琴海,150万,12421,经开区横山桥镇,万象府,4室2厅1厨2卫,中楼层 (共18层),120.77㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,卖点： 此房格局通透，户型方正，楼层佳，视野开阔，阳光好,户型介绍： 1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区介绍： 小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"税费解析： 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
49,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,132万,12337,经开区横山桥镇,万象府,3室2厅1厨2卫,低楼层 (共20层),107㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-14,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
50,急售万象府三房户型好房东诚心出售出售价格可谈,175万,16356,经开区横山桥镇,万象府,3室2厅1厨2卫,高楼层 (共20层),107㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-05-03,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房户型好，户型位置好，房东诚心急卖,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,,,,
51,阳光山城四室两厅 顶楼复式 有阁楼 有车库,174万,6960,经开区横山桥镇,阳光山城,4室2厅1厨3卫,高楼层 (共5层),250㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-10-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房诚心出，精装修，好楼层，视野开阔，采光好,,,,小区生活设施齐全、菜市场、银行、交通便捷2、小区内有健身器材，可供小区居民使用:3、小区内停车位充足，建有地上停车场和地下车库;4、小区内24小时保安巡逻。,房屋产权:房子为商品房。税费信息满两年省增值税。首套房90M以下1%、90M以上15二套房90M以下1%90M以上2%三套房不论面积统-3%,,环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松,,,
52,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,133万,12548,经开区横山桥镇,万象府,3室2厅1厨1卫,低楼层 (共20层),106㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
53,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,122万,11402,经开区横山桥镇,万象府,3室2厅1厨2卫,低楼层 (共20层),107㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-09-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
54,7区上东  精装修婚房四室两卫 楼下地铁口 房东诚心售,143万,11533,经开区横山桥镇,7区上东,4室2厅1厨2卫,低楼层 (共34层),124㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-07-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元 中国工商银行,未上传房本照片,爱琴海奥特莱斯旁 精装 四房 边户 通透 格局 有 2个卫生间,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，可以出价 有钥匙 随时看房,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,
55,万象府好房好楼层采光佳随时看房,125万,14045,经开区横山桥镇,万象府,3室2厅1厨1卫,中楼层 (共20层),89㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-12-31,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元,未上传房本照片,此房毛坯三房 三开间朝南 位置好 采光佳 随时看房,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透,,,小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。5.户型周正，格局分布合理，空间感好，通透性佳,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,
