,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,装修描述,小区介绍,税费解析,周边配套,适宜人群,权属抵押,房源核验码,查询房管备案记录
56,万象府 次新小区地铁口 前排无遮挡 全天采光 诚心出售,118万,13584,经开区横山桥镇,万象府,3室2厅1厨1卫,低楼层 (共20层),86.87㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 70万元 中国农业银行,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
57,牡丹公园学府三房诚售，好楼层，随时看房。,179万,18464,经开区潞城,牡丹招商·公园学府,3室2厅1厨2卫,低楼层 (共27层),96.95㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-21,商品房,2023-02-16,普通住宅,未满两年,共有,有抵押 60万元 江南农村商业银行,已上传房本照片,"此房户型方正，利用率高。
地段优越，交通便捷，配套齐全。",,"售房原因：房东父母住在潞城，当时购置该项目。现不考虑居住，遂出售。
房屋现状：房屋空置，可随时看房。",,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%。
2、增值税：产证满2年免收增值税，未满2年征收5.3％。
3、个税：产证满五年而且是唯一套住房，免收个税，未满5年成交价的1%。",,,"抵款抵押：江南农村银行有60万抵押。
房源不满二，房东承担个税，增值税买方承担。",,
58,万象府 三房 诚心售有钥匙随时看房,98万,11003,经开区横山桥镇,万象府,3室2厅1厨1卫,低楼层 (共18层),89.07㎡,暂无数据,暂无数据,板塔结合,南,砖混结构,毛坯,两梯四户,有,暂无数据,2023-03-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 90万元,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
59,此房诚心出，好楼层，视野开阔，采光好,140万,6192,经开区横山桥镇,阳光山城,5室2厅1厨3卫,高楼层 (共5层),226.13㎡,暂无数据,暂无数据,暂无数据,北 南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-25,商品房,2016-09-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房诚心出售；存毛坯，好楼层，视野开阔，采光好,,,,"：
环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松",房屋产权:房子为商品房。税费信息满两年省增值税。首套房90M以下1%、90M以上15二套房90M以下1%90M以上2%三套房不论面积统-3%,小区生活设施齐全、菜市场、银行、交通便捷2、小区内有健身器材，可供小区居民使用:3、小区内停车位充足，建有地上停车场和地下车库;4、小区内24小时保安巡逻,,,,
60,华润集团 经开区新上地铁好房 三朝南好楼层低总价,120万,13484,经开区横山桥镇,万象府,3室2厅1厨1卫,中楼层 (共20层),89㎡,暂无数据,暂无数据,板楼,南,混合结构,毛坯,两梯四户,有,暂无数据,2022-06-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,卖点： 此房精装，房东比较爱惜，装修保存比较完善，楼层好,"1.户型周正，格局分布合理，空间感好，通透性强，居住舒适
2.楼层佳，南北朝向，视野开阔，采光通透 
3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好",,,"1、小区生活设施齐，商场、菜市场、银行等，交通便捷；
2、小区内有健身器材，小型篮球场，可供小区居民使用；
3、小区内停车位充足，建有地上停车场和地下车库；
4、小区内24小时保安巡逻。5.户型周正，格局分布合理，空间感好，通透性佳",契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,,,,,
61,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,129万,14495,经开区横山桥镇,万象府,3室2厅1厨1卫,中楼层 (共20层),89㎡,暂无数据,暂无数据,板楼,南,混合结构,毛坯,两梯四户,有,暂无数据,2023-07-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
62,万象府 2室2厅 南 北,128万,14713,经开区横山桥镇,万象府,2室2厅1厨1卫,高楼层 (共20层),87㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,,,,,,,,,,,
63,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,136万,15254,经开区横山桥镇,万象府,3室2厅1厨1卫,中楼层 (共20层),89.16㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-03-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 85万元,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
64,横麓雅居两室两厅全新毛坯 急售 价格好说,93万,11342,经开区横山桥镇,横麓雅居,2室2厅1厨1卫,高楼层 (共27层),82㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-11-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房诚心出，全新毛坯，好楼层，视野开阔，采光好,,,,环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松,房屋产权:房子为商品房。税费信息满两年省增值税。首套房90M以下1%、90M以上15二套房90M以下1%90M以上2%三套房不论面积统-3%,小区生活设施齐全、菜市场、银行、交通便捷2、小区内有健身器材，可供小区居民使用:3、小区内停车位充足，建有地上停车场和地下车库;4、小区内24小时保安巡逻。,,,,
65,毛坯三开间朝南 房东诚心出售 看房方便,118万,13259,经开区横山桥镇,万象府,3室2厅1厨1卫,中楼层 (共20层),89㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-06-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元 江南 客户偿还,未上传房本照片,小区生活设施齐，商场、菜市场、银行等，交通便捷,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透,,,"小区内有健身器材，小型篮球场，可供小区居民使用；
小区内停车位充足，建有地上停车场和地下车库；
小区内24小时保安巡逻。","税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,
66,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,110万,12360,经开区横山桥镇,万象府,3室2厅1厨1卫,低楼层 (共18层),89㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-25,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
67,此房户型好，户型位置好，房东诚心急卖,110万,12688,经开区横山桥镇,万象府,2室2厅1厨1卫,中楼层 (共20层),86.7㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 85万元,未上传房本照片,此房户型好，户型位置好，房东诚心急卖,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,,,,
68,横山桥横麓雅居 两室两厅 急售 价格好说,83万,10158,经开区横山桥镇,横麓雅居,2室2厅1厨1卫,低楼层 (共27层),81.71㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-11-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房诚心出，全新毛坯，好楼层，视野开阔，采光好,,,,环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松,房屋产权:房子为商品房。税费信息满两年省增值税。首套房90M以下1%、90M以上15二套房90M以下1%90M以上2%三套房不论面积统-3%,小区生活设施齐全、菜市场、银行、交通便捷2、小区内有健身器材，可供小区居民使用:3、小区内停车位充足，建有地上停车场和地下车库;4、小区内24小时保安巡逻。,,,,
69,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,108万,12273,经开区横山桥镇,万象府,3室1厅1厨1卫,中楼层 (共20层),88㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-05-07,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 70万元 工商,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
70,东方福郡 精装修 2室2厅 经典户型 采光好 楼层好,102万,11474,经开区横山桥镇,东方福郡,2室2厅1厨1卫,中楼层 (共11层),88.9㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,交通便利，小区设备齐全，房子产权清晰，能正常交易,,,,小区生活实施齐全，商场，菜市场，银行等。2：小区内有健身器材，小型篮球场，可供小区居民使用。3：小区停车位充足，建有地面临时停车位以及底下停车位。4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1%,90平米以上成交价的1.5%，二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6%;3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发房主自荐（业主对房源的描述）,,,,
71,爱琴海奥特莱斯旁  三房 边户 通透 格局,125万,14466,经开区横山桥镇,7区上东,3室2厅1厨1卫,高楼层 (共34层),86.41㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-03-30,商品房,2019-01-01,普通住宅,暂无数据,共有,有抵押,已上传房本照片,爱琴海奥特莱斯旁  三房 边户 通透 格局,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，可以出价 有钥匙 随时看房,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,
72,横山桥领秀江南两室两厅 置换急售 价格好商量,120万,13652,经开区横山桥镇,领秀江南,2室2厅1厨1卫,高楼层 (共18层),87.9㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-11-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房诚心出，精装修，好楼层，视野开阔，采光好,,,,环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松,房屋产权:房子为商品房。税费信息满两年省增值税。首套房90M以下1%、90M以上15二套房90M以下1%90M以上2%三套房不论面积统-3%,小区生活设施齐全、菜市场、银行、交通便捷2、小区内有健身器材，可供小区居民使用:3、小区内停车位充足，建有地上停车场和地下车库;4、小区内24小时保安巡逻。,,,,
73,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,156万,14580,经开区横山桥镇,万象府,3室2厅1厨2卫,中楼层 (共20层),107㎡,暂无数据,暂无数据,板塔结合,南,混合结构,毛坯,两梯四户,有,暂无数据,2024-02-13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
74,高楼层 爱情海 次新房 精装修 东方云湖旁 看房钥匙,164万,14738,经开区横山桥镇,7区上东,3室2厅1厨2卫,高楼层 (共34层),111.28㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,
75,东方福郡精装四室双卫经典户型朝南,180万,14061,经开区横山桥镇,东方福郡,4室2厅1厨2卫,低楼层 (共18层),128.02㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-27,商品房,2011-11-23,普通住宅,暂无数据,共有,无抵押,已上传房本照片,交通便利，小区设备齐全，房子产权清晰，能正常交易,,,,小区生活实施齐全，商场，菜市场，银行等。2：小区内有健身器材，小型篮球场，可供小区居民使用。3：小区停车位充足，建有地面临时停车位以及底下停车位。4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1%,90平米以上成交价的1.5%，二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6%;3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发房主自荐（业主对房源的描述,,,,
76,长青名苑 4室2厅 南 北,119万,8323,天宁区横山桥镇,长青名苑,4室2厅1厨2卫,高楼层 (共6层),142.98㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-08,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,
77,7区上东 前排中间楼层采光好 视野开阔 精装修拎包入住,85万,10366,经开区横山桥镇,7区上东,2室1厅1厨1卫,中楼层 (共33层),82㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-08,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,7区上东 前排中间楼层采光好 视野开阔 精装修拎包入住,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
78,新利贸业广场两居中间楼层精装自住房看房方便业主诚售,88万,11000,经开区横山桥镇,新利贸业广场,2室1厅1厨1卫,低楼层 (共18层),80㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,暂无数据,暂无数据,暂无数据,2024-03-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 26万元 需带押过户,未上传房本照片,"房子满五年 精装电梯两房户型方正 
业主诚售看房方便",,,,,,相关配套：横山桥成熟地段 生活便利 明都 大喜来 街区等生活便利 交通有高速、高铁站等齐全,适宜人群：适合工作在横山桥、潞城等年轻人，总价不高 负担成本可控 让生活更美好轻松。,"贷款抵押：还有26万按揭贷款 无其他抵押  产权清晰
满五年 交易环节简单。",,
79,万象府毛坯三房 楼层好 业主诚心出售 看房方便,132万,12404,经开区横山桥镇,万象府,3室2厅1厨2卫,低楼层 (共20层),106.42㎡,平层,暂无数据,板楼,南,混合结构,毛坯,四梯四户,有,暂无数据,2024-03-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,万象府毛坯三房 楼层好 业主诚心出售 看房方便,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
80,诚意出售 楼层好 采光佳 地段好 房主诚心，,130万,10603,经开区横山桥镇,横麓雅居,3室2厅1厨2卫,中楼层 (共27层),122.61㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-02,商品房,2020-07-17,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,诚意出售 楼层好 采光佳 地段好 房主诚心，,户型周正格局分布合理空间感好通透性强居住舒适2楼层佳视野开阔采光好,,,小区生活实施齐全商场菜市场银行等2小区内有健身器材可供小区居民使用3小区停车位充足建有地面临时停车位以及底下停车位4小区内24小时保安巡逻,"：
契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一",,,,,
81,中间楼层 三开间朝南 户型方正 房东诚心出售 产权清晰,127万,14657,经开区横山桥镇,7区上东,3室1厅1厨1卫,高楼层 (共34层),86.65㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,中间楼层 三开间朝南 户型方正 房东诚心出售 产权清晰,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
82,三房 户型好 南北通风 楼层好 采光足,95万,6419,经开区横山桥镇,美士隆商住楼北楼,3室2厅1厨2卫,中楼层 (共6层),148㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2024-03-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,
83,地铁口 精致小三房  业主诚心出售  带个车位,116万,12889,经开区横山桥镇,万象府,3室1厅1厨1卫,低楼层 (共20层),90㎡,平层,暂无数据,板塔结合,南 北,混合结构,简装,两梯四户,有,暂无数据,2024-02-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房通风性好 ， 前后双阳台 ，户型方正， 中间楼层采光好!,,,,小区人车分流，共计18栋高层，绿化高，环境优美，平时可以在小区里跑跑步，散散心！,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2、个税：产证满五唯一，免收个税，不唯一交成交价的1%",,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,
84,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,100万,11216,经开区横山桥镇,万象府,3室1厅1厨1卫,中楼层 (共20层),89.16㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 70,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。5.户型周正，格局分布合理，空间感好，通透性佳,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,,,,,
85,万象府毛坯四房 楼层好 业主诚心出售 看房方便,135万,11158,经开区横山桥镇,万象府,4室2厅1厨2卫,低楼层 (共20层),121㎡,平层,暂无数据,板楼,南,混合结构,毛坯,两梯四户,有,暂无数据,2024-03-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,万象府毛坯四房 楼层好 业主诚心出售 看房方便,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
