,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,周边配套,税费解析,小区介绍,权属抵押,售房详情,交通出行,装修描述,别墅类型,适宜人群,房源核验码,查询房管备案记录
53,公园壹号花园80平米简装2房2厅环境物业较好满两年,99万,12354,经开区潞城,公园壹号花园,2室2厅1厨1卫,中楼层 (共26层),80.14㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯三户,有,暂无数据,2022-02-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房简装，户型较好，楼层位置已挺好，满两年。,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,1、小区生活设施齐，商场、c市、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。5.户型周正，格局分布合理，空间感好，通透性佳,,,,,,,,
54,公园壹号四期！房子保养良好 拎包入住 随时可看,120万,14815,经开区潞城,公园壹号四期,2室2厅1厨1卫,高楼层 (共33层),81㎡,平层,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-02-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，户型方正，楼层佳， 视野开阔，阳光足,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
55,公园壹号四期 3室1厅 南 北,125万,13441,经开区潞城,公园壹号四期,3室1厅1厨1卫,高楼层 (共33层),93㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-02-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,
56,公园壹号毛坯3房2卫 满二 采光好 有钥匙随时看房,155万,11882,经开区潞城,公园壹号四期,3室2厅1厨2卫,低楼层 (共33层),130.46㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-05-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,公园壹号毛坯3房2卫 满二 采光好 有钥匙随时看房,,综合市场，大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，吾悦广场。,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,
57,嘉州枫景苑 地铁口小区 产证清晰 有钥匙 随时方便看房,90万,10345,经开区潞城,嘉州枫景苑,2室2厅1厨1卫,低楼层 (共11层),87㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-07-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 60万元,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光足，居住舒适,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
58,房子原始房东，自住装修保养好，采光视野良好，,160万,12248,经开区潞城,公园壹号四期,3室2厅1厨2卫,中楼层 (共33层),130.64㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子原始房东，自住装修保养好，采光视野良好，省心舒适之选,房子户型是标准的两房 两个卧室和客厅的采光面都朝南 客厅位于中间 东西两侧为卧室的布局 很方正规整，便于家居家具的摆放。,,,公园壹号四期是公园壹号后期建造的一个花园式高层社区，绿化、楼间距都很优秀 邻湿地公园，健身休闲很方便 自驾出入高架也很便捷,,,交通情况：交通有地铁2号线潞城站和丁堰站，距离400米左右 公交车站牌在3期门口 环保自行车租赁归还点也在小区东门50米处 高架路龙城大道和青洋高架方便快速出行,,,,,
59,港龙紫荆城精装户型方正，阳光充足，房东诚心出售,90万,10000,经开区潞城,港龙紫荆城,2室2厅1厨1卫,低楼层 (共18层),90㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-08-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 5万元 业主自还,未上传房本照片,此房格局通透，户型方正，阳光充足，房东诚心出售，产权清晰,,小区西边有丁塘河湿地公园，南面有白金汉爵酒店，东面是爱情海商圈，北面是街道有大型市，医院，银行，幼儿园，,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,小区生活设施齐，商场、、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。5.户型周正，格局分布合理，空间感好，通透性,,,小区门口有99路直达新北恐龙园，77路直达火车东站，门口有地铁2号线，西到钟楼区,,,,,
60,港龙紫荆城 楼层佳 户型方正 格局通透 诚心出售,120万,13334,经开区潞城,港龙紫荆城,2室2厅1厨1卫,高楼层 (共29层),90㎡,平层,65.3㎡,板楼,南,钢混结构,简装,两梯四户,有,暂无数据,2021-06-07,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 20万元,未上传房本照片,此房户型方正，看房方便，小区绿化遍及率较高，楼层佳，阳光充足,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。5.户型周正，格局分布合理，空间感好，通透性,,,,,,,,
61,牡丹招商·公园学府 3室2厅 南,235万,20598,经开区潞城,牡丹招商·公园学府,3室2厅1厨2卫,低楼层 (共18层),114.09㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-05-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,
62,蓝山湖精装大二房 房东工作调动 忍痛割爱 诚心出售,119万,13666,经开区潞城,蓝山湖,2室2厅1厨1卫,高楼层 (共34层),87.08㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯五户,有,暂无数据,2023-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 0万元,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光充足,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁,,,,,,,,
63,小区环境优雅，绿化面积大，东边高层视野好,89万,10988,经开区潞城,公园壹号花园,2室1厅1厨1卫,低楼层 (共18层),81㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2020-03-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，绿化面积大，东边高层视野好,,配套成熟，近有公园，酒店，*市，水果店，卫生服务站俱全。交通便利,首套房90㎡以下1%，以上1.5% 二套房90㎡以下1%，以上2% 三套房不论面积大小均为3% 2.增值税及附加： 满2年不论面积全免 不满2年全额的5.6% 3.个人所得税1%,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,,,,,
64,地铁口交通便利配套齐全 户型方正采光好 业主诚心出售,92万,11205,经开区潞城,公园壹号四期,2室2厅1厨1卫,低楼层 (共33层),82.11㎡,平层,63.41㎡,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2023-10-07,商品房,2014-03-05,普通住宅,暂无数据,共有,无抵押,已上传房本照片,房子原始房东，自住装修保养好，采光视野良好，省心舒适之选,房子户型是标准的两房 两个卧室和客厅的采光面都朝南 客厅位于中间 东西两侧为卧室的布局 很方正规整，便于家居家具的摆放。,,,公园壹号四期是公园壹号后期建造的一个花园式高层社区，绿化、楼间距都很优秀 邻湿地公园，健身休闲很方便 自驾出入高架也很便捷,,,交通有地铁2号线潞城站和丁堰站，距离400米左右 公交车站牌在3期门口 环保自行车租赁归还点也在小区东门50米处 高架路龙城大道和青洋高架方便快速出行,,,,,
65,公园壹号四期精致两房 保养好 诚心出售,115万,14078,经开区潞城,公园壹号四期,2室2厅1厨1卫,中楼层 (共33层),81.69㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房子满五年住房，装修清爽，保养很好 拎包即住 邻近湿地公园,三开间朝南的两居户型 方正明亮 结构合理，方便布局，居住舒适。,,,,贷款抵押：房子产权清晰 无任何纠纷 看房的话也很方便 业主诚售。,,,,,楼层采光良好 进出公园方便 装修好 节省装修时间和成本，拎包即住。,,
66,地鉄口 公园壹号四期 精装修两房 价好谈有钥匙随时看,115万,14375,经开区潞城,公园壹号四期,2室2厅1厨1卫,中楼层 (共33层),80㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-05-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房子楼层很好，装修清爽，保养很好 拎包即住 邻近湿地..,三开间朝南的两居户型 方正明亮 结构合理，方便布局，居住舒适。,,,,房子产权清晰 无任何纠纷 看房有钥匙，随时可以， 业主诚售。,,,,,楼层采光良好 进出公园方便 装修好 节省装修时间和成本，拎包即住。,,
67,公园壹号四期精装修，户型方正楼层好，业主诚心出售,95万,11628,经开区潞城,公园壹号四期,2室2厅1厨1卫,中楼层 (共32层),81.7㎡,平层,63.25㎡,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-17,商品房,2013-03-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,公园壹号四期精装修，户型方正楼层好，业主诚心出售,户型方正，格局分布十分合理。空间感好。居住舒适。楼层佳。朝向南北。视野开阔。采光透亮。,,1.契税首套房90平方以下成交价的1%，90平方以上成交价的1.5%，二套房90平以上成交价的2% 增值税:产证满两年免收增值税，未满两年征收5.6% 个税:产证满五年，而且是一套住房，免收个税，未满五年成交价的1%,小区内有健身器材，可供小区居民使用 小区内停车位充足，建有地下停车场，人车分流，绿化到位,,,,,,,,
68,公园壹号四期中上楼层无遮挡阳光充裕2居邻湿地公园,110万,13415,经开区潞城,公园壹号四期,2室2厅1厨1卫,高楼层 (共33层),82㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2022-12-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元,未上传房本照片,"1.中上楼层，视野采光皆佳
2.户型方正，无浪费面积
3.精致装修。","房间格局三开间朝南，采光充足
客餐厅一体，符合使用习惯
客厅朝南，视野佳。",商天宁吾悦商圈近在咫尺，工商银行，江南银行，5大购物C市家门口，小区前菜场!成熟小区繁华 小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。,,生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,,,,,,,,
69,美的云筑精装小三房，中上楼层，视野好。,220万,22000,经开区潞城,美的云筑,3室2厅1厨2卫,低楼层 (共27层),100㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-08-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房子是准新房，开发商精装修的。一天未入住，小区物业好。,房龄环境比较好，小区是新的，还不满二，但是可以交税过户。户型也是小三房格局，三朝南户型。小区采用人车分流。,地理位置比较理想，离地铁近，有大型综合市场，还有公园，出行的话有公交车。小区环境物业好，人车分流,,,,,,房子是可以拎包入住的，因为是开发商精装修交付的，只需要买软装。硬装用的都是品牌家具家电。楼层也是中间楼层，视野采光好。,,,,
70,港龙新港城 准新房 楼层佳 采光好 户型方正,120万,10923,经开区潞城,港龙.新港城,3室2厅1厨1卫,低楼层 (共35层),109.86㎡,平层,暂无数据,板塔结合,南 北,框架结构,精装,一梯四户,有,暂无数据,2024-02-20,商品房,2018-08-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,港龙新港城 准新房 楼层佳 采光好 户型方正,,区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,"税费解析： 税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,,,,
71,小高层楼层佳三开间朝南户型方正房东诚心出售产权清晰,226万,18694,经开区潞城,东方君开,4室2厅1厨2卫,低楼层 (共7层),120.9㎡,平层,99.48㎡,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-10,商品房,2023-04-04,普通住宅,未满两年,非共有,有抵押 常州融资担保公司,已上传房本照片,小高层 楼层佳 三开间朝南 户型方正 房东诚心出售 产权清晰,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
72,此房南北通格局楼层好视野宽阔采光充足配套设施齐,234万,16995,经开区潞城,美的云筑,3室2厅1厨2卫,中楼层 (共20层),137.69㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房南北通格局楼层好视野宽阔采光充足配套设施齐,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",小区地理位置好，交通、生活、健身、娱乐，都很方便，居住舒适。,,,门口就是高架，地铁口，距离校园，丁塘河湿地公园一路之隔，生活舒适交通便捷,,,,,
73,"此房格局好,方正户型,全天采光,户型方正视野好",250万,20578,经开区潞城,东方君开,4室2厅1厨2卫,高楼层 (共7层),121.49㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2024-02-29,商品房,2023-04-10,普通住宅,未满两年,共有,有抵押 110万元,已上传房本照片,"此房格局好,方正户型,全天采光,户型方正视野好","房格局好,户型方正,全天采光,户型方正视野好,干湿分离,明厨明卫",,1.契税:A:首套 90平米以下1%B:首套90平米以上1.5%C;二套90平米以下1%D:二套90平米以上2%E:三套3%2.满2年免征，不满2年全额征收5.35%3.个人 :不满5年征1%满5年且房东名下唯一住房可免,1:小区生活实施齐全，商场，菜市场，银行等。2:小区内有健身器材，可供小区居民使用。3:小区停车位充足，建有地面临时停车位,,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管",,,,,,
74,中间楼层 三开间朝南 户型方正 房东诚心出售 产权清晰,168万,14359,经开区潞城,东方君开,3室2厅0厨2卫,低楼层 (共27层),117㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-17,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 70万元 工商银行 客户偿还,未上传房本照片,中间楼层 三开间朝南 户型方正 房东诚心出售 产权清晰,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
75,美的云筑精装三大件，紧靠公园和D铁口，三南大横厅。,235万,17318,经开区潞城,美的云筑,3室2厅1厨2卫,低楼层 (共22层),135.7㎡,平层,暂无数据,暂无数据,东 南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-24,商品房,2023-06-21,普通住宅,未满两年,共有,无抵押,已上传房本照片,美的云筑精装三大件，紧靠公园和D铁口，三南大横厅。,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
76,港龙新港城 准新房 楼层佳 采光好 户型方正,205万,17262,经开区潞城,港龙.新港城,3室1厅1厨1卫,高楼层 (共19层),118.76㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-23,商品房,2020-09-14,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,港龙新港城 准新房 楼层佳 采光好 户型方正,,区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,"税费解析： 税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,,,,
77,港龙新港城 准新房 楼层佳 采光好 户型方正,138万,13267,经开区潞城,港龙.新港城,3室1厅1厨1卫,中楼层 (共18层),104.02㎡,暂无数据,82.35㎡,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-09-16,商品房,2020-05-22,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,港龙新港城 准新房 楼层佳 采光好 户型方正,,区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,"税费解析： 税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,,,,
78,此房格局通透，户型方正，楼层佳，阳光足，,88万,10981,经开区潞城,公园壹号花园,2室2厅1厨1卫,中楼层 (共26层),80.14㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-11-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光足，随时看房,.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 封闭管理。,此房产权清晰，房源真实，业主诚心出售，看房方便，服务全程陪同,,,,,,,
79,美的云筑 小洋房 地铁口 格局通透 环境优美,230万,18568,经开区潞城,美的云筑,3室2厅1厨2卫,低楼层 (共8层),123.87㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-11-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房南北通格局楼层好视野宽阔采光充足配套设施齐,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",小区地理位置好，交通、生活、健身、娱乐，都很方便，居住舒适。,,,门口就是高架，地铁口，距离校园，丁塘河湿地公园一路之隔，生活舒适交通便捷,,,,,
80,港龙新港城，房东诚心售，有钥匙随时看房,110万,12609,经开区潞城,港龙.新港城,3室2厅1厨1卫,低楼层 (共34层),87.24㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-08-05,商品房,2020-04-11,普通住宅,暂无数据,共有,有抵押 42万元,已上传房本照片,此房格局通透，户型方正，房东诚心出售，看房方便，楼层好。,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
81,公园壹号3房 满五 全天采光 地铁口 随时看房,175万,13359,经开区潞城,公园壹号四期,3室2厅1厨2卫,低楼层 (共33层),131㎡,暂无数据,暂无数据,塔楼,北 南,钢混结构,精装,两梯三户,有,暂无数据,2023-05-17,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,公园壹号3房 满五 全天采光 地铁口 随时看房,户型方正，格局分布十分合理。空间感好。居住舒适。楼层佳。朝向南北。视野开阔。采光透亮。小区环境优美。绿化面积高。干净整洁。内有健身器材和娱乐广场。物业服务态度好,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.爱琴海购物广场，吾悦广场。,税费分析1.契税首套房90平方以下成交价的1%，90平方以上成交价的1.5%，二套房90平以上成交价的2% 增值税:产证满两年免收增值税，未满两年征收5.6% 个税:产证满五年，而且是一套住房，免收个税，未满五年成交价的1%,小区内有健身器材，可供小区居民使用 小区内停车位充足，建有地下停车场，人车分流，绿化到位,,,小区门口有99路公交直达新北恐龙园，77路公交直达火车东站 门口有地铁2号线，往西边可到钟楼区,,,,,
82,诚售！地鉄口公园壹号三朝南双阳台户型 婚装拎包住,145万,11062,经开区潞城,公园壹号四期,3室2厅1厨2卫,中楼层 (共33层),131.08㎡,暂无数据,103.06㎡,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-02-23,商品房,2013-02-01,普通住宅,暂无数据,非共有,有抵押 30万元,已上传房本照片,此房格局通透，户型方正，房东诚心出售，看房方便，看中价格..,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,,,,
