,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,周边配套,税费解析,小区介绍,权属抵押,售房详情,交通出行,装修描述,别墅类型,适宜人群,房源核验码,查询房管备案记录
112,公园小区 楼层佳 视野开阔 户型方正 采光好 阳光充足,190万,14286,经开区潞城,公园壹号四期,3室2厅1厨2卫,高楼层 (共33层),133㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯三户,有,暂无数据,2021-03-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，户型方正，房东诚心出售，证件齐全，看房方便,,小区教育资源丰富   有两个公园，潞城公园，跟湿地公园，离得比较近的是湿地公园，走路一会就能到，周末一家人可以活动活动筋骨，丰富您的生活，有两所商*，爱情海奥特莱斯，白金汉爵酒店，离潞城菜市场仅300m,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",公园小区，绿化普及率高，居住舒适，小区封闭式小区，比开放式小区更加安全，物业保安24小时有人值守，为您的生活填一份保障，,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
113,港龙紫荆城精装三房，业主诚意出售,130万,10936,经开区潞城,港龙紫荆城,3室2厅1厨1卫,高楼层 (共29层),118.88㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为精装修三房，楼层好，业主诚意出售，,户型方正，布局合理，空间感好，通透性强，居住舒适，南北朝向。,,税费解析：此房满五唯一，故个税是0%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,小区环境优美，绿化面积大，人车分流，车位充足，人文气息浓厚，物业服务贴心，24小时安保，本小区设有门禁,,,,,,,,
114,公园壹号联排别墅 满二随时看房 地铁口公园旁,598万,25776,经开区潞城,公园壹号花园,5室2厅1厨3卫,低楼层 (共2层),232㎡,,暂无数据,,南 北,未知结构,毛坯,,,暂无数据,2023-10-03,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,公园壹号联排别墅 满二随时看房 地铁口公园旁,,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，吾悦广场。,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,暂无数据,,,
115,东方君开 毛坯四房 小洋房 诚心出售 价格好谈,240万,17704,经开区潞城,东方君开,4室2厅1厨2卫,低楼层 (共7层),135.57㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,产权清晰 此房户型好，户型位置好，房东诚心急卖,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
116,东方君开   精装修  诚心出售  价格可谈,225万,19235,经开区潞城,东方君开,3室2厅1厨2卫,中楼层 (共27层),116.98㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-03-09,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,精装修  此房户型好，户型位置好，房东诚心急卖,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
117,急售东方君开大三房随时看房价格有来去,190万,16339,经开区潞城,东方君开,3室2厅0厨2卫,低楼层 (共27层),116.29㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-08,商品房,2022-02-01,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房户型好，户型位置好，房东诚心急卖,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
118,港龙新港城经典三房  房东诚售,188万,16207,经开区潞城,港龙.新港城,3室2厅1厨2卫,中楼层 (共20层),116㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-08-21,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房户型方正，浪费面积少，开发商精装，业主花20..,,,,,此房有抵押，公积金约40万，业主可以自行结清，产权为夫妻可以随时签约过户。,业主目前自住，家里有人，白天可以随时看房，下午2点过后家里没人,,,,此房是业主自住房源，装修较好，保养干净整齐，现在因为改善诚心置换此房,,
119,港龙新港城 三室两卫 精装修拎包入住 楼层佳采光刺眼,178万,14688,经开区潞城,港龙.新港城,3室2厅1厨2卫,高楼层 (共34层),121.19㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,港龙新港城 楼层佳 采光好 户型方正,,小区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,"税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,,,,
120,港龙新港城 边户别墅 大花园 豪气装修,1350万,46552,经开区潞城,港龙.新港城,5室4厅1厨4卫,低楼层 (共1层),290㎡,,暂无数据,,南,钢混结构,精装,,,暂无数据,2023-06-07,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,满二，别墅，豪气装修，未入住，四房二厅三卫，大花园,,小区旁边有新怡华，爱情海商场。白金汉爵酒店。公交:B2至华丰站下 餐饮:龙腾大酒店、潞城大酒店 医院:潞城街道卫生服务、戚区医院 卖场:东升时代广场、自带港式风情街,"税费解析： 税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",龙新港城位于常州市戚区，东城路和东方二路。项目占地约200亩(132460平米)，规划建筑面积约42万平米。由港龙公司于2012.9.30日挂牌竞得。封闭式小区，别墅区式独立的院落。,,,上龙城高架1500米，到天宁吾悦1600米，到地铁二号线站口潞城站1200米。,,暂无数据,,,
121,东方君开 大园加底下一层 下面一层与上面一样大 底复,245万,20417,经开区潞城,东方君开,4室2厅1厨2卫,低楼层 (共7层),120㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,卖点： 此房格局通透，楼层好，视野开阔，阳光充足，看房.,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价",,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
122,公园壹号！房东急售 随时方便看房 （双阳台）,178万,14127,经开区潞城,公园壹号花园,3室2厅1厨2卫,低楼层 (共10层),126㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-04-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光足,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
123,东方君开  地铁二号线，白金汉爵，丁塘河湿地公园,230万,19064,经开区潞城,东方君开,3室2厅1厨2卫,中楼层 (共7层),120.65㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"卖点：
此房格局通透，楼层好，视野开阔，阳光充足，看房.","户型介绍：
1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施",,"税费解析：
1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价",,"权属抵押：
此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同",,,,,,,
124,公园壹号精装别墅安静地段带院子联排中间户出入方便,710万,32569,经开区潞城,公园壹号花园,3室2厅1厨3卫,低楼层 (共3层),218㎡,,暂无数据,,南,未知结构,精装,,,暂无数据,2022-08-26,商品房,暂无数据,别墅,暂无数据,非共有,有抵押,未上传房本照片,房子满五年装修保养好 格局方正楼上三层楼下一层景观视野优秀,,东有爱琴海购物广场 西有吾悦天宁 地铁2号线 毓秀园、丁塘河湿地公园双公园 龙城大道和青洋高架双高架 出行方便。,,公园壹号是新城地产在经开区打造的居住标杆，物业管理品质和环境美化水准远高于同期经开区的住宅社区。 小区西侧就是丁塘河湿地公园，经开区全民健身、白金汉爵酒店、爱琴海购物广场、天宁吾悦广场、地铁2号线等配套齐全。,,,小区邻丁塘河湿地公园，休闲锻炼方便，西400米就是经开区健身中xin，撸铁、游泳等很方便。 龙城大道和青洋高架双高架通达全城，地铁2号线出行便捷。,,暂无数据,,,
125,小高层住房一直自住保养良好开阔三居室双阳台通..,150万,12196,经开区潞城,公园壹号花园,3室2厅1厨2卫,高楼层 (共18层),123㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,一梯三户,有,暂无数据,2023-05-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小高层住房一直自住保养良好开阔三居室双阳台通..,三开间朝南的大三居户型 南面双阳台方正明亮 结构合理，方便布局，居住舒适。,"：
综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.爱琴海购物广场，吾悦广场。",,,,,,,,适宜人群：适合喜欢安静的客户群体，整栋居住人口少，比较简单的邻里关系 楼层不高，出入方便，适合喜欢低楼层的家庭居住,,
126,公园壹号122平米3房2卫19年婚房装修保养好满五年唯一,142万,11640,经开区潞城,公园壹号花园,3室2厅1厨2卫,高楼层 (共18层),122㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满五年唯一格局好 采光通风好视线好交通方便,,,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%,1、小区生活设施齐，商场、c市、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。5.户型周正，格局分布合理，空间感好，通透性佳,,,,房东19年儿子结婚的婚房精装，装修时间不长 ，设施齐全， 拎包入住，,,,,
127,小高层住房一直自住保养良好开阔三居室双阳台通..,175万,14061,经开区潞城,公园壹号花园,3室2厅1厨2卫,高楼层 (共18层),124.46㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-06-04,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 8万元 业主自还,未上传房本照片,小高层住房一直自住保养良好开阔三居室双阳台通..,三开间朝南的大三居户型 南面双阳台方正明亮 结构合理，方便布局，居住舒适,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.爱琴海购物广场，吾悦广场。,,,,,,,,适宜人群：适合喜欢安静的客户群体，整栋居住人口少，比较简单的邻里关系 楼层不高，出入方便，适合喜欢低楼层的家庭居住,,
128,次新小区 三开间朝南 户型方正 产权清晰 房东诚心出售,175万,15049,经开区潞城,东方君开,3室2厅1厨2卫,低楼层 (共27层),116.29㎡,暂无数据,暂无数据,暂无数据,西南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小高层 楼层佳 三开间朝南 户型方正 房东诚心出售 产权清晰,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
129,蓝山湖洋房底复 带前后花园 带地下室 随时看房,288万,11520,经开区潞城,蓝山湖,4室2厅1厨2卫,低楼层 (共7层),250㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-21,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,蓝山湖洋房底复 带前后花园 带地下室 随时看房,,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，吾悦广场。,此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,,此房有贷款，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,
130,自住装修保养好，采光视野良好，省心舒适之选,155万,11881,经开区潞城,公园壹号四期,3室2厅1厨2卫,低楼层 (共33层),130.47㎡,暂无数据,100.71㎡,塔楼,南,钢混结构,简装,两梯四户,有,暂无数据,2023-10-07,商品房,2012-11-05,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,房子原始房东，自住装修保养好，采光视野良好，省心舒适之选,房子户型是标准的两房 两个卧室和客厅的采光面都朝南 客厅位于中间 东西两侧为卧室的布局 很方正规整，便于家居家具的摆放。,,,公园壹号四期是公园壹号后期建造的一个花园式高层社区，绿化、楼间距都很优秀 邻湿地公园，健身休闲很方便 自驾出入高架也很便捷,,,交通情况：交通有地铁2号线潞城站和丁堰站，距离400米左右 公交车站牌在3期门口 环保自行车租赁归还点也在小区东门50米处 高架路龙城大道和青洋高架方便快速出行,,,,,
131,公园壹号精装两房未入住 房东诚心出售 有密码随时看,103.8万,12358,经开区潞城,公园壹号花园,2室2厅1厨1卫,高楼层 (共26层),84㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-07-31,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,公园壹号精装2房 满五 全天采光 地铁口 随时看房,,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.爱琴海购物广场，吾悦广场。,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,此房无抵押！产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,
132,亨达未来城  好楼层  房东诚心出售,120万,13044,经开区潞城,亨达未来城,3室2厅1厨1卫,中楼层 (共32层),92㎡,暂无数据,暂无数据,板塔结合,南 北,混合结构,其他,两梯四户,有,暂无数据,2023-08-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,,,,
133,牡丹招商公园学府95平3房高楼层 房东诚售,196万,20632,经开区潞城,牡丹招商·公园学府,3室2厅1厨1卫,高楼层 (共18层),95㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元 交行组合,未上传房本照片,此房户型方正，利用率高。 地段优越，交通便捷，配套齐全。,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.3％。 3、个税：产证满五年而且是唯一套住房，免收个税，未满5年成交价的1%。",,贷款抵押：交通银行组合贷有100多万未还。。 房源不满二，房东承担个税，增值税买方承担。,"售房原因：房屋空置无自住需求，房东资产整合考虑出售。
 房屋现状：房屋空置，可预约看房。",,,,,,
134,蓝山湖精装3房 满二 全天采光 地铁口公园旁 随时看房,125万,12401,经开区潞城,蓝山湖,3室2厅1厨1卫,低楼层 (共31层),100.8㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,一梯四户,有,暂无数据,2023-04-19,商品房,2023-07-25,普通住宅,未满两年,共有,无抵押,已上传房本照片,蓝山湖精装3房 满二 全天采光 地铁口公园旁 随时看房,,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，吾悦广场。,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,
135,无遮挡  亨达未来城 三房  南北通透  房东诚售,130万,12955,经开区潞城,亨达未来城,3室2厅1厨1卫,中楼层 (共32层),100.35㎡,暂无数据,暂无数据,板塔结合,南 北,混合结构,毛坯,两梯四户,有,暂无数据,2023-08-21,商品房,2021-03-24,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,户型周正，小三房格局，南北通透格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,,,,
136,此房格局通透，户型方正，房东诚心出售，看房方便。,125万,11905,经开区潞城,港龙.新港城,3室2厅1厨1卫,低楼层 (共18层),105㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2022-08-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元,未上传房本照片,此房格局通透，户型方正，房东诚心出售，看房方便。,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,
137,东方君开 三房 户型对比很nice 采光佳,150万,15625,经开区潞城,东方君开,3室1厅1厨1卫,低楼层 (共27层),96㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-11,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 90万元 建行,未上传房本照片,产权清晰 此房户型好，户型位置好，房东诚心急卖,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
138,亨达未来城 小高层中高楼层 采光好 有钥匙随时看房,135万,13637,经开区潞城,亨达未来城,3室2厅1厨1卫,中楼层 (共11层),99㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-01,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 40万元,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，全天阳光,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
139,此房格局通透，户型方正，楼层佳，视野开阔，全天阳光,83万,9223,经开区潞城,豪景家园,2室2厅1厨1卫,中楼层 (共25层),90㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-08-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，全天阳光,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层高，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1.	税费信息
A.首套 90平以下1%
B.首套90平以上1.5%
C.二套90平以下1%
D.二套90平以上2%
E.三套或以上3%

2.增值税：满2年免征，不满2年全额征收5.3%

3.个人所得税：不满5年征1%，满5且家庭 住房，省个税",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,,,,
