,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,周边配套,税费解析,小区介绍,权属抵押,售房详情,交通出行,装修描述,别墅类型,适宜人群,房源核验码,查询房管备案记录
171,公园壹号四期2年前精装两居全天阳光视野开阔公园湖景,100万,12346,经开区潞城,公园壹号四期,2室2厅1厨1卫,低楼层 (共33层),81㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-09-17,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 公积金 业主自还,未上传房本照片,"房子一直是业主自住，工作调动诚售
公园河景全天采光2020年装修","新城标准的两房户型 客厅和两个卧室朝南 户型方正无浪费面积
新装修3年一直自住  保养很好。",,,"新城地产的公园壹号在经开区潞城 西邻丁塘河湿地公园 南邻毓秀园公园  地铁2号线潞城站和丁堰站都可以乘坐
小区整体半人车分流，东北门（人车）、西门（行人）和东南门（人车）三个出入口 方便出行逛街
爱琴海、天宁吾悦、新怡华、菜场等齐全 生活氛围好。",,,"交通方面：龙城大道、青洋高架、地铁2号线、东方路、华丰路等拥有立体交通
小区门口有公交、公用电动自行车，方便的不要不要的。",,,,,
172,公园壹号精装三居中层配套齐全看房方便,130万,13930,经开区潞城,公园壹号花园,3室2厅1厨1卫,中楼层 (共26层),93.33㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光足，随时看房,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 封闭管理。,此房产权清晰，房源真实，业主诚心出售，看房方便，服务全程陪同,,,,,,,
173,蓝山湖精装修拎包住！局小和外国语分校！随时可看房！,120万,12000,经开区潞城,蓝山湖,3室2厅1厨2卫,高楼层 (共34层),100㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型方正.采光充足.交通便利.配套齐全,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,房子里面有一些贷款，， 房东诚心卖，， 价格可以沟通，产权清晰,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,
174,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,105万,11414,经开区潞城,亨达未来城,3室2厅1厨1卫,中楼层 (共32层),92㎡,暂无数据,暂无数据,板塔结合,南,混合结构,精装,两梯四户,有,暂无数据,2023-03-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,,,,
175,此房精装修，家具家电齐全，可直接拎包入住。户型方正,100万,10000,经开区潞城,亨达未来城,2室2厅1厨1卫,低楼层 (共32层),100㎡,暂无数据,暂无数据,板塔结合,南,混合结构,精装,两梯四户,有,暂无数据,2023-01-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房精装修，家具家电齐全，可直接拎包入住。户型方正,,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，吾悦广场。,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,
176,蓝山湖毛坯三房户型方正 业主诚售,125万,11468,经开区潞城,蓝山湖,3室2厅1厨1卫,低楼层 (共33层),109㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满五，楼层好，采光足，交通便利。,户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,,,,,,,,
177,此房格局通透，户型方正，楼层佳，视野开阔，阳光充足,76万,9645,经开区潞城,蓝山湖,2室1厅1厨1卫,中楼层 (共31层),78.8㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,一梯五户,有,暂无数据,2023-05-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 10万元,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光充足,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁,,,,,,,,
178,亨达未来城甄选好房，单价破万，企业力荐,90万,9768,经开区潞城,亨达未来城,2室1厅1厨1卫,低楼层 (共32层),92.14㎡,暂无数据,暂无数据,板塔结合,南,混合结构,毛坯,两梯四户,有,暂无数据,2023-10-07,商品房,2021-06-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"：
此房格局通透，户型方正，楼层佳，视野开阔，阳光好",户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,,,,
179,公园壹号四期 3室2厅 东南 南,150万,11381,经开区潞城,公园壹号四期,3室2厅1厨2卫,低楼层 (共33层),131.8㎡,暂无数据,暂无数据,塔楼,东南 南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,
180,港龙新港城 准新房 楼层佳 采光好 户型方正,125万,14334,经开区潞城,港龙.新港城,3室1厅1厨1卫,中楼层 (共34层),87.21㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-26,商品房,2020-01-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,港龙新港城 准新房 楼层佳 采光好 户型方正,,区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,"税费解析： 税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,,,,
181,港龙紫荆城 精装三房 中高楼层 采光刺眼 户型方正,156万,13123,经开区潞城,港龙紫荆城,3室2厅1厨1卫,高楼层 (共29层),118.88㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-09-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房精装三房 中间楼层 房东诚心出售,户型周正，格局分布合理，空间感好，通透性强，居住舒适 ，南北朝向，小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁,,,,,,,,
182,港龙新港城 电梯三房 楼层好视野佳 随时看,142万,13028,经开区潞城,港龙.新港城,3室2厅1厨1卫,中楼层 (共33层),109㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-08-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，户型方正，楼层佳， 视野开阔，阳光足,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
183,东方君开 毛坯四房 小洋房 诚心出售价格可谈 随时看房,228万,18843,经开区潞城,东方君开,4室2厅1厨2卫,低楼层 (共7层),121㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,中间楼层 三开间朝南 户型方正 房东诚心出售 产权清晰,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
184,东方君开 白金汉爵 次新小区小洋房 户型方正 诚心出售,225万,18596,经开区潞城,东方君开,3室2厅1厨2卫,低楼层 (共7层),121㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-08,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小高层 楼层佳 三开间朝南 户型方正 房东诚心出售 产权清晰,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
185,此房产权清晰，房源真实，业主诚心出售，看房方便，,200万,20000,经开区潞城,美的云筑,3室2厅1厨1卫,低楼层 (共27层),100㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-10-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
186,此房格局通透户型方正房东诚心出售，看房方便，楼层好,110万,10186,经开区潞城,港龙.新港城,3室2厅1厨1卫,高楼层 (共34层),108㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，户型方正，房东诚心出售，看房方便，楼层好,,区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,"税费解析： 税费解析： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,,,,
187,亨达未来城好房出售，单价已破万，楼层好,85万,9226,经开区潞城,亨达未来城,2室2厅1厨1卫,高楼层 (共32层),92.14㎡,暂无数据,暂无数据,板塔结合,南,混合结构,毛坯,两梯四户,有,暂无数据,2023-10-07,商品房,2021-12-29,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,户型周正小三房格局分布合理空间感好通透性强居住舒适2楼层佳南北朝向视野开阔采光通透3小区环境优美绿化覆盖面积多干净整洁内有健身器材和小型娱乐设施物业服务态度好,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,,,,
188,常钢宿舍 2室1厅 南 北,53万,8178,经开区潞城,常钢宿舍,2室1厅1厨1卫,高楼层 (共4层),64.81㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-02-21,商品房,2020-02-22,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,,,,,,,,,,,,,
189,洋房社区大横厅好楼层全天采光有钥匙,330万,23077,经开区潞城,美的云筑,4室2厅1厨2卫,中楼层 (共8层),143㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-02-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房南北通格局楼层好视野宽阔采光充足配套设施齐,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",小区地理位置好，交通、生活、健身、娱乐，都很方便，居住舒适。,,,门口就是高架，地铁口，距离校园，丁塘河湿地公园一路之隔，生活舒适交通便捷,,,,,
190,万科潮起东方精装交付双阳台业主诚心出售,165万,17011,经开区潞城,万科潮起东方,3室2厅0厨1卫,中楼层 (共18层),97㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,精装3房1卫双阳台 现房，无遮挡全天采光 随时看房,,综合市场，爱琴海购物广场，常青里巷，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，吾悦广场。,税费解析：此房不满二，故个税是1%。契税：首套房90平米以上是成交价的1.5％； 二套房90平米以上是成交价的2％；三套房是成交价的3％，增值税5.3%。,,此房无贷款，无抵押，产权清晰。按照正常首付，可以开发商处改合同。,,,,,,,
191,此房户型方正，利用率高。 地段优越，交通便捷，,225万,19335,经开区潞城,牡丹招商·公园学府,3室2厅1厨2卫,低楼层 (共27层),116.37㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-16,商品房,2023-01-19,普通住宅,未满两年,非共有,有抵押,已上传房本照片,此房户型方正，利用率高。 地段优越，交通便捷，配套齐全。,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.3％。 3、个税：产证满五年而且是唯一套住房，免收个税，未满5年成交价的1%。",环境优美：小区安静优雅，绿化较好，带有休闲设施，外部道路宽阔，交通十分便利。,,,,,,,,
192,小高层楼层佳三开间朝南户型方正房东诚心出售产权清晰,300万,22389,经开区潞城,东方君开,3室2厅1厨2卫,高楼层 (共7层),134㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小高层 楼层佳 三开间朝南 户型方正 房东诚心出售 产权清晰,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
193,出门地铁，公园，新小区，双阳台，楼层好采光好,215万,22165,经开区潞城,牡丹招商·公园学府,3室2厅1厨1卫,中楼层 (共27层),97㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,出门地铁，公园，新小区，双阳台，楼层好采光好,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
194,公园壹号四期精装修，户型方正楼层好，业主诚心出售,95万,11579,经开区潞城,公园壹号四期,2室2厅1厨1卫,中楼层 (共33层),82.05㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-20,商品房,2014-02-14,普通住宅,暂无数据,非共有,有抵押 27.2万元 中国建设银行,已上传房本照片,小区内有健身器材，可供小区居民使用 小区内停车位充足，建有地下停车场，人车分流，绿化到位,1.契税首套房90平方以下成交价的1%，90平方以上成交价的1.5%，二套房90平以上成交价的2% 增值税:产证满两年免收增值税，未满两年征收5.6% 个税:产证满五年，而且是一套住房，免收个税，未满五年成交价的1%,小区门口有99路公交直达新北恐龙园，77路公交直达火车东站 门口有地铁2号线，往西边可到钟楼区,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.爱琴海购物广场，吾悦广场。,户型方正，格局分布十分合理。空间感好。居住舒适。楼层佳。朝向南北。视野开阔。采光透亮。小区环境优美。绿化面积高。干净整洁。内有健身器材和娱乐广场。物业服务态度好,,,,,,,052466460951,公园壹号四期精装修，户型方正楼层好，业主诚心出售
195,公园壹号三期通透双阳台三朝南户型低层三居双卫安静,115万,9236,经开区潞城,公园壹号花园,3室2厅1厨2卫,低楼层 (共18层),124.52㎡,暂无数据,102.05㎡,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-12-21,商品房,2011-12-11,普通住宅,暂无数据,共有,无抵押,已上传房本照片,公园壹号经典户型 三开间朝南，格局通透，户型方正三居双卫,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,新城地产建设和物业服务，小区环境优美，绿化面积大，车位充足，入住率高，生活氛围浓郁，人文素养高，相处和谐，物业方便快捷，安保24小时巡逻，本小区设有门禁管理完善。,此房产权清晰无贷款、抵押，房源真实，业主诚心出售，看房方便，享受贝壳优质服务承诺。,,,,,,,
196,亨达未来城两房户型，全天采光无遮，业主诚售,85万,9993,经开区潞城,亨达未来城,3室2厅1厨1卫,高楼层 (共26层),85.06㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-12-29,商品房,2021-02-07,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,户型方正格局分布合理空间感好通透性强居住舒适2楼层佳南北朝向视野开阔采光通透3小区环境优美绿化覆盖面积多干净整洁内有健身器材和小型娱乐设施物业服务态度好,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,,,,
197,公园壹号联排别墅诚心卖有装修，潞城有花园,580万,25083,经开区潞城,公园壹号花园,5室2厅1厨3卫,低楼层 (共3层),231.24㎡,,暂无数据,,南,未知结构,简装,,,暂无数据,2024-03-06,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片,公园壹号精装修小别墅看房随时，诚心卖，价格可谈,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。 规划的地铁2号线丁堰站800米，距离brt白金汉爵..,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,暂无数据,,,
198,公园壹号花园 3室2厅 南,138万,14787,经开区潞城,公园壹号花园,3室2厅1厨1卫,低楼层 (共26层),93.33㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,
199,公园壹号四期 2室1厅 南,85万,10604,经开区潞城,公园壹号四期,2室1厅1厨1卫,高楼层 (共33层),80.16㎡,暂无数据,暂无数据,塔楼,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-02,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,
200,房子原始房东，自住装修保养好，采光视野良好，,168万,13144,经开区潞城,公园壹号四期,3室1厅1厨2卫,中楼层 (共33层),127.82㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,两梯三户,有,暂无数据,2023-12-07,商品房,2020-07-16,普通住宅,暂无数据,非共有,有抵押 110万元,已上传房本照片,房子原始房东，自住装修保养好，采光视野良好，省心舒适之选,房子户型是标准的两房 两个卧室和客厅的采光面都朝南 客厅位于中间 东西两侧为卧室的布局 很方正规整，便于家居家具的摆放。,,,公园壹号四期是公园壹号后期建造的一个花园式高层社区，绿化、楼间距都很优秀 邻湿地公园，健身休闲很方便 自驾出入高架也很便捷,,,交通情况：交通有地铁2号线潞城站和丁堰站，距离400米左右 公交车站牌在3期门口 环保自行车租赁归还点也在小区东门50米处 高架路龙城大道和青洋高架方便快速出行,,,,,
201,此房格局通透，户型方正，房东诚心出售，看房方便，,110万,12529,经开区潞城,港龙紫荆城,2室2厅2厨1卫,低楼层 (共29层),87.8㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房格局通透，户型方正，房东诚心出售，看房方便，楼层好,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，，车位充足人文素养高， 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
202,精装3房1卫双阳台 现房，无遮挡全天采光 随时看房,160万,16448,经开区潞城,万科潮起东方,3室2厅1厨1卫,中楼层 (共18层),97.28㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,精装3房1卫双阳台 现房，无遮挡全天采光 随时看房,,综合市场，爱琴海购物广场，常青里巷，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，吾悦广场。,税费解析：此房不满二，故个税是1%。契税：首套房90平米以上是成交价的1.5％； 二套房90平米以上是成交价的2％；三套房是成交价的3％，增值税5.3%。,,房东诚心出售 首付没要求 贷款全款都可以 没有贷款 过户全程陪同,,,,,,,
