,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,周边配套,税费解析,户型介绍,售房详情,装修描述,交通出行,房源核验码
83,房屋格局好 布局合理，房东诚意出售,110万,11207,武进区南夏墅街道,新城都荟,3室1厅1厨1卫,低楼层 (共20层),98.16㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-14,商品房,2020-06-15,普通住宅,暂无数据,非共有,有抵押 60万元,已上传房本照片,房屋格局好 布局合理，房东诚意出售,1、小区生活设施齐，商场 菜市场 银行等 交通便捷 2、小区内有健身器材 ，可供小区居民使用 3、小区车位充足 建有地上和地下停车场 4、小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适 2、南北朝向，视野开阔，采光通透 3、小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,
84,高新区南夏墅中梁百悦城三房采光充足房东诚售,115万,13219,武进区南夏墅街道,中梁百悦城,3室2厅1厨1卫,中楼层 (共18层),87㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,采光佳，环境好，靠公园，楼层好，户型不错 随时可看,1、小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,
85,南夏墅 次新小区 新城都荟 毛坯3房 双阳台 随时看房,170万,14286,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,高楼层 (共11层),119㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-30,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 70万元,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,
86,高新区地铁口荣盛御府洋房毛坯三房采光充足房东诚售,130万,11107,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,中楼层 (共8层),117.05㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,地铁口新小区，品质洋房社区，视野宽阔，配套齐全，交通便利,房子是2020年年底才交付的2023年5月份满二，小区环境优美，人车分流，楼间距大，小区是洋房和小高层为主，小区南门自带商铺，可以满足日常需求,小区生活设施齐，商场、菜市场、银行等，交通便捷； 小区内有健身器材，小型篮球场，可供小区居民使用； 小区内停车位充足，建有地上停车场和地下车库；,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适 2、南北朝向，视野开阔，采光通透 3、小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,
87,新上 南夏墅地铁口荣盛御府洋房毛坯 可随时看房,160万,13334,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,中楼层 (共9层),120㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
88,南夏墅地铁口荣盛御府洋房一梯两户好房出售,148万,11756,武进区南夏墅街道,荣盛御府,4室2厅1厨2卫,高楼层 (共9层),125.9㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-07-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元,未上传房本照片,户型方正，满足三代同堂需求，产权清晰，南北通透,"1:小区生活实施齐全，商场,菜市场,银行等。2:小区内有健身器材,小型篮球 场，可供小区居民使用。3 :小区停车位充足,建有地面临时停车位以及底下停车 位。4 :小区内24小时保安巡逻",,"1契税:首套房成交价的1.5% ,二套房成交价的2% ,三套房成交价的3%。增值税:满2年免征,不满2年成交额征收5.6%。个税:不满5年征收1%","1:户型方正,格局分布合理,空间感好,通透性强,居住舒适。2:楼层佳,朝向南北,视野开阔，采光充沛。3:小区环境优美,绿化覆盖面积高,干净整洁,内有建设器材和娱乐场所,物业态度较好",,,,
89,南湖家苑二期2-2-1-1 95.60m² 108 万,100万,10430,武进区南夏墅街道,南湖家苑二期,2室2厅1厨1卫,低楼层 (共18层),95.88㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-01,商品房,2019-12-21,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,好房力荐 满2 前排无遮挡 位置佳 通风好 房东诚售，价格可谈,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,,,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，,,,小区门口公交地铁都有，出行很方便，门口打车很方便，有很多出租车在门口，出了小区就是地铁一号线。,
90,高新区中梁百悦城毛坯三房采光充足房东诚售,115万,13176,武进区南夏墅街道,中梁百悦城,3室2厅1厨1卫,高楼层 (共18层),87.28㎡,暂无数据,暂无数据,暂无数据,东 南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-26,商品房,2021-07-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,高新区新小区，品质社区，视野宽阔，配套齐全，交通便利,小区环境优美，人车分流，楼间距大，小区是小高层为主，小区西门自带商铺，可以满足日常需求,小区生活设施齐，商场、菜市场、银行等，交通便捷； 小区内有健身器材，小型篮球场，可供小区居民使用； 小区内停车位充足，建有地上停车场和地下车库；,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适 2、南北朝向，视野开阔，采光通透 3、小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,
91,出售 中梁百悦城毛坯4房 户型好 位置好 采光无遮挡,135万,11066,武进区南夏墅街道,中梁百悦城,4室2厅1厨2卫,低楼层 (共18层),122㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 客户偿还,未上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
92,诚心出售 南夏墅品质小区荣盛御府洋房 有钥匙可看房,165万,14348,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,高楼层 (共11层),115㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房户型方正 三房朝南加客厅朝南 中高楼层采光好 配套齐全,小区生活设施齐，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，小型篮球场，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。 4.小区内24小时保安巡逻,,1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,,
93,诚心出售 南夏墅品质小区 新城都荟品质洋房 可看房,165万,13866,武进区南夏墅街道,新城都荟,3室2厅1厨3卫,低楼层 (共11层),119㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-09,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
94,诚心出售 南夏墅品质小区百悦城毛坯三房 楼层好采光好,125万,11905,武进区南夏墅街道,中梁百悦城,3室2厅1厨2卫,中楼层 (共17层),105㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
95,诚心出售 品质小区 新城都荟精装3房2卫 楼层采光无忧,160万,13560,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,中楼层 (共20层),118㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,暂无数据,2023-08-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 60万元,未上传房本照片,户型方正 通风性佳 客厅卧室都有大窗户，采光面更高,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
96,出售 中梁前黄壹号院3房2卫 楼层好 视野好 采光无忧,125万,10987,武进区南夏墅街道,中梁前黄壹号院,3室2厅1厨2卫,高楼层 (共18层),113.78㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-31,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型周正，格局合理空间感好，居住舒适。楼层佳,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,小区生活设施齐，商场菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,"契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%

房主自荐(业主对房源的描述)",,,,,
97,诚心出售 南夏墅 新城都荟 品质小区 采光好 楼层好,160万,13446,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,低楼层 (共20层),119㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,
98,出售 新城都荟精装3房 户型方正 南北通透 采光无遮挡,138万,14082,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,低楼层 (共20层),98㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,暂无数据,2023-08-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元,未上传房本照片,户型方正 通风性佳 客厅卧室都有大窗户，采光面更高,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
99,诚心出售 中梁百悦城3房 户型方正 采光无忧 无遮挡,120万,11402,武进区南夏墅街道,中梁百悦城,3室2厅1厨2卫,低楼层 (共17层),105.25㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-08-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元,未上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
100,诚心出售 南夏墅地铁口荣盛御府洋房 可看房 采光好,135万,12981,武进区南夏墅街道,荣盛御府,3室2厅1厨1卫,高楼层 (共8层),104㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-07-30,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
101,新城都荟、毛坯好楼层、有钥匙、全天采光。,195万,15117,武进区南夏墅街道,新城都荟,4室2厅1厨2卫,中楼层 (共11层),129㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮,,,,
102,荣盛御府 三房二卫 毛坯出售 户型方正随时可看房,150万,12680,武进区南夏墅街道,荣盛御府,3室2厅1厨1卫,高楼层 (共8层),118.3㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元,未上传房本照片,户型周正，格局合理空间感好，居住舒适。楼层佳,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,小区生活设施齐，商场菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,,,,
103,急售 南夏墅上悦城 户型方正 随时看房,113万,12159,武进区南夏墅街道,上悦城,3室2厅1厨1卫,高楼层 (共20层),92.94㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-24,商品房,2023-07-07,普通住宅,未满两年,共有,有抵押,已上传房本照片,房东诚心出售，户型方正，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮,,,,
104,三开间朝南 高新区品质小区中梁百悦城 采光好 无遮挡,120万,11599,武进区南夏墅街道,中梁百悦城,3室2厅1厨2卫,高楼层 (共18层),103.46㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-06,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 70万元 江南银行,未上传房本照片,"户型好,格局好,采光充足，交通便利","1:小区生活实施齐全，商场,菜市场,银行等。2:小区内有健身器材,小型篮球 场，可供小区居民使用。3 :小区停车位充足,建有地面临时停车位以及底下停车 位。4 :小区内24小时保安巡逻。",,"1契税:首套房成交价的1.5% ,二套房成交价的2% ,三套房成交价的3%。增值税:满2年免征,不满2年成交额征收5.6%。个税:不满5年征收1%","1:户型方正,格局分布合理,空间感好,通透性强,居住舒适。2:楼层佳,朝向南北,视野开阔，采光充沛。3:小区环境优美,绿化覆盖面积高,干净整洁,内有建设器材和娱乐场所,物业态度较好",,,,
105,诚心出售紫竹悦庭毛坯房 可随时看房 有钥匙 价可谈,130万,12358,武进区南夏墅街道,中梁百悦城,3室2厅1厨2卫,高楼层 (共18层),105.2㎡,暂无数据,暂无数据,暂无数据,东 南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房户型方正 三房朝南加客厅朝南 中高楼层采光好 配套齐全,小区生活设施齐，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，小型篮球场，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。 4.小区内24小时保安巡逻,,1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,,
106,新城都荟 业主诚心出售 价格能谈随时可看,168万,14045,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,中楼层 (共20层),119.62㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 80万元 邮政 业主自还,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,
107,新城都荟 业主诚心出售 价格能谈随时看,155万,12016,武进区南夏墅街道,新城都荟,4室2厅1厨2卫,低楼层 (共11层),129㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-31,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,
108,诚心出售 南夏墅地铁口 荣盛御府毛坯四房 看房方便,150万,12606,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,低楼层 (共11层),119㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-12-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 27万元 公积金,未上传房本照片,房屋格局好 布局合理，房东诚意出售,1.小区生活设施齐，商场 菜市场 银行等 交通便捷 2小区内有健身器材 ，可供小区居民使用。3小区车位充足 建有地上和地下停车场 .4小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适 2、南北朝向，视野开阔，采光通透 3、小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,
109,南湖家苑二期 精装三房 拎包入住,145万,10966,武进区南夏墅街道,南湖家苑二期,3室2厅1厨2卫,高楼层 (共18层),132.23㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-04-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,交通便利 环境好 配套齐全 小区物业不错,小区有24小时门岗。物业认真负责 小区绿化绿指都有专人经常打理的,,契税：1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,1，户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施,,,,
110,诚心出售 南夏墅地铁口荣盛御府洋房 有钥匙可看房,175万,14584,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,高楼层 (共11层),120㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正 三房朝南加客厅朝南 中高楼层采光好 配套齐全,小区生活设施齐商场菜市场银行等交通便捷2小区内有健身器材小型篮球场可供小区居民使用3小区内停车位充足建有地下停车场人车分流 地上24小时保安巡逻,,1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,,
