,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,周边配套,税费解析,户型介绍,售房详情,装修描述,交通出行,房源核验码
139,上悦城 户型方正，采光无遮挡，通透性好,102万,12593,武进区南夏墅街道,上悦城,2室2厅1厨1卫,低楼层 (共20层),81㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 67万元 中国银行 客户偿还,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，纯毛坯,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,
140,商场边百悦城，中间楼层，毛坯，置换急售，看房随时,115万,13222,武进区南夏墅街道,中梁百悦城,3室2厅1厨1卫,中楼层 (共17层),86.98㎡,暂无数据,暂无数据,暂无数据,北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局合理空间感好，居住舒适。楼层佳,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,小区生活设施齐，商场菜市场、银行等，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,,,,
141,南湖家苑二期 2室2厅 南,95.4万,10000,武进区南夏墅街道,南湖家苑二期,2室2厅1厨1卫,高楼层 (共18层),95.34㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-08-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,
142,房东诚心出售，户型方正采光无遮挡，通透性好好楼层,133.9万,13664,武进区南夏墅街道,新城都荟,3室2厅1厨1卫,中楼层 (共20层),98㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,十八梯两户,有,暂无数据,2023-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,
143,南夏墅上悦城房屋格局好 布局合理，房东诚意出售,126万,15556,武进区南夏墅街道,上悦城,3室2厅1厨1卫,中楼层 (共20层),81㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-07-18,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,房屋格局好 布局合理，房东诚意出售,1、小区生活设施齐，商场 菜市场 银行等 交通便捷 2、小区内有健身器材 ，可供小区居民使用 3、小区车位充足 建有地上和地下停车场 4、小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适 2、南北朝向，视野开阔，采光通透 3、小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,
144,高新区南夏墅嘉宏蓝爵三房两卫采光充足房东诚售,140万,14307,武进区南夏墅街道,嘉宏蓝爵,3室2厅1厨2卫,低楼层 (共17层),97.86㎡,暂无数据,暂无数据,暂无数据,东南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,采光佳，环境好，靠公园，楼层好，户型不错 随时可看,1、小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,
145,新城都荟 满二自住房 房东诚心出售,135万,11250,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,高楼层 (共7层),120㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,一梯两户,有,暂无数据,2023-10-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；,,,,
146,东边户 户型方正  景观楼层 房东诚心出售 随时可看房,190万,14180,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,中楼层 (共11层),134㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-11-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房户型方正 三房朝南加客厅朝南 中高楼层采光好 东边户,小区生活设施齐商场菜市场银行等交通便捷2小区内有健身器材小型篮球场可供小区居民使用3小区内停车位充足建有地下停车场人车分流 地上24小时保安巡逻,,1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,,
147,中梁百悦城 户型方正 精装领包入住 随时可看房,156万,13463,武进区南夏墅街道,中梁百悦城,4室2厅1厨2卫,低楼层 (共18层),115.88㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,力荐好房  无遮挡 位置佳 通风好 房东诚售,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,,契税：1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：其他统一1%,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,,,
148,前黄壹号院 户型方正 房东诚心出售 有钥匙 随时可看房,145万,12461,武进区南夏墅街道,中梁前黄壹号院,3室2厅1厨2卫,低楼层 (共18层),116.37㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 17万元,未上传房本照片,前排位置 南北向 看房有钥匙 诚意出售 保养新 楼层好 采光佳,,小区生活设施齐，商场、菜市场、银行等，交通便捷； 小区内有健身器材，小型篮球场，可供小区居民使用； 小区内停车位充足，建有地上停车场和地下车库；,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 楼层佳，朝向南北，视野开阔，采光透亮,,,,
149,嘉宏蓝爵 有钥匙随时可看 纯毛坯,130万,13132,武进区南夏墅街道,嘉宏蓝爵,3室2厅1厨2卫,低楼层 (共9层),99㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-09,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 90万元,未上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
150,武高新 地铁口 荣盛御府 精装未入住 小高层 随时看房,200万,15806,武进区南夏墅街道,荣盛御府,4室2厅1厨2卫,中楼层 (共11层),126.54㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-03-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,
151,上悦城 南夏墅 户型方正 房东诚售,125万,13587,武进区南夏墅街道,上悦城,3室2厅1厨1卫,中楼层 (共19层),92㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,
152,南湖家苑二期 2室2厅 南,98万,9800,武进区南夏墅街道,南湖家苑二期,2室2厅1厨2卫,低楼层 (共18层),100㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,一梯三户,有,暂无数据,2024-03-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元 商贷,未上传房本照片,,,,,,,,,
153,南夏墅 中梁百悦城 户型方正南北通透 房东诚心出售,145万,12609,武进区南夏墅街道,中梁百悦城,4室2厅1厨2卫,高楼层 (共18层),115㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房东诚心出售置换 户型方正，配套齐全,1.小区生活设施完全， 2：小区里面人车分流，绿化高，环境不错。有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%",三开间朝南户型 3+1房 前排无遮挡 视野良好 采光充足 看房提前联系 诚心出售的,,,,
154,前黄瑞景花园，户型方正 房东诚心出售 随时可以看房,178万,12443,武进区南夏墅街道,瑞景花园,4室2厅1厨2卫,低楼层 (共17层),143.06㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-19,商品房,2017-01-13,普通住宅,暂无数据,共有,有抵押,已上传房本照片,空间感好，通透性强，居住舒适； 层佳，朝向南北，视野开.,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮；,,,,
155,南夏墅中梁百悦城 刚需三房好楼层诚心出售有钥匙看房,105万,12078,武进区南夏墅街道,中梁百悦城,2室2厅1厨1卫,中楼层 (共18层),86.94㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-02-28,商品房,2021-11-01,普通住宅,暂无数据,非共有,有抵押 50万元,已上传房本照片,户型方正全朝南明亮通透视野好 设施配套齐全,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,,契税：首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,,,
156,诚心出售 品质小区 新城都荟3房2卫 楼层好 户型方正,145万,12185,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,高楼层 (共19层),119㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-04,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,采光佳，环境好，靠公园，楼层好，户型不错 随时可看,1、小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,
157,上悦城3室2厅1卫，毛坯，采光好，价格可以谈，诚心,135万,14587,武进区南夏墅街道,上悦城,3室2厅1厨1卫,低楼层 (共20层),92.55㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-19,商品房,2023-06-29,普通住宅,未满两年,非共有,有抵押 90万元 江南银行 业主自还,已上传房本照片,房东诚心出售，户型方正，通透性好，采光无遮挡,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,房屋产权70年契税；首套房契税小于90平方计税价格百分之1个点，大于90平方计税价格百分之1.5个点，二套契税小于90平方计税价格百分之1个点，大于90平方计税价格百分之2个点。三套以上计税价格百分之3个点，2；增值税满二年免征，不满二年征5.3%,户型方正，格局分布十分合理。空间感好。居住舒适。楼层佳。朝向南北。视野开阔。采光透亮。小区环境优美。绿化面积高。干净整洁。内有健身器材和娱乐广场。物业服务态度好,,,,
158,荣盛御府 3室2厅 南,155万,11376,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,中楼层 (共11层),136.26㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-17,商品房,2018-06-02,普通住宅,满五年,非共有,暂无数据,已上传房本照片,,,,,,,,,
159,百悦城商场旁 中南上悦城精装修卫入住 3房,115万,14226,武进区南夏墅街道,上悦城,3室2厅1厨1卫,高楼层 (共20层),80.84㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-11,商品房,2023-08-04,普通住宅,未满两年,非共有,有抵押,已上传房本照片,百悦城商场旁 中南上悦城精装修卫入住 3房,,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,房东自己精装修的，花了16万左右，马上收工了，没有入住过。小区是23年3月才交付。,,
160,诚心出售 中梁百悦城3房 位置好 采光无遮挡,103万,11649,武进区南夏墅街道,中梁百悦城,3室2厅1厨1卫,低楼层 (共17层),88.42㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局合理空间感好，居住舒适。楼层佳,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,小区生活设施齐，商场菜市场、银行等，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,,,,
161,"中梁百悦城 户型好,格局好,采光充足，交通便利",118万,11212,武进区南夏墅街道,中梁百悦城,3室2厅1厨2卫,低楼层 (共17层),105.25㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-18,商品房,2024-03-18,普通住宅,未满两年,共有,有抵押 50万元,已上传房本照片,"户型好,格局好,采光充足，交通便利","1:小区生活实施齐全，商场,菜市场,银行等。2:小区内有健身器材,小型篮球 场，可供小区居民使用。3 :小区停车位充足,建有地面临时停车位以及底下停车 位。4 :小区内24小时保安巡逻。",,"1契税:首套房成交价的1.5% ,二套房成交价的2% ,三套房成交价的3%。增值税:满2年免征,不满2年成交额征收5.6%。个税:不满5年征收1%","1:户型方正,格局分布合理,空间感好,通透性强,居住舒适。2:楼层佳,朝向南北,视野开阔，采光充沛。3:小区环境优美,绿化覆盖面积高,干净整洁,内有建设器材和娱乐场所,物业态度较好",,,,
162,上悦城毛坯三房，采光好，小区比较新，楼层不错。,128万,13773,武进区南夏墅街道,上悦城,3室2厅1厨1卫,中楼层 (共20层),92.94㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-19,商品房,2023-07-07,普通住宅,未满两年,共有,有抵押 89万元 工商银行武进支行 业主自还,已上传房本照片,房东诚心出售，户型方正，通透性好，采光无遮挡,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,房屋产权70年契税；首套房契税小于90平方计税价格百分之1个点，大于90平方计税价格百分之1.5个点，二套契税小于90平方计税价格百分之1个点，大于90平方计税价格百分之2个点。三套以上计税价格百分之3个点，2；增值税满二年免征，不满二年征5.3%,户型方正，格局分布十分合理。空间感好。居住舒适。楼层佳。朝向南北。视野开阔。采光透亮。小区环境优美。绿化面积高。干净整洁。内有健身器材和娱乐广场。物业服务态度好,,,,
163,诚心出售 品质小区新城都荟98平 南北通透户型 双阳台,130万,13266,武进区南夏墅街道,新城都荟,3室2厅1厨1卫,低楼层 (共20层),98㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 70万元,未上传房本照片,诚心出售 品质小区新城都荟 南北通透户型 双阳台 楼层好 采光好,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；,,,,
164,上悦城房东诚心出售，户型方正，通透性好，采光无遮挡,115万,12374,武进区南夏墅街道,上悦城,3室2厅1厨1卫,高楼层 (共20层),92.94㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,两梯五户,有,暂无数据,2024-03-06,商品房,2023-02-06,普通住宅,未满两年,非共有,有抵押 20万元,已上传房本照片,房东诚心出售，户型方正，通透性好，采光无遮挡,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,房屋产权70年契税；首套房契税小于90平方计税价格百分之1个点，大于90平方计税价格百分之1.5个点，二套契税小于90平方计税价格百分之1个点，大于90平方计税价格百分之2个点。三套以上计税价格百分之3个点，2；增值税满二年免征，不满二年征5.3%,户型方正，格局分布十分合理。空间感好。居住舒适。楼层佳。朝向南北。视野开阔。采光透亮。小区环境优美。绿化面积高。干净整洁。内有健身器材和娱乐广场。物业服务态度好,,,,
165,南湖家苑精装满二、交通便利，采光好，诚心出售。,105万,9947,武进区南夏墅街道,南湖家苑二期,3室2厅1厨2卫,中楼层 (共18层),105.56㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,精装修满二，房东诚心出售，采光通风性能好,小区居民文化素养高。环境优雅. 老少皆宜 .........,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,,,,大学城，BRT，武进公交总站，武进客运站，学府东苑市场出行方便....,
166,南湖家苑二期 3室2厅 南,99万,9397,武进区南夏墅街道,南湖家苑二期,3室2厅1厨1卫,中楼层 (共18层),105.36㎡,暂无数据,暂无数据,塔楼,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
167,中梁前黄壹号院人车分流， 随时可签看房方便居住舒适,140万,11571,武进区南夏墅街道,中梁前黄壹号院,3室2厅1厨2卫,中楼层 (共10层),121㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,2021-04-19,普通住宅,暂无数据,共有,有抵押 80万元,已上传房本照片,小区人车分流， 随时可签，看房方便，居住舒适,1.小区生活设施齐全，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，小型篮球场，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。 4.小区内24小时保安巡逻。,,1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,1.户型方正，整体布局合理。空间感好。2.居住舒适。楼层佳。朝向南北。视野开阔。采光透亮。3.小区环境优美。绿化面积高。干净整洁。4.内有健身器材和娱乐广场。5.物业服务态度好,,,,
168,南夏墅品质小区 新城都荟毛坯三房两卫 全天采光有钥匙,138万,11626,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,中楼层 (共19层),118.7㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-20,商品房,2020-06-16,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,小区人车分流，精装修边户 随时可签，看房方便，居住舒适。,1.小区生活设施齐全，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，小型篮球场，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。 4.小区内24小时保安巡逻。,,1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,1.户型方正，整体布局合理。空间感好。2.居住舒适。楼层佳。朝向南北。视野开阔。采光透亮。3.小区环境优美。绿化面积高。干净整洁。4.内有健身器材和娱乐广场。5.物业服务态度好。,,,,
169,南湖家苑二期 3室2厅 南,120万,11321,武进区南夏墅街道,南湖家苑二期,3室2厅1厨1卫,中楼层 (共18层),106㎡,暂无数据,暂无数据,塔楼,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-20,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
