,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,周边配套,税费解析,户型结构,建筑类型,梯户比例,配备电梯,小区介绍,户型介绍,交通出行,用水类型,用电类型,售房详情,权属抵押,装修描述
59,"此房满五有钥匙采光好,出门就有公园",130万,12595,武进区雪堰镇,太湖香树花园,3室2厅1厨1卫,低楼层 (共3层),103.22㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2023-07-12,商品房,2017-09-05,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"此房满五有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
60,此房满二，楼层采光好，出门就是公园南北通风。,175万,12682,武进区雪堰镇,旷达福源二区,4室2厅1厨2卫,低楼层 (共9层),138㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2023-10-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满二，楼层采光好，出门就是公园南北通风。,,小区生活设施，商场，菜市场，银行，交通便捷，小区有健身器材，小型气场，可居民使用,满五唯一，90个平方以下税费一个点，满5唯一90个平方以上，税费1.5。,暂无数据,暂无数据,暂无数据,暂无数据,小区生活设施，商场，菜市场，银行，交通便捷，小区有健身器材，小型气场，可居民使用,,,,,,,
61,望湖名门 4室2厅 南,135万,15017,武进区雪堰镇,望湖名门,4室2厅1厨2卫,高楼层 (共12层),89.9㎡,暂无数据,南,钢混结构,精装,,暂无数据,2023-06-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,暂无数据,板塔结合,一梯三户,有,,,,,,,,
62,楼层好，视野好， 房东诚心出售,165万,13750,武进区雪堰镇,雪湖新苑,3室2厅1厨2卫,中楼层 (共18层),120㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-05-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好，视野好，雪湖新苑 满五唯一 房东诚心出售,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,暂无数据,板塔结合,两梯四户,有,小区环境优美，配套成熟，交通便利，居住舒适。人文素养好，乐于助人，相处和谐,"方正通透，户型正气，视野宽阔,采光无遮挡，配套设施齐全..。",,,,,,
63,房东诚心出售，大开间，采光好，交通便利,140万,11291,武进区雪堰镇,阳光花园,3室1厅1厨2卫,低楼层 (共6层),124㎡,暂无数据,南 北,钢混结构,其他,,暂无数据,2023-05-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房东诚心出售，大开间，采光好，交通便利,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,板塔结合,暂无数据,暂无数据,1.环境优雅，低密度社区2.绿化优美，感受大自然带来的美丽3.儿童游乐设施齐，给孩子快乐的童年，减少带孩子外出游玩带来的麻烦4.交通便利，四通八达，出行更加方便，节省时间5.配套医院近，适合几代人的家庭,,,,,售房详情： 售房详情：业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,
64,太湖湾度假村依山傍水环境优美适合居住,958万,17644,武进区雪堰镇,太湖湾度假村,5室3厅1厨4卫,低楼层 (共4层),542.97㎡,暂无数据,南,未知结构,毛坯,独栋,暂无数据,2020-12-04,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片,背山面湖 视野*佳 天然氧吧  居住舒适,适合任何人群居住，【景区】动漫嬉戏谷、灵山大佛、中华孝道园、拈花湾均，抵达影视基地三国城、水浒城。,【商 业】自带7500方商圈，太滆美食街，太滆菜场，万达，太湖旅游度假区，自带17个主题特色品巷。 【银行】太滆镇农商行 中国工商银行 中国农业银行 中国建设银行 【医院】 潘家医院 雪堰医院,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,四 周交通畅达，苏锡常南部湖底隧道开通在即，太湖湾旅游度假区的腹 地，无锡常州宜兴三地几何中 心，无锡梅园轻轨S2号延伸线抵达宜兴,,,,,
65,观山湖景叠加别墅  房东诚心出售 看中价格可谈,180万,14899,武进区雪堰镇,太湖庄园,3室2厅1厨2卫,中楼层 (共4层),120.82㎡,暂无数据,北 南,未知结构,毛坯,,暂无数据,2023-07-15,商品房,2023-03-05,普通住宅,未满两年,共有,无抵押,已上传房本照片,此房观湖靠山 有南北大露台 可做空中花园,合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,,契税:1.首套90平以下1%2.首套90平以上1.5% 3.二套90平以下1%4.二套90平以上2%5.三套都是3%增值税:产权满两年免征产权不满两年征收比例为5.3%个人所得税:产证满五唯一免征其他统一1%,暂无数据,暂无数据,暂无数据,暂无数据,,户型周正，格局分布合理，空间感好，通透性强，居住舒适2.南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁。内有健身器材和小型娱乐设施。物业服务态度好。,,,,,,
66,房屋南北通透，全天采光，有停车位,163万,14955,武进区雪堰镇,佳源名人公馆,3室2厅1厨2卫,低楼层 (共23层),109㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-06-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,南北通透格局，楼层好，视野宽阔，交通方便，价格包含一个停车位,,,此房为商品房，满两年免收增值税，首套1%，二套1.5%，两套以上2%，不满两年交5.8的增值税,暂无数据,板塔结合,两梯两户,有,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道,南北通透，视野宽阔，采光无遮挡，三房两厅两卫，配套设备齐全。,,,,,,
67,精装电梯房，全天采光，户型方正，南北通风,140万,11429,武进区雪堰镇,悦欣庭院,3室2厅1厨2卫,低楼层 (共11层),122.5㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-07-31,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,适合任何人居住，景区动漫嬉戏谷，灵山大佛，中华孝道园,,出门右转就是幼儿园，商场菜场旁边就是人民休闲娱乐场所，步行就能医院,满5唯一90个平方以下税费一个点满5，唯一90个平方以上，税费1.5二套房90个平方以下二个点，满90个平方以上税费2.5不满有增值税5.3,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，适合任何人居住，小区娱乐，设施，供小区人玩耍上街很便利,户型周正，格局分布合理，空间感好，通透性强，居住舒适，南北通透,,,,,,
68,此房楼层好，视野开阔，采光充足，配套设施齐全。,134万,11552,武进区雪堰镇,世纪锦苑,3室2厅1厨1卫,高楼层 (共11层),116㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-08-31,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好，视野开阔，采光充足，配套设施齐全，交通便利,,生活设施齐全，银行，市场，商场，菜场，饮食尽在咫尺，生活起居很方便,,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,业主诚心售房，证件齐全，欢迎看房随时恭候，如果看中房子价格可谈,此房产权清晰，房源真实，业主诚心出售，看房方便过户，全程陪同,
69,此房满五唯一，楼层采光好，出门就是公园，南北通风。,130万,11207,武进区雪堰镇,悦欣庭院,3室2厅1厨1卫,中楼层 (共11层),116㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-09-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一楼层采光好，出门就是公园南北通风,适合度假养老，居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场，菜市场，银行，交通便捷，小区有健身器材，小型气场，可居民使用,满五唯一，90个平方以下，税费一个点满5，唯一90个平方以上，税费1.5,暂无数据,板塔结合,两梯四户,有,小区生活设施，商场，菜市场，银行，交通便捷，小区有健身器材，小型气场可居居民使用,,,,,,,
70,悦欣庭院 3室1厅 南,120万,9592,武进区雪堰镇,悦欣庭院,3室1厅1厨2卫,低楼层 (共11层),125.11㎡,暂无数据,南,未知结构,毛坯,,暂无数据,2023-09-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
71,太湖湾度假村，度假游玩，天然氧吧,165万,11000,武进区雪堰镇,太湖湾度假村,4室2厅1厨2卫,中楼层 (共4层),150㎡,暂无数据,南 西南,未知结构,毛坯,,暂无数据,2020-06-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,适合任何人群居住，【景区】动漫嬉戏谷、灵山大佛、中华孝道..,,自带7500方商圈，太鬲美食节，马山镇菜场，医院均能满足生活所需，万达，太湖旅游度假区，自带17个主题特色品巷。【银 行】：马山镇农商行 中国工商银行 中国农业银行 中国建设银行【医院】：马山 第六人民医院自带7500方商圈，太鬲美食节，马山镇菜场,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,南部湖底隧道无锡，无锡梅园轻轨S2号延伸线抵达宜兴，交通方便,,,,,
72,此房满五，唯一有钥匙彩光好，出门就有公园,165万,9323,武进区雪堰镇,望湖名门,5室3厅2厨3卫,低楼层 (共5层),177㎡,暂无数据,南 北,钢混结构,其他,,暂无数据,2023-10-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五，唯一有钥匙，采光好，出门就有公园,适合度假养老，居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场，菜市场银行等交通便捷，小区内有健身器材，小型球场可供小区居民使用,,暂无数据,板塔结合,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道,,,,,,,
73,一线湖景联排别墅 南北通透 采光好 看房方便,520万,13689,武进区雪堰镇,太湖庄园,4室4厅2厨4卫,低楼层 (共3层),379.87㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-02-12,商品房,2021-01-01,别墅,暂无数据,共有,无抵押,已上传房本照片,"此房南北通透,一线湖景联排边套",适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
74,户型方正，视野开阔，拎包入住，,88万,10932,武进区雪堰镇,悦欣庭院,2室2厅1厨1卫,低楼层 (共11层),80.5㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-05-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正，视野开阔，在小区中间位置,本小区适合任何人居住，小区里面有娱乐设施嗯，供小区里的人使用，,,首套1%，二套1.5%，二套以上2%，不满两年交5.3的增值税，,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优雅，里面有停车位，也有跑道可供小区里的人散步使用，,,,,,,,
75,不满二年，南北朝向，楼层好，视野开阔，采光充足,108万,12000,武进区雪堰镇,湖山颐舍,2室2厅1厨2卫,高楼层 (共14层),90㎡,暂无数据,南 北,钢混结构,毛坯,,暂无数据,2023-10-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,南北通透，楼层好，视野宽阔，采光足,,,满两年免增值税，不满两年交5.3的增值税，不满90平是一个点，90平以上1.5个点,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，物业是天空城服。嗯嗯，新小区还不满两年，有环形跑道嗯，有游乐场,此房不满两年，南北通透，有两个卫生间，楼层高，采光充足，双阳台,,,,,,
76,楼层好，采光明亮，视野开阔，户型方正,120万,12500,武进区雪堰镇,湖山颐舍,2室2厅1厨2卫,高楼层 (共14层),96㎡,暂无数据,东 西,钢混结构,毛坯,,暂无数据,2023-10-10,商品房,2023-09-07,普通住宅,未满两年,共有,无抵押,已上传房本照片,楼层好，视野开阔，户型方正，采光明亮,适合度假养老居住使用，户型方正，采光好。小区里有环形跑道，也有娱乐设施，供小区人使用,小区生活设施，菜场，银行都很方便，小区也有健身器材，离幼儿园500米,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步，跑道和篮球场,,,,,,,
77,格局分布合理，满二唯一随时可看,158万,10000,武进区雪堰镇,望湖怡景,4室2厅1厨2卫,高楼层 (共18层),158㎡,暂无数据,南 北,钢混结构,毛坯,,暂无数据,2023-05-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,格局分布合理满二唯一随时可以带看,,小区生活设施旗，商场菜场银行等，交通便捷，小区内有健身器材，小型篮球场,,暂无数据,板塔结合,暂无数据,暂无数据,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场业务业务更好,户型周正，格局分布合理，空间感好，通信性强，居住舒适啊，采光好,,,,,,
78,太湖庄园纯毛坯叠加别墅 有电梯 房东诚心出售,195万,16388,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,中楼层 (共4层),118.99㎡,暂无数据,北 南,未知结构,毛坯,暂无数据,暂无数据,2023-05-30,商品房,暂无数据,别墅,暂无数据,共有,有抵押 100万元,未上传房本照片,适合度假养老居住使用，户型方正采光好 出门可沿太湖漫步,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
79,户型方正，采光好，南北通透，出门就是公园,138万,12000,武进区雪堰镇,望湖名门,4室2厅1厨1卫,中楼层 (共11层),115㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-09-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正，采光好，南北通透，出门就是公园,适合度假养老，居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,,满五唯一90个平方以下税费一个点满五唯一90平方以上，税费1.5,暂无数据,板塔结合,一梯四户,有,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道,,,,,,,
80,视野开阔，天然氧吧，叠加别墅，带花园,320万,16835,武进区雪堰镇,太湖湾度假村,4室2厅1厨2卫,低楼层 (共3层),190.09㎡,暂无数据,南,未知结构,精装,,暂无数据,2022-07-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,背山面湖 视野佳 天然氧吧 居住舒适,适合任何人群居住，【景区】动漫嬉戏谷、灵山大佛、中华孝道园、拈花湾均，抵达影视基地三国城、水浒城。,【商 业】自带7500方商圈，太滆美食街，太滆菜场，万达，太湖旅游度假区，自带17个主题特色品巷。 【银行】太滆镇农商行 中国工商银行 中国农业银行 中国建设银行 【医院】 潘家医院 雪堰医院,,暂无数据,暂无数据,暂无数据,暂无数据,,,四 周交通畅达，常州市区至太湖湾青杨快速通道，苏锡常南部湖底隧道，太湖湾旅游度假区的腹 地，无锡常州宜兴三地几何中 心，无锡梅园轻轨S2号延伸线抵达宜兴,,,,,
81,太湖庄园下叠 南北院子 看刚方便 采光佳,200万,15716,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,低楼层 (共4层),127.26㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-09-14,商品房,2023-11-09,别墅,未满两年,共有,有抵押,已上传房本照片,此房南北通透，采光好，房东诚心出售，价可谈！！！,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
82,"此房满二有钥匙采光好,出门就有公园",150万,11719,武进区雪堰镇,雪湖家园,3室2厅1厨2卫,中楼层 (共10层),128㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-10-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
83,"此房满二有钥匙采光好,出门就有公园",178万,13031,武进区雪堰镇,望湖怡景,3室2厅1厨2卫,低楼层 (共18层),136.6㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-08-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,板塔结合,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
84,此房满五唯一停车位充足，小区里有多种果树,119万,8168,武进区雪堰镇,阳光花园,4室2厅1厨2卫,低楼层 (共5层),145.7㎡,暂无数据,南 北,钢混结构,简装,,暂无数据,2023-06-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满五唯一精装修 适合任何人群居住，【景区】动漫嬉戏谷、灵山..,,小区外面 商场 农贸市场 旅游景点 。。。中国邮政银行中国工商银行 中国农业银行 中国建设银行【医院】,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,板塔结合,暂无数据,无,,,东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,,,,,
85,太湖庄园上叠 有钥匙 看房方便 南北通透 依山傍水,190万,16078,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,中楼层 (共4层),118.18㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-03-29,商品房,2022-03-04,别墅,满两年,非共有,无抵押,已上传房本照片,此房南北通透格局，视野佳，采光好，，，,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
86,"此房满五有钥匙采光好,出门就有公园",120万,9757,武进区雪堰镇,望湖名门,3室2厅1厨2卫,中楼层 (共5层),123㎡,暂无数据,南 北,钢混结构,毛坯,,暂无数据,2023-07-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满五有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,板塔结合,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
87,东边套上叠  南北通透 看房提前预约  价可谈,200万,16261,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,中楼层 (共4层),123㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2023-03-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房南北通透的格局，下叠带院子，视野好，采光佳！,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析，契税缴纳按名下房产套数定，此房面积大于90平方， 若首套房契税为成交价的1.5％,。二套房成交价的2%。三套及以上的成交价的3%     2、增值税：产证满2年免收增值税，未满2年征收5.6％。   个税需缴纳成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
88,"此房满二有钥匙采光好,出门就有公园",215万,16045,武进区雪堰镇,雪湖新苑,3室2厅1厨2卫,中楼层 (共6层),134㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-08-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,板塔结合,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
89,望湖名门 3室2厅 南 北,130万,10439,武进区雪堰镇,望湖名门,3室2厅1厨2卫,中楼层 (共11层),124.54㎡,暂无数据,南 北,钢混结构,简装,,暂无数据,2023-02-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,暂无数据,板塔结合,暂无数据,暂无数据,,,,,,,,
90,手慢无 太湖庄园毛坯下叠 南北通透 前后院子,148万,12061,武进区雪堰镇,太湖庄园,5室2厅2厨3卫,低楼层 (共4层),122.71㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-09-21,商品房,暂无数据,别墅,暂无数据,非共有,有抵押,未上传房本照片,此房是下叠，南北通透，前后院子,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,,契税:1.首套90平以下1%2.首套90平以上1.5% 3.二套90平以下1%4.二套90平以上2%5.三套都是3%增值税:产权满两年免征产权不满两年征收比例为5.3%个人所得税:产证满五唯一免征其他统一1%,,,,,1小工口议心，、木、等，交通便捷2.小区内有健身器材，小型篮球场，可供小区居民使用3小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。 4.小区内24小时保安巡逻,户型周正，格局分布合理，空间感好，通透性强，居住舒适2.南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁。内有健身器材和小型娱乐设施。物业服务态度好。,,,,,,
91,太湖庄园毛坯上叠 南北通透 看房方便 价可谈,180万,15202,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,中楼层 (共4层),118.41㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-10-21,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片,此房南北通透，价格可谈。。。。。。。,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
