,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,周边配套,适宜人群,交通出行,别墅类型,售房详情,户型介绍,权属抵押,装修描述
0,段好，交通方便，出门公交、地铁。旁边菜场、公园。,110万,11663,经开区遥观镇,新城和昱,3室2厅0厨1卫,低楼层 (共17层),94.32㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-04-06,商品房,2020-02-29,普通住宅,暂无数据,共有,无抵押,已上传房本照片,地段好，交通方便，出门公交、旁边菜场、公园旁,小区地理位置佳，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",配套齐全，与祥龙绿地公园一路之隔，人文环境好， 楼下儿童游乐场，健身器材， 菜市场，公园，公交站等配套齐全,,,,,,,
1,此小区配套齐全有菜场，生活、交通便利,105万,5950,经开区遥观镇,宋剑湖家园,6室1厅1厨2卫,高楼层 (共5层),176.48㎡,复式,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-09-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,该房源配套齐全，有菜场小区内停车方便,,一、契税1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。3）三套一律按3%缴纳契税,,该房源配套齐全，有菜场小区内停车方便有，邻里关系融洽安好，适合上班族,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
2,临津花园 80.22-平2房 生活方便,85万,10596,经开区遥观镇,临津花园,2室1厅1厨1卫,高楼层 (共33层),80.22㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,四梯四户,有,暂无数据,2022-10-13,商品房,2020-04-16,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障,,"1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
3,临津花园80平2房，生活方便。,85万,10479,经开区遥观镇,临津花园,2室1厅1厨1卫,高楼层 (共27层),81.12㎡,平层,61.35㎡,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-07-20,商品房,2020-04-03,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
4,临津花园 80平2房 生活方便,82万,10222,经开区遥观镇,临津花园,2室1厅1厨1卫,中楼层 (共33层),80.22㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-13,商品房,2020-07-13,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
5,观景苑大平方住宅精装房。。。。。,199万,9618,经开区遥观镇,观景苑,5室1厅1厨2卫,低楼层 (共3层),206.91㎡,,暂无数据,,南,未知结构,精装,,,暂无数据,2023-09-04,商品房,2023-09-04,别墅,未满两年,共有,无抵押,已上传房本照片,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健.....,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,,,暂无数据,业主现在卖房改善换房，房子已经跟我看好，故诚心出售， 随时可以看房，业主随时可以签约，价格可商谈,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 楼层佳，朝向南北，视野开阔，采光透亮,,
6,临津花园 120平3房 生活方便,122.2万,10184,经开区遥观镇,临津花园,3室2厅1厨2卫,中楼层 (共27层),120㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2022-10-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，新城物业品质有保障,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
7,此小区配套齐全有菜场，物业品质有保障,120万,13484,经开区遥观镇,昱湖上观,3室2厅1厨1卫,低楼层 (共11层),89㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，物业品质有保障,小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,此房税费解析：契税：首套 90平以下1% 二套90平以下1% 三套都是3% 增值税：满两年免征 个人所得税：满5年却不是唯一住房征1% 房主自荐(业主对房源的描述),,,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,
8,此小区配套齐全有菜场，新城物业品质有保障。,70万,8727,经开区遥观镇,临津花园,2室1厅1厨1卫,低楼层 (共33层),80.22㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,四梯四户,有,暂无数据,2022-12-15,商品房,2022-06-14,普通住宅,未满两年,非共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩，邻里关系融洽安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
9,昱湖上观128平4房，生活方便。,175万,13672,经开区遥观镇,昱湖上观,4室2厅1厨2卫,中楼层 (共13层),128㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利,,,,,
10,精装修，客厅挑高 楼层好，仙湖公园旁。,160万,12031,经开区遥观镇,观澜云庭,3室2厅1厨2卫,低楼层 (共11层),133㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2021-07-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装修，客厅挑高 楼层好，仙湖公园旁。,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,,,,,,房子是70年产权的住宅，户型方正，带阳台，每个功能间都是有窗户的，采光充足。楼层也是中高层，没有遮挡。,,
11,戚墅堰商住中心 3室2厅 南,135万,10378,经开区遥观镇,戚墅堰商住中心,3室2厅1厨2卫,高楼层 (共6层),130.09㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-08-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 17万元 工商银行 业主自还,未上传房本照片,,,,,,,,,,,
12,观景苑 4室2厅 南,300万,13101,经开区遥观镇,观景苑,4室2厅1厨2卫,低楼层 (共2层),229㎡,,暂无数据,,南,未知结构,简装,,,暂无数据,2023-08-07,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,暂无数据,,,,
13,丰乐花苑 阳光房出售 楼层佳 视野开阔 阳光沐浴,118万,6782,经开区遥观镇,丰乐花苑,5室2厅1厨2卫,高楼层 (共6层),174㎡,复式,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2020-09-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，户型佳，视野开阔，看房方便，证件齐，诚心出售,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,
14,临津花园 121平3房· 生活方便,130万,10744,经开区遥观镇,临津花园,3室2厅1厨1卫,中楼层 (共33层),121㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
15,临津花园 120平3房 生活方便,118万,9712,经开区遥观镇,临津花园,3室2厅1厨2卫,高楼层 (共27层),121.5㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，新城物业品质有保障,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
16,临津花园 121平3房 生活方便,150万,12397,经开区遥观镇,临津花园,3室2厅1厨2卫,低楼层 (共27层),121㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-10-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
17,临津花园120平3房，生活方便！,149万,12114,经开区遥观镇,临津花园,3室2厅1厨2卫,中楼层 (共27层),123㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,四梯四户,有,暂无数据,2022-12-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，新城物业品质有保障,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
18,遥光宸园92平3房，生活方便。,118万,12831,经开区遥观镇,遥光辰苑,3室2厅1厨1卫,低楼层 (共27层),91.97㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-23,商品房,2022-04-15,普通住宅,未满两年,非共有,无抵押,已上传房本照片,使用面积很多 ，房东诚心出售，价格从优,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
19,~~临津花园80平2房，生活方便。,85万,10625,经开区遥观镇,临津花园,2室1厅1厨1卫,低楼层 (共27层),80㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-07-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,使用面积很多 ，房东诚心出售，价格从优,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
20,临津花园120平3房，生活方便。,110万,9167,经开区遥观镇,临津花园,3室2厅1厨2卫,高楼层 (共27层),120㎡,平层,暂无数据,板塔结合,南,混合结构,毛坯,暂无数据,无,暂无数据,2022-10-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩，邻里关系融洽安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
21,临津花园80平2房，生活方便。,75万,9350,经开区遥观镇,临津花园,2室1厅1厨1卫,高楼层 (共33层),80.22㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,四梯四户,有,暂无数据,2023-02-04,商品房,2023-01-03,普通住宅,未满两年,共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
22,房子采光通透柔和， 布局合理，空间很大。,145万,12577,经开区遥观镇,遥光辰苑,3室2厅1厨1卫,中楼层 (共27层),115.29㎡,平层,暂无数据,板楼,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-14,商品房,2023-07-15,普通住宅,未满两年,共有,有抵押,已上传房本照片,小区环境优美，低密度社区，让人充分享受生活的美和惬意的生活。,,1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,既能是小哥哥小姐姐的婚房，也是家庭和睦其乐融融的港湾，宜居也宜家。,可以有公交69路，230路，62路等路线站台，地方还有共享单车。,,,,,
23,临津花园80平2房，生活方便。,85万,10625,经开区遥观镇,临津花园,2室1厅1厨1卫,低楼层 (共32层),80㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2022-10-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩，邻里关系融洽安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
24,户型方正，空间感好，通透性好，居住舒适。楼层佳,42万,7044,经开区遥观镇,站北新村,2室1厅1厨1卫,低楼层 (共4层),59.63㎡,平层,暂无数据,板楼,北 南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-13,商品房,2023-03-28,普通住宅,未满两年,共有,无抵押,已上传房本照片,户型方正，空间感好，通透性好，居住舒适。楼层佳,,90平以下首套二套1%，三套及以上3%90平以上首套1.5%，二套2%，三套及以上3%2：个税：全额的1%，满五年套住宅免征3：税：不满两年5.3%，满两年免征此房满五年，没有增值税，只有个人所得税和契税,,,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利 房主自荐(业主对房源的描述),,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,
25,戚厂工房南区 2室1厅 南,35万,7029,经开区遥观镇,戚厂工房南区,2室1厅1厨1卫,高楼层 (共6层),49.8㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-04-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,
26,房子简单装修 看房方便 个人产权产权清晰无贷款,48万,7485,经开区遥观镇,戚厂工房南区,2室1厅1厨1卫,中楼层 (共6层),64.13㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-08,商品房,2024-03-08,普通住宅,未满两年,共有,无抵押,已上传房本照片,房子简单装修 看房方便 个人产权产权清晰无贷款,,,,,,,售房原因：业主原来在房子里居住，现在更换居住地，所以诚售 无贷款、产权清晰，个人产权，买房手续简单省心,工房南区房龄还行，装修是简单装修。这套房子在2楼，老人居住上下也方便得,贷款抵押：房子无贷款无抵押 产权清晰 个人房产 无任何纠纷隐患。,
27,得房率高房子品质高使用面积很多房东诚心出售价格从优,170万,8485,经开区遥观镇,福鑫园,4室2厅1厨2卫,高楼层 (共8层),200.36㎡,复式,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,2016-07-08,普通住宅,满五年,共有,无抵押,已上传房本照片,得房率高，房子品质高，使用面积很多 ，房东诚心出售，价格从优,此小区配套齐全有菜场，物业品质有保障，安保24小时在岗！小区内有运动设施！,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利 房主自荐(业主对房源的描述),,,,,
28,使用面积很多 ，房东诚心出售，价格从优,113万,15529,经开区遥观镇,昱湖上观,2室1厅1厨1卫,低楼层 (共13层),72.77㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-10,商品房,2023-07-03,普通住宅,未满两年,共有,无抵押,已上传房本照片,使用面积很多 ，房东诚心出售，价格从优,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
