,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,周边配套,适宜人群,交通出行,别墅类型,售房详情,户型介绍,权属抵押,装修描述
29,临津花园两房，户型方正，采光好，房东诚心出售,75万,9282,经开区遥观镇,临津花园,2室1厅1厨1卫,高楼层 (共32层),80.81㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-31,商品房,2022-06-15,普通住宅,未满两年,非共有,无抵押,已上传房本照片,临津花园两房，户型方正，采光好，房东诚心出售,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
30,：采光充足，无遮挡，视野开阔，户型周正,130万,10801,经开区遥观镇,临津花园,3室2厅1厨2卫,高楼层 (共27层),120.37㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-10-30,商品房,2020-04-03,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"：
格局好，采光充足，无遮挡，视野开阔，户型周正",小区生活实施齐全，商场，菜市场，银行等。2:小区内有健身器材，可供小区居民使用。3:小区停车位充足，建有地面临时停车位,契税:A:首套 90平米以下1%B:首套90平米以上1.5%C;二套90平米以下1%D:二套90平米以上2%E:三套3%2.满2年免征，不满2年全额征收5.35%3.个人 :不满5年征1%满5年且房东名下唯一住房可免,,,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适: 2、楼层佳，朝向南北，视野开阔，采光透亮:3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,
31,此小区配套齐全有菜场，新城物业品质有保障,115万,9020,经开区遥观镇,新城和昱,3室2厅1厨2卫,中楼层 (共17层),127.5㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-26,商品房,2020-07-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族,,,房东整合资金，随时到场签约，钥匙房子物业，随时可以看房，房东愿意出一个点中介费,,,
32,得园联排别墅，生活方便！！！！！,448万,18386,经开区遥观镇,常州得园,4室2厅1厨5卫,低楼层 (共3层),243.67㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-24,商品房,2021-05-12,普通住宅,暂无数据,共有,无抵押,已上传房本照片,得园 别墅 使用面积很多 ，房东诚心出售，价格从优,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合改善族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
33,~~临津花园122平3房，生活方便。,110万,8990,经开区遥观镇,临津花园,3室2厅1厨2卫,中楼层 (共33层),122.37㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-08,商品房,2020-03-19,普通住宅,暂无数据,共有,无抵押,已上传房本照片,得房率高，房子品质高，房东诚心出售，价格从优,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利,,,,,
34,此房地理位置好，生活出行都很方便,149万,11622,经开区遥观镇,新城和昱,4室2厅1厨2卫,高楼层 (共18层),128.21㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-01-28,商品房,2020-04-14,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房地理位置好，生活出行都很方便,,"首套房90平米以下成交价1%，90平米以上成交价1.5%，二套房90平米以下1%，以上2%,三套房不论大小均为3%。增值税分析：产证满2年免收增值税，未满两年征收5.3%;个税：产证满五年而且是唯一住房，免收个税，未满5年成交价的1%",小区环境优美，绿化较好，带有休闲设施。交通便利，道路宽阔，出行方便。生活便利，能较好地满足日常的生活需求,,,,业主诚心出售，证件齐全，欢迎看房，随时恭候，如看中房子，可以跟房东商量,,,
35,临津花园1200平3房，生活方便。,115万,9486,经开区遥观镇,临津花园,3室2厅1厨2卫,高楼层 (共27层),121.24㎡,暂无数据,暂无数据,板塔结合,南,混合结构,毛坯,暂无数据,无,暂无数据,2023-02-18,商品房,2020-03-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
36,联排大别野，你梦想中的家园！！！！！！！,600万,20333,经开区遥观镇,常州得园,5室3厅1厨3卫,低楼层 (共3层),295.09㎡,,283.14㎡,,南,钢混结构,毛坯,,,暂无数据,2023-10-01,商品房,2021-06-23,别墅,暂无数据,共有,无抵押,已上传房本照片,落地式别墅 视野开阔 采光漂亮,,,,适合养老 生活舒适 适合上班族 倾向于家庭为单位的房子，成功人士的选择！！！！,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,暂无数据,,,房东全款购房，无抵押情况，产权明晰，放心购房！！！！！！！！！！！！,
37,得园 243.67平5房 生活方便,448万,18385,经开区遥观镇,常州得园,5室2厅1厨3卫,低楼层 (共3层),243.68㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2022-10-13,商品房,2021-05-12,别墅,暂无数据,共有,有抵押 100万元 中国农业银行 业主自还,已上传房本照片,此小区配套齐全有菜场，物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便。邻里关系融洽治安好，适合改善型的客户,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人,暂无数据,,,,
38,得房率高，房子品质高，房东诚心出售,98万,7548,经开区遥观镇,宋剑湖家园,4室2厅1厨2卫,中楼层 (共5层),129.84㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-05-26,商品房,2020-11-18,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,得房率高，房子品质高，使用面积很多 ，房东诚心出售，价格从优,此小区配套齐全有菜场，物业品质有保障，安保24小时在岗！小区内有运动设施！,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利 房主自荐(业主对房源的描述),,,,,
39,小区生活实施齐全，小区内有健身该房源配套齐全,120万,9807,经开区遥观镇,临津花园,3室1厅1厨1卫,中楼层 (共33层),122.37㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-16,商品房,2020-10-23,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区生活实施齐全，小区内有健身该房源配套齐全，有菜场。,,）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利,,,,,
40,此小区配套齐全有菜场，新城物业品质有保障,135万,9972,经开区遥观镇,新城和昱文萃苑,3室2厅1厨2卫,低楼层 (共18层),135.39㎡,暂无数据,105.77㎡,板塔结合,南,未知结构,毛坯,两梯两户,有,暂无数据,2023-06-06,商品房,2020-04-29,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,,,房东整合资金，随时到场签约，钥匙房子物业，随时可以看房，房东愿意出一个点中介费,,,
41,新城和昱文萃苑 3室2厅 南,145万,10741,经开区遥观镇,新城和昱文萃苑,3室2厅1厨2卫,中楼层 (共18层),135㎡,暂无数据,105.77㎡,板塔结合,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-13,商品房,2020-03-26,普通住宅,暂无数据,共有,有抵押,已上传房本照片,,,,,,,,,,,
42,~~临津花园80平2房，生活方便。,125万,10311,经开区遥观镇,临津花园,3室2厅1厨2卫,中楼层 (共27层),121.24㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-03-20,商品房,2020-03-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
43,观澜云庭107平3房 生活方便,138万,12580,经开区遥观镇,观澜云庭,3室2厅1厨1卫,中楼层 (共11层),109.7㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2022-11-06,商品房,2020-05-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此小区配套齐全有菜场，物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
44,临津花园120平3房，生活方便。,125万,10155,经开区遥观镇,临津花园,3室2厅1厨2卫,中楼层 (共32层),123.1㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-03-17,商品房,2020-03-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
45,新城和昱141平三房，生活方便,155万,10952,经开区遥观镇,新城和昱,3室2厅1厨2卫,高楼层 (共18层),141.53㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-10-17,商品房,2020-01-26,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区内有健身器材，小型篮球场，可供小区居民使用。,,"、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利,,,,,
46,得园精装别墅，六室，出门方便。,617万,24873,经开区遥观镇,常州得园,6室2厅1厨5卫,低楼层 (共3层),248.07㎡,,暂无数据,,南,钢混结构,精装,,,暂无数据,2023-09-14,商品房,2016-06-01,别墅,暂无数据,共有,无抵押,已上传房本照片,落地式别墅 视野开阔 采光漂亮 连带家具地下室满五,,,,适合养老 生活舒适 适合上班族 倾向于家庭为单位的房子！！！！,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,联排,,,,精装修 红木家具 全格局装修花了100多万 内饰高档装修！！！！
47,南向采光好 看房有钥匙 保养新 楼层好 采光佳 地段好,90万,9324,经开区遥观镇,观景苑,3室2厅1厨1卫,高楼层 (共6层),96.53㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-07,商品房,2009-04-01,普通住宅,暂无数据,共有,无抵押,已上传房本照片,南向采光好 看房有钥匙 保养新 楼层好 采光佳 地段好,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,,,,业主现在卖房改善换房，房子已经跟我看好，故诚心出售， 随时可以看房，业主随时可以签约，价格可商谈,"：
户型周正，格局分布合理，空间感好，通透性强，居住舒适； 楼层佳，朝向南北，视野开阔，采光透亮",,
48,南向采光好 看房有钥匙 保养新 楼层好 采光佳 地段好,120万,8392,经开区遥观镇,观景苑,4室2厅1厨2卫,高楼层 (共6层),143㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-07,商品房,2006-02-09,普通住宅,暂无数据,共有,无抵押,已上传房本照片,南向采光好 看房有钥匙 保养新 楼层好 采光佳 地段好,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,,,,业主现在卖房改善换房，房子已经跟我看好，故诚心出售， 随时可以看房，业主随时可以签约，价格可商谈,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 楼层佳，朝向南北，视野开阔，采光透亮,,
49,精装修 南北向 保养新 楼层好 采光佳 地段好,138万,10492,经开区遥观镇,观景苑,3室2厅1厨2卫,中楼层 (共6层),131.54㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-06,商品房,2016-08-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,精装修 南北向  保养新 楼层好 采光佳 地段好,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,小区生活设施齐，商场、菜市场、银行等，交通便捷； 小区内有健身器材，小型篮球场，可供小区居民使用； 小区内停车位充足，建有地上停车场和地下车库,,,,,"：
户型周正，格局分布合理，空间感好，通透性强，居住舒适； 楼层佳，朝向南北，视野开阔，采光透亮",,
50,此房格局通透，楼层好，视野开阔，阳光充足，看房方便,90万,6792,经开区遥观镇,圩墩新村,3室2厅1厨2卫,高楼层 (共6层),132.51㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-30,商品房,2006-09-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房格局通透，楼层好，视野开阔，阳光充足，看房方便,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,此房产权清晰，房源真实，无抵押，单独拥有，业主诚心出售，放心推荐,
51,临津花园 80平2房 生活方便,90万,11153,经开区遥观镇,临津花园,2室1厅1厨1卫,中楼层 (共32层),80.7㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,四梯四户,有,暂无数据,2022-10-13,商品房,2020-03-16,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障,,"1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
52,南向采光好 看房有钥匙 保养新 楼层好 采光佳 地段好,98万,10859,经开区遥观镇,观景苑,2室1厅1厨1卫,中楼层 (共6层),90.25㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-07,商品房,2009-04-02,普通住宅,暂无数据,共有,无抵押,已上传房本照片,南向采光好 看房有钥匙 保养新 楼层好 采光佳 地段好,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,,,,业主现在卖房改善换房，房子已经跟我看好，故诚心出售， 随时可以看房，业主随时可以签约，价格可商谈,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 楼层佳，朝向南北，视野开阔，采光透亮,,
53,房子满两年 品质精装 户型方正 采光充裕 产权清晰,200万,15437,经开区遥观镇,新城和昱文萃苑,3室2厅1厨2卫,中楼层 (共18层),129.56㎡,暂无数据,101.22㎡,板塔结合,南 北,未知结构,精装,两梯两户,有,暂无数据,2023-03-17,商品房,2020-04-03,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,房子满两年 品质精装 户型方正 采光充裕 产权清晰,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,适宜居住在经开区改善居住品质的客户，小区安静舒适，物业完善。,小区南门有多路公交通达，开车出行也很便捷。 共享单车站点在小区门口。,,,,,
54,此房地理位置好，生活出行都很方便,178万,16122,经开区遥观镇,新城和昱林茵苑,3室2厅1厨2卫,中楼层 (共6层),110.41㎡,暂无数据,86.75㎡,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-02-21,商品房,2020-03-25,普通住宅,满两年,共有,有抵押,已上传房本照片,此房地理位置好，生活出行都很方便,,"首套房90平米以下成交价1%，90平米以上成交价1.5%，二套房90平米以下1%，以上2%,三套房不论大小均为3%。增值税分析：产证满2年免收增值税，未满两年征收5.3%;个税：产证满五年而且是唯一住房，免收个税，未满5年成交价的1%",小区环境优美，绿化较好，带有休闲设施。交通便利，道路宽阔，出行方便。生活便利，能较好地满足日常的生活需求,,,,业主诚心出售，证件齐全，欢迎看房，随时恭候，如看中房子，可以跟房东商量,,,
55,业主诚心出售，欢迎看房，看中房子，可以跟房东商量,142万,11076,经开区遥观镇,新城和昱,3室2厅1厨2卫,低楼层 (共18层),128.21㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-15,商品房,2020-04-17,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房地理位置好，生活出行都很方便,,"首套房90平米以下成交价1%，90平米以上成交价1.5%，二套房90平米以下1%，以上2%,三套房不论大小均为3%。增值税分析：产证满2年免收增值税，未满两年征收5.3%;个税：产证满五年而且是唯一住房，免收个税，未满5年成交价的1%",小区环境优美，绿化较好，带有休闲设施。交通便利，道路宽阔，出行方便。生活便利，能较好地满足日常的生活需求,,,,业主诚心出售，证件齐全，欢迎看房，随时恭候，如看中房子，可以跟房东商量,,,
