,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,周边配套,适宜人群,交通出行,别墅类型,售房详情,户型介绍,权属抵押,装修描述
82,房东诚心售卖，湖滨新村生活气息。,118万,10116,经开区遥观镇,湖滨新村,3室2厅1厨2卫,中楼层 (共4层),116.65㎡,暂无数据,暂无数据,板楼,西,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-12-14,商品房,2022-12-05,普通住宅,未满两年,非共有,无抵押,已上传房本照片,小区密度适中，绿花好，车位充沛，老少皆宜，道路宽敞。,,"1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",小区旁边就有菜场，小吃街种类丰富，生活设施完善，配有休闲娱乐场所,,小区旁边有第七医院，遥  观卫生                                                                                                                                                                                                      ..,,,,,
83,临津花园 120平3房 生活方便,148万,12334,经开区遥观镇,临津花园,3室2厅1厨2卫,低楼层 (共27层),120㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-10-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，新城物业品质有保障,,"1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士,,,,,
84,好房出售；户型方正，格局通透，诚心出售，，证件齐全,450万,19068,经开区遥观镇,圩墩新村,6室2厅1厨2卫,低楼层 (共2层),236㎡,,暂无数据,,南,钢混结构,精装,,,暂无数据,2021-05-28,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，楼层好，视野开阔，阳光充足，看房..,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,暂无数据,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,
85,临津花园 120平3房 生活方便,147.5万,11992,经开区遥观镇,临津花园,3室2厅1厨2卫,低楼层 (共27层),123㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-10-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
86,临津花园122平3房 生活方便,135万,11066,经开区遥观镇,临津花园,3室2厅1厨2卫,中楼层 (共33层),122㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
87,小区环境优美低密度让人充分享受生活的美和惬意的生活,138万,13399,经开区遥观镇,遥光辰苑,3室2厅1厨1卫,高楼层 (共27层),103㎡,暂无数据,暂无数据,板楼,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优美，低密度社区，让人充分享受生活的美和惬意的生..,,1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,既能是小哥哥小姐姐的婚房，也是家庭和睦其乐融融的港湾，宜居也宜家。,可以有公交69路，230路，62路等路线站台，地方还有共享单车。,,,,,
88,剑湖华庭3室2厅2卫  位置好  房东急售,110万,9117,经开区遥观镇,剑湖华庭,3室2厅1厨2卫,高楼层 (共6层),120.66㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2020-11-30,商品房,2011-06-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房格局方正，户型通透，楼层佳，视野开阔，阳光充足，无抵押,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"：
契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同 房主自荐(业主对房源的描述),
89,此小区配套齐全有菜场，物业品质有保障。安保24小时,105万,8266,经开区遥观镇,园城汇龙湾家园,3室2厅1厨1卫,中楼层 (共30层),127.03㎡,暂无数据,104.9㎡,塔楼,南 北,钢混结构,简装,一梯四户,有,暂无数据,2023-05-16,商品房,2014-09-18,普通住宅,暂无数据,共有,有抵押 业主自还,已上传房本照片,此小区配套齐全有菜场，物业品质有保障。安保24小时在岗,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
90,观景苑142平4房，生活方便。,100万,7043,经开区遥观镇,观景苑,4室2厅1厨2卫,高楼层 (共6层),142㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,使用面积很多 ，房东诚心出售，价格从优,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利,,,,,
91,临津花园80平2房，生活方便。,76万,9500,经开区遥观镇,临津花园,2室1厅1厨1卫,中楼层 (共32层),80㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-13,商品房,2022-07-01,普通住宅,未满两年,共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩，邻里关系融洽安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
92,看房提前联系 拎包入住 装修保养好,85万,10625,经开区遥观镇,临津花园,2室1厅1厨1卫,高楼层 (共27层),80㎡,暂无数据,暂无数据,板塔结合,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2022-10-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,看房提前联系 拎包入住 装修保养好,小区生活设施齐，商场、市、菜市场、银行等，交通便捷 2.小区内有健身器材，小型篮球场，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车,契税：1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,,,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施,,
93,临津花园 80平2房 生活方便,83.8万,10475,经开区遥观镇,临津花园,2室1厅1厨1卫,低楼层 (共35层),80㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,四梯四户,有,暂无数据,2022-10-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
94,昱湖上观89平三房！！！！！！,135万,15169,经开区遥观镇,昱湖上观,3室2厅0厨1卫,中楼层 (共13层),89㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,使用面积很多 ，房东诚心出售，价格从优，物业品质有保障，！,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利,,,,,
95,此小区配套齐全有菜场，物业品质有保障,124万,13933,经开区遥观镇,昱湖上观,3室2厅1厨1卫,高楼层 (共11层),89㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，物业品质有保障,小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,"此房税费解析：契税：首套 90平以下1% 二套90平以下1% 三套都是3% 增值税：满两年免征 个人所得税：满5年却不是唯一住房征1%

房主自荐(业主对房源的描述)",,,,,,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,
96,遥光辰苑房源房东诚心出售价格好,145万,14191,经开区遥观镇,遥光辰苑,3室1厅1厨1卫,高楼层 (共27层),102.18㎡,暂无数据,暂无数据,暂无数据,南,混合结构,精装,暂无数据,暂无数据,暂无数据,2023-05-23,商品房,2023-05-23,普通住宅,未满两年,共有,有抵押,已上传房本照片,1：小区生活实施齐全，内有健身器材，小型篮球场..。,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
97,得园 别墅 使用面积很多 ，房东诚心出售，价格从优,650万,22028,经开区遥观镇,常州得园,6室3厅1厨3卫,低楼层 (共3层),295.08㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2023-02-07,商品房,2022-09-05,别墅,未满两年,非共有,无抵押,已上传房本照片,得园 别墅 使用面积很多 ，房东诚心出售，价格从优,得房率高，房子品质高，小区环境优美，安保24小时在岗，业主素质高,,,,"有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利 房主自荐(业主对房源的描述)

房主自荐(业主对房源的描述)",暂无数据,,多层户型，前后庭院， 可以设计和实际利用的空间也是很多！！！！！！！！！！！,,
98,格局好，采光充足，无遮挡，视野开阔，户型周正,120万,10000,经开区遥观镇,临津花园,3室2厅1厨2卫,高楼层 (共27层),120㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-09-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,格局好，采光充足，无遮挡，视野开阔，户型周正,小区生活实施齐全，商场，菜市场，银行等。2:小区内有健身器材，可供小区居民使用。3:小区停车位充足，建有地面临时停车位,契税:A:首套 90平米以下1%B:首套90平米以上1.5%C;二套90平米以下1%D:二套90平米以上2%E:三套3%2.满2年免征，不满2年全额征收5.35%3.个人 :不满5年征1%满5年且房东名下唯一住房可免,,,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适: 2、楼层佳，朝向南北，视野开阔，采光透亮:3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,
99,该别墅房子密度低，小区楼龄低居住舒适度高。,900万,19456,经开区遥观镇,常州得园,8室4厅1厨6卫,低楼层 (共3层),462.6㎡,,暂无数据,,南,钢混结构,精装,,,暂无数据,2022-12-12,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,小区房子密度低，植化率高，楼龄低，车位充沛，宜居也宜家。,,"1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",边上有宋剑湖生态园和圩墩公园，还有大润发购物广场，生活便捷且惬意。,,小区交通便捷方便，旁边有站台今创和光电路，交通配套设施完善。,联排,,,,
100,得园 使用面积很多 ，房东诚心出售，价格从优,828万,19035,经开区遥观镇,常州得园,6室2厅1厨2卫,低楼层 (共3层),435㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2021-07-07,商品房,暂无数据,别墅,暂无数据,非共有,有抵押 60万元,未上传房本照片,得园 别墅 使用面积很多 ，房东诚心出售，价格从优,得房率高，房子品质高，小区环境优美，安保24小时在岗，业主素质高,,,,"有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利

房主自荐(业主对房源的描述)",联排,,多层户型，前后庭院， 可以设计和实际利用的空间也是很多！！！！！！！！！！！,,
101,南向采光好 看房有钥匙 保养新 楼层好 采光佳 地段好,620万,20806,经开区遥观镇,观景苑,5室2厅1厨2卫,低楼层 (共2层),298㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-08-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健.....,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,,,,业主现在卖房改善换房，房子已经跟我看好，故诚心出售， 随时可以看房，业主随时可以签约，价格可商谈,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 楼层佳，朝向南北，视野开阔，采光透亮,,
102,新上房源，价格可谈，房东诚心出售,145万,11897,经开区遥观镇,碧水云庭,3室2厅1厨2卫,低楼层 (共17层),121.88㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-06-10,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 73万元,未上传房本照片,1.户型周正，格局分布合理，居住舒适； 2、楼层佳，朝向南北.,小区地理位置好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足,90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,地理位置优越，交通便利，出门就有公交站点，绿化优美，小区环境幽静。 2、小区周 边生活设施齐，各大银行、菜场、商场、饮食近在咫尺，生活起居非 常的方便。 2、 小区绿 化率高，楼间距也特 别的大，房间格局分明、采光足,,,,,,,
103,得房率高，房子品质高，使用面积很多,81万,9050,经开区遥观镇,宋剑湖家园,2室1厅1厨1卫,低楼层 (共5层),89.51㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-03-01,商品房,2023-03-03,普通住宅,未满两年,共有,有抵押,已上传房本照片,此小区配套齐全有菜场，物业品质有保障，安保24小时在岗！小..,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利 房主自荐(业主对房源的描述),,,,,房子满5唯一，房东自住，喜欢。。。。。。。。。。。。。。。。,
104,临津花园80平2房，生活方便。,70万,8657,经开区遥观镇,临津花园,2室1厅1厨1卫,高楼层 (共27层),80.86㎡,暂无数据,暂无数据,板塔结合,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-11-26,商品房,2022-07-01,普通住宅,未满两年,共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士,,,,,
105,~~临津花园80平2房，生活方便。,80万,9973,经开区遥观镇,临津花园,2室1厅1厨1卫,高楼层 (共33层),80.22㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-16,商品房,2023-02-27,普通住宅,未满两年,非共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
106,今创名园好房，房东急卖，价格可谈。,113万,12472,经开区遥观镇,今创茗园,3室1厅1厨1卫,中楼层 (共11层),90.61㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-04-27,商品房,2022-04-16,普通住宅,未满两年,共有,无抵押,已上传房本照片,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
107,昱湖上观89平三房！！！！！！,130万,14583,经开区遥观镇,昱湖上观,3室1厅1厨1卫,高楼层 (共13层),89.15㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-31,商品房,2023-07-11,普通住宅,未满两年,共有,无抵押,已上传房本照片,使用面积很多 ，房东诚心出售，价格从优，物业品质有保障，！,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利,,,,,
108,：此小区配套齐全有菜场，物业品质有保障。,92万,8953,经开区遥观镇,园城汇龙湾家园,2室2厅1厨1卫,高楼层 (共30层),102.76㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-10-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"：
此小区配套齐全有菜场，物业品质有保障。安保24小时在岗",,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族,"：
根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士",,,,,
