,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,周边配套,适宜人群,交通出行,别墅类型,售房详情,户型介绍,权属抵押,装修描述
109,此小区配套齐全有菜场，物业品质有保障安保24小时在岗,85万,8334,经开区遥观镇,园城汇龙湾家园,2室2厅1厨1卫,低楼层 (共30层),102㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,一梯四户,有,暂无数据,2023-04-16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，物业品质有保障。安保24小时在岗,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
110,临津花园标准两居室，房东诚心出售,85万,10596,经开区遥观镇,临津花园,2室1厅1厨1卫,高楼层 (共33层),80.22㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,四梯四户,有,暂无数据,2023-07-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,临津花园80平2房，生活方小区生活实施齐全，商场，菜市场,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利 房主自荐(业主对房源的描述),,,,,
111,临津花园 80平2房 生活方便,83.5万,10409,经开区遥观镇,临津花园,2室1厅1厨1卫,高楼层 (共33层),80.22㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
112,临津花园80平2房，生活方便。,86万,10750,经开区遥观镇,临津花园,2室2厅1厨1卫,中楼层 (共35层),80㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,四梯四户,有,暂无数据,2023-03-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士,,,,,
113,新上！房子精装未入住，房东诚心出租！,142万,15657,经开区遥观镇,遥光辰苑,3室1厅1厨1卫,中楼层 (共27层),90.7㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-12-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"房子采光通透柔和，空气清新神怡
布局合理，空间很大。",小区环境优美，低密度社区，让人充分享受生活的美和惬意的生活。,"1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,,可以有公交69路，230路，62路等路线站台，地方还有共享单车。,,,,,
114,~临津花园80平2房，生活方便。,75万,9282,经开区遥观镇,临津花园,2室1厅1厨1卫,低楼层 (共32层),80.81㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,四梯四户,有,暂无数据,2023-08-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,"1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利,,,,,
115,小区生活实施齐全，商场，菜市场，银行等小区内有健身,90万,10852,经开区遥观镇,今创茗园,2室2厅1厨1卫,中楼层 (共11层),82.94㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-29,商品房,2022-02-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
116,此小区配套齐全有菜场，生活、交通便利,100万,7143,经开区遥观镇,宋剑湖家园,4室2厅1厨2卫,中楼层 (共5层),140㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-10-18,商品房,2022-12-21,普通住宅,未满两年,非共有,无抵押,已上传房本照片,该房源配套齐全，有菜场小区内停车方便,,一、契税1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有，邻里关系融洽安好，适合上班族,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
117,昱湖上观小三房，生活方便！！！,165万,18540,经开区遥观镇,昱湖上观,2室1厅1厨1卫,高楼层 (共11层),89㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-07-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,使用面积很多房东诚心出售价格从优,,"、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士,,,,,
118,南向采光好 看房有钥匙 保养新 楼层好 采光佳 地段好,110万,12189,经开区遥观镇,观景苑,2室1厅1厨1卫,中楼层 (共6层),90.25㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,南向采光好 看房有钥匙 保养新 楼层好 采光佳 地段好,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,,,,业主现在卖房改善换房，房子已经跟我看好，故诚心出售， 随时可以看房，业主随时可以签约，价格可商谈,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 楼层佳，朝向南北，视野开阔，采光透亮,,
119,昱湖上观小三房，生活方便！！！,128万,14383,经开区遥观镇,昱湖上观,3室2厅1厨1卫,中楼层 (共9层),89㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,使用面积很多 ，房东诚心出售，价格从优,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
120,得房率高，房子品质高，房东诚心出售，价格从优,78万,9710,经开区遥观镇,临津花园,2室2厅1厨1卫,中楼层 (共33层),80.33㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,得房率高，房子品质高，房东诚心出售，价格从优,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利,,,,,
121,精装修，客厅挑高 楼层好，仙湖公园旁。,154.5万,10743,经开区遥观镇,观澜云庭,3室2厅1厨2卫,中楼层 (共11层),143.82㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-12-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房东急售，诚心出售，随时方便看房，采光无遮挡，得房率高。。。,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,,,,,,房子是70年产权的住宅，户型方正，带阳台，每个功能间都是有窗户的，采光充足。楼层也是中高层，没有遮挡。,,
122,临津花园两房，户型方正，采光好，房东诚心出售,75万,9375,经开区遥观镇,临津花园,2室2厅1厨1卫,低楼层 (共32层),80㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-08-24,商品房,2023-09-01,普通住宅,未满两年,共有,无抵押,已上传房本照片,临津花园两房，户型方正，采光好，房东诚心出售,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士。,,,,,
123,临津花园 80平方房子 生活方便.,82万,10128,经开区遥观镇,临津花园,2室2厅1厨1卫,中楼层 (共27层),80.97㎡,暂无数据,暂无数据,板塔结合,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-03-10,商品房,2022-06-27,普通住宅,未满两年,非共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障。,,一、契税1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士,,,,,
124,房格局通透，楼层好，视野开阔，阳光充足，看房.,128万,11707,经开区遥观镇,新城和昱,3室2厅1厨2卫,高楼层 (共17层),109.34㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-25,商品房,2023-03-25,普通住宅,未满两年,共有,无抵押,已上传房本照片,房格局通透，楼层好，视野开阔，阳光充足，看房.,小区介绍： 小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价",,,,,,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施,,
125,此房为毛坯，可以任自己喜欢装修！！！！！！,76万,9419,经开区遥观镇,临津花园,2室1厅1厨1卫,高楼层 (共27层),80.69㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-23,商品房,2023-10-07,普通住宅,未满两年,共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士,,,,,
126,此房为毛胚，适宜自我装修的好房！！！！,78万,9616,经开区遥观镇,临津花园,2室1厅1厨1卫,高楼层 (共35层),81.12㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,四梯四户,有,暂无数据,2023-10-23,商品房,2023-10-07,普通住宅,未满两年,共有,无抵押,已上传房本照片,此小区配套齐全有菜场，新城物业品质有保障,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族,根据高德地图显示有62路319路69路230路公交车站，道路宽敞适合有车出行人士,,,,,
127,格局好，采光充足，无遮挡，视野开阔，户型周正,78万,9679,经开区遥观镇,临津花园,2室2厅1厨1卫,低楼层 (共27层),80.59㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,四梯四户,有,暂无数据,2023-10-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,格局好，采光充足，无遮挡，视野开阔，户型周正,小区生活实施齐全，商场，菜市场，银行等。2:小区内有健身器材，可供小区居民使用。3:小区停车位充足，建有地面临时停车位,契税:A:首套 90平米以下1%B:首套90平米以上1.5%C;二套90平米以下1%D:二套90平米以上2%E:三套3%2.满2年免征，不满2年全额征收5.35%3.个人 :不满5年征1%满5年且房东名下唯一住房可免,,,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适: 2、楼层佳，朝向南北，视野开阔，采光透亮:3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,
128,房子简单装修 看房方便 个人产权产权清晰无贷款,63万,9019,经开区遥观镇,戚厂工房南区,2室1厅1厨1卫,低楼层 (共6层),69.86㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-06-01,商品房,2023-07-28,普通住宅,未满两年,共有,无抵押,已上传房本照片,房子简单装修 看房方便 个人产权产权清晰无贷款,,,,,,,售房原因：业主原来在房子里居住，现在更换居住地，所以诚售 无贷款、产权清晰，个人产权，买房手续简单省心。,工房南区房龄还行，装修是简单装修。这套房子在2楼，老人居住上下也方便得,贷款抵押：房子无贷款无抵押 产权清晰 个人房产 无任何纠纷隐患。,
129,房东急卖，价格优惠，看房提前预约！！！,100万,9146,经开区遥观镇,新城和昱,3室2厅1厨2卫,低楼层 (共17层),109.34㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-14,商品房,2020-08-30,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,房东急卖，价格优惠，看房提前预约！！！,小区介绍： 小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年按成交价",,,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适 ，小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施,,
130,今创茗园 2室1厅 南,85万,10241,经开区遥观镇,今创茗园,2室1厅1厨1卫,低楼层 (共11层),83㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,
131,戚墅堰2室1厅1卫每个房间户型方正欢迎看房,91万,9712,经开区遥观镇,戚墅堰商住中心,2室1厅1厨1卫,低楼层 (共7层),93.7㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,各个空间户型方正方便室内家具布置全明通透户型,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%！",圩墩公园走过去300米左右，大润发1000米左右，农业银行、建设银行。,,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可议！,,,
132,观景苑标准两房，房东诚心出售。,73万,9301,经开区遥观镇,观景苑,2室1厅1厨1卫,中楼层 (共5层),78.49㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,简装,暂无数据,无,暂无数据,2023-07-26,商品房,2006-08-06,普通住宅,暂无数据,共有,有抵押 40万元 工商银行,已上传房本照片,此房满五年，户型房正，南北通透，采光好。房东诚心出售,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 楼层佳，朝向南北，视野开阔，采光透亮,,
133,此房格局通透，楼层好，视野开阔，阳光充足，看房方便,90万,7644,经开区遥观镇,圩墩新村,3室2厅1厨1卫,低楼层 (共5层),117.74㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,其他,暂无数据,暂无数据,暂无数据,2023-10-15,商品房,2006-06-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"：
此房格局通透，楼层好，视野开阔，阳光充足，看房方便",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,此房产权清晰，房源真实，无抵押，单独拥有，业主诚心出售，放心推荐,
134,小区绿化好，商场娱乐场所齐全，适合居住,150万,10000,经开区遥观镇,花溪兰庭,4室2厅1厨2卫,高楼层 (共11层),150㎡,暂无数据,暂无数据,板楼,北 南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区绿化好，商场住娱乐场所齐全，适合居住,小区道路四通八达，马路过去就有大润发购物广场，生活惬意，路边停车位很多,如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。3）三套一律按3%缴纳契税。,,,,,,该房间三个大房空间通透，空间利用的好，装修的好，适合一家人居住。,,
135,房屋未满二，有钥匙正常带看！！！！！！！！,168万,14562,经开区遥观镇,遥光辰苑,3室2厅1厨2卫,高楼层 (共27层),115.37㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-28,商品房,2022-05-16,普通住宅,未满两年,非共有,无抵押,已上传房本照片,小区环境优美，低密度社区，让人充分享受生活的美和惬意的生..,,1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,既能是小哥哥小姐姐的婚房，也是家庭和睦其乐融融的港湾，宜居也宜家。,可以有公交69路，230路，62路等路线站台，地方还有共享单车。,,,,,
136,得房率高房子品质高使用面积很多房东诚心出售价格从优,110万,7840,经开区遥观镇,宋剑湖家园,3室2厅1厨1卫,高楼层 (共6层),140.31㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-30,商品房,2016-12-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,得房率高，房子品质高，使用面积很多 ，房东诚心出售，价格从优,此小区配套齐全有菜场，物业品质有保障，安保24小时在岗！小区内有运动设施！,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利 房主自荐(业主对房源的描述),,,,,
