,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,适宜人群,售房详情,装修描述,户型介绍,别墅类型,权属抵押
93,金美林花园 1室1厅 南,75万,11030,新北区璜土,金美林花园,1室1厅1厨1卫,低楼层 (共15层),68㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-12-28,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,
94,金美林花园 精装修三房 好楼层 看房方便,92.8万,9597,新北区璜土,金美林花园,2室2厅1厨1卫,低楼层 (共11层),96.7㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-09-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 10万元,未上传房本照片,金美林花园，中间楼层、全天采光无遮挡，房东诚心出售，看房随时,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,距离恐龙园约3公里，公交站 交通便利 出行方便 交通便利，菜市场就近。,,有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库,,,,,,
95,龙城福 精装修  55平 有钥匙随时看房,53万,9706,新北区璜土,龙城福第,1室1厅1厨1卫,低楼层 (共18层),54.61㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-10,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"房格局好,南北通风户型,全天采光,户型方正视野好","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,"业主人很和善，诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同"
96,龙城福第 花园洋房 顶楼两层 总高 5楼,208万,11948,新北区璜土,龙城福第,4室2厅1厨2卫,高楼层 (共6层),174.1㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-06-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,龙城福第，纯毛坯 洋房 两层 、配套齐全、交通便利,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,,该小区交通便利，出门就是环保自行车，公交站，邻近地铁站、高铁站，高速口。,小区位于龙虎塘繁华地段 周 边 学 校 菜场 商场 酒店 银行 医院 地铁 BRT一应俱全,,,,,,
97,龙城福第 2室2厅 南,75万,8090,新北区璜土,龙城福第,2室2厅1厨1卫,中楼层 (共18层),92.71㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-09-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 10万元 建行,未上传房本照片,,,,,,,,,,,
98,龙城福第 花园洋房 带yuan子 精装修 拎包即住,125万,13488,新北区璜土,龙城福第,2室2厅1厨1卫,低楼层 (共6层),92.68㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-08-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房精装2房，通透敞亮，有园 子，全天采光，配套齐全,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，看房方便,,,,
99,龙城福第精装两室 刚需看过来  有钥匙 随时看房,82万,9964,新北区璜土,龙城福第,2室2厅1厨1卫,高楼层 (共33层),82.3㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-10-19,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,房子精装修的 地段优越 小区环境优美，出行方便,目前在常州首房首贷首付2成，二贷首付3成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,,,小区位于新北区恐龙园边上，龙虎塘板块， 出行方便 环境绿化都很好 安静和谐 欢迎看房,,,,房子是两室两厅一厨一卫的 ，客厅朝西，俩房朝南，采光好 每个房间都很独立 空间好,,
100,新上金美林花园简装三房 看房方便,81万,7233,新北区璜土,金美林花园,3室2厅1厨1卫,低楼层 (共11层),112㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2021-12-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,金美林花园，中间楼层、全天采光无遮挡，房东诚心出售,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",小区生活配套全 环境好 距离环球港2000米 距离恐龙园1500米,,,楼层低，适合老弱小孕居住，有电梯，配套齐全，公园，菜场近在眼前,,,,,
101,龙城福第 2室2厅 南,79万,9462,新北区璜土,龙城福第,2室2厅1厨1卫,低楼层 (共33层),83.5㎡,平层,暂无数据,暂无数据,南,未知结构,精装,两梯四户,有,暂无数据,2023-10-05,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 40万元,未上传房本照片,,,,,,,,,,,
102,文鑫苑精装小三房，重新出售，随时看房,89万,9176,新北区璜土,文鑫苑,3室2厅1厨1卫,低楼层 (共30层),97㎡,平层,暂无数据,塔楼,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2023-09-19,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,小区环境好 次新小区 房型好 高楼层 视野开阔,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税不满五唯一一个点,,,此小区为新小区，小区环境好，入住率百分之80，24小时安保，绿化比例2.2，适宜居住,,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同"
103,文鑫苑（世纪学府）满二年 142万 毛坯 180万 四房,140万,9860,新北区璜土,文鑫苑,4室2厅1厨2卫,高楼层 (共9层),142㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-06-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,"此房满二,楼层无遮挡,视野广阔，总高9层的洋房，户型方正",契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税不满五唯一一个点,,小区东门出门是公交站站台，3公里上青阳路高架，3公里左右上高速，去苏州，无锡，南京，都方便。,,,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同"
104,金美林花园 江阴产权价格，享受常州生活配套 精装急卖,119万,10545,新北区璜土,金美林花园,3室2厅1厨1卫,中楼层 (共16层),112.86㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-10,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 10万元,未上传房本照片,恐龙园旁，金美林花园，精装3房2卫，中间楼层，拎包入住,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,小区生活配套全 环境好 距离环球港2000米 距离恐龙园1500米，距离璜石湖公园1500米左右，坐拥双城生活圈,,业主自己住的房子 现在要换房子  所以诚意出售的 看房随时都可以,,此房精装3房2卫，户型好三房朝南，空间利用的好，视野开阔，优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴,,
105,南北通格局，楼层好，视野宽阔，采光充足,96万,9727,新北区璜土,金美林花园,2室2厅1厨1卫,中楼层 (共10层),98.7㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-05-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,南北通格局，楼层好，视野宽阔，采光充足,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,业主自住，看房方便，资金周转，诚心出售，价格可谈，随时可签。,,房子精装修，一房朝南，一房朝北，客厅带阳台，明厨明卫，通透性好,,
106,位置好，采光充足，楼间距宽，看房随时，交通便利,100万,8772,新北区璜土,金美林花园,3室2厅1厨2卫,低楼层 (共11层),114㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-03-03,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 业主自还,未上传房本照片,南北通透格局、楼层好、视野宽阔、采光充足、,,近恐龙园 *市 公交站 交通便利出行方便。。。。。。。。。。。,,配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库,来常就业和江阴工作的刚需客户不需要常州上学的可以买价格低、、、、,家一级资质房屋评估专业法律团队风险防范房屋交易资金银行第三方安全保证主动接受政府部门监督阳光操做,,,,
107,龙城福第 精装 70年产权 位置好 采光好,45万,8334,新北区璜土,龙城福第,1室1厅1厨1卫,高楼层 (共18层),54㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区位置安静 房子精装修 户型好 看房随时,"契税分析:首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",,本房精装，明厨明卫，干湿分离，适合老人和小3口居住。随时看房,,
108,有钥匙随时看 一室户型 卧室朝西 视野好 保养好干净,60万,11321,新北区璜土,龙城福第,1室1厅1厨1卫,中楼层 (共18层),53㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-10-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,龙城福第 、配套齐全、交通便利,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,出小区就是商场、酒店、健身馆、游乐场、大型综合商场等生活配套齐全,小区交通便利，出门就是环保自行车，公交站，邻近地铁站、高铁站，高速口,,,,,,,
109,龙城福第 54.61平方 精装修 家具家电齐全,45万,8241,新北区璜土,龙城福第,1室2厅1厨1卫,高楼层 (共18层),54.61㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区位置安静 房子精装修 户型好 看房随时,"契税分析:首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",,本房精装，明厨明卫，干湿分离，适合老人和小3口居住。随时看房,,
110,龙城福第 83.5平方 精装 二房二厅一卫 看上可谈,85万,10180,新北区璜土,龙城福第,2室2厅1厨1卫,低楼层 (共33层),83.5㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 23万元 建行 业主自还,未上传房本照片,龙城福第，自己装修的基本未住，中楼层好 、配套齐全、交通便利,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,出小区就是商场、连锁酒店、健身馆、游乐场、大型综合商场等生活配套齐全,小区交通便利，出门就是环保自行车，公交站，邻近地铁站、高铁站，高速口,,,,,,,
111,小区边上有菜市场，信特卖场，公交站台，生活交通便利,55万,7816,新北区璜土,金美林花园,2室1厅1厨1卫,中楼层 (共11层),70.37㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-14,商品房,2018-01-14,普通住宅,暂无数据,共有,有抵押,已上传房本照片,房东急售 ，价格可谈 小高层，采光无遮挡，房东诚心.,存量房需要缴纳个人所得税1%。契税，若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套及以上为3%。,此小区边上有玲珑菜市场，信特卖场，公交站台，BRT，生活交通便利,,,此房总价比较低，很适合首付不够，总房价预算低的，适合一家三代人居住,,,,,
112,文鑫苑 117平方 毛坯 楼层好 三房二卫,86万,7351,新北区璜土,文鑫苑,3室2厅1厨2卫,中楼层 (共33层),117㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯四户,有,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 江阴农行,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
113,中等装修   好楼层  房东诚心出售   价格好谈,56万,10702,新北区璜土,龙城福第,2室1厅1厨1卫,中楼层 (共18层),52.33㎡,平层,暂无数据,板塔结合,东北,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
114,金美林花园96平方 毛坯 75万,75万,7813,新北区璜土,金美林花园,2室2厅1厨1卫,中楼层 (共11层),96㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
115,恐龙园板块 房子新 精装修....,90万,9000,新北区璜土,金美林花园,3室1厅1厨1卫,中楼层 (共11层),100㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,恐龙园旁精装修 随时可看 户型方正,,商城 菜场 都有 生活很便捷 价格合适户型方正 精装修 ..,,,适宜人群: 适合刚需和养老 小区环境新 精装修 保养好 电梯房 产权清晰,精装修 一直自住的 保养的比较好 可以拎包入住 电梯房 ......,,,,
116,双阳台 露台 花园洋房  总高六楼 126平方 毛坯,115万,9127,新北区璜土,龙城福第,3室2厅1厨2卫,中楼层 (共5层),126㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 40万元 江阴邮政,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
117,房东诚心出售  价格好谈 小区地理位置好 看房提前联系,100万,8254,新北区璜土,龙城福第,3室2厅1厨2卫,高楼层 (共33层),121.16㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
118,金美林花园 3室2厅 南,105万,9316,新北区璜土,金美林花园,3室2厅1厨1卫,低楼层 (共14层),112.72㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-05,商品房,2021-11-24,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,,,,,,,,,,,
119,中间楼层，采光好，房东诚心 出售，价格好谈，,88万,7720,新北区璜土,龙城福第,3室2厅1厨1卫,中楼层 (共33层),114㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
120,金美林精装刚需两室无需等电梯随时出入,72万,7362,新北区璜土,金美林花园,2室1厅1厨1卫,低楼层 (共11层),97.8㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-30,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 40万元,未上传房本照片,恐龙园旁精装修  随时可看 户型方正,,商城 菜场 都有 生活很便捷 价格合适户型方正 精装修 ..,,,适宜人群: 适合刚需和养老 小区环境新 精装修 保养好 电梯房 产权清晰,精装修 一直自住的 保养的比较好 可以拎包入住 电梯房 低楼层,,,,
121,单价便宜  中间楼层  采光刺眼  拎包入住,82万,8862,新北区璜土,龙城福第,2室1厅1厨1卫,低楼层 (共18层),92.54㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
122,值得一看别墅 地下室土建窗户都已完成 直接装修入住,380万,16522,新北区璜土,碧桂园百兴澜庭,4室2厅1厨4卫,低楼层 (共3层),230㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2024-03-10,商品房,暂无数据,别墅,暂无数据,共有,有抵押 100,未上传房本照片,此房土建已经做好，房东把应该做的都做好了，值得一看,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,此房北进户南花园，地上三层毛坯可以自行改造设计，地下室土建已经建好,暂无数据,
123,纯毛坯   好楼层  房东诚心出售   价格好谈,90万,7965,新北区璜土,龙城福第,3室2厅1厨1卫,低楼层 (共18层),113㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
124,金美林花园 3室2厅 南,110万,9650,新北区璜土,金美林花园,3室2厅1厨1卫,高楼层 (共14层),114㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-08,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,
125,单价便宜  中间楼层  采光刺眼  拎包入住,72万,8182,新北区璜土,龙城福第,2室2厅1厨1卫,中楼层 (共24层),88㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
126,中间楼层 采光好 房东诚心 价格好谈 看房提前约,105万,8678,新北区璜土,龙城福第,3室2厅1厨2卫,低楼层 (共33层),121㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
