,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,适宜人群,售房详情,装修描述,户型介绍,别墅类型,权属抵押
127,文鑫苑 3室2厅 南,116.8万,9983,新北区璜土,文鑫苑,3室2厅1厨2卫,高楼层 (共30层),117㎡,平层,暂无数据,平房,南,钢混结构,精装,三梯六户,有,暂无数据,2024-03-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,
128,恐龙园旁 文鑫苑 纯毛坯洋房 楼层好 户型好 得房率高,149万,10445,新北区璜土,文鑫苑,4室2厅1厨2卫,中楼层 (共9层),142.66㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-31,商品房,2020-06-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房纯毛坯 洋房 得房率高 门口有使用面积 随时可看 业主诚售,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透 没有浪费面积 功能实用,,
129,金美林花园，业主诚售，价格可谈,95万,10068,新北区璜土,金美林花园,3室2厅1厨2卫,高楼层 (共11层),94.36㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-29,商品房,2017-08-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房为毛坯顶楼复式，可以根据自己喜欢的风格装修,存量房需要缴纳个人所得税1%。契税，若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套及以上为3%。,此小区边上有玲珑菜市场，信特卖场，公交站台，BRT，生活交通便利。,,,此房总价比较低，很适合首付不够，总房价预算低的，适合一家三代人居住,,,,,
130,米兰阳光花苑 花园洋房 小高层 108平方 88万,85万,7866,新北区璜土,米兰阳光花苑,3室2厅1厨1卫,中楼层 (共5层),108.07㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-25,商品房,2020-12-23,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,米兰阳光，江阴产权，毛坯房，好楼层，前后无遮挡，采光佳,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,环境优美，绿化充足；：自驾：通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店,,有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库,,,,,,
131,碧桂园百兴澜庭，毛坯房，看房方便，有钥匙,112万,8659,新北区璜土,碧桂园百兴澜庭,3室2厅1厨2卫,低楼层 (共21层),129.36㎡,暂无数据,暂无数据,塔楼,南,砖混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-26,商品房,2018-10-27,普通住宅,暂无数据,共有,有抵押 50万元 建设,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
132,出售富琛花园别墅纯毛坯带院子户型佳采光无遮挡,645万,17528,新北区璜土,富琛苑,6室2厅1厨6卫,低楼层 (共3层),368㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2023-06-19,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,毛坯，大院子，得房率高，优价 采光充足,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%,,交通方便，公交一应俱全，出行很是方便，不用担心出行，为以后的购物生活打下了基础,,布局合理，无浪费面积，小区安静舒适，环境优，恐龙园近 小区环境很好，居住人群素质较高，邻里关系很和睦，生活起来很舒服。,业主改善 ，看房方便， 诚心出售 ，随时都可以 签约 ，配套齐全，生活出行很方便，小区安全性能高！,,,暂无数据,
133,新出！格局分布合理，空间感好，通透性强,80万,8300,新北区璜土,龙城福第,2室2厅1厨1卫,中楼层 (共33层),96.39㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-11-22,商品房,2020-04-20,普通住宅,满两年,共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
134,交通方便 看房子方便 房东诚心卖  江阴的房子,330万,14348,新北区璜土,碧桂园百兴澜庭,4室2厅1厨2卫,低楼层 (共3层),230㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2022-08-08,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正，楼层好，采光足，配套齐全，价格实惠,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，有钥匙看房方便,,,暂无数据,
135,两房 自住装修 房间有地暖 房东置换诚心出售,68万,9664,新北区璜土,金美林花园,2室1厅1厨1卫,中楼层 (共11层),70.37㎡,暂无数据,62㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-07,商品房,2017-08-10,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,金美林花园，精装两室、中间楼层、全天采光无遮挡，房东诚心出售,存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下， 收取契税为：1%， 90㎡ 以上契税：1.5%， 二套房90㎡及以下依旧：1%， 若90㎡以上：2%,距离恐龙园约3公里，公交站 交通便利 出行方便 交通便利，菜市场就近,,有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库,,,,小区是次新小区，户型是两个卧室朝南的户型。小高层，前排采光好,,
136,米兰阳光花园精装三房，诚心出售，随时看房,100万,10518,新北区璜土,米兰阳光花苑,3室2厅1厨1卫,高楼层 (共15层),95.08㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-05-23,商品房,2021-06-25,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,米兰阳光，江阴产权，精装修，好楼层，前后无遮挡，采光佳,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,环境优美，绿化充足；：自驾：通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店,,有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库,,,,,,
137,百兴澜庭别墅，户型好，位置佳，房东诚意出售,325万,14255,新北区璜土,碧桂园百兴澜庭,5室2厅1厨2卫,低楼层 (共3层),228㎡,暂无数据,暂无数据,平房,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2021-12-20,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 100万元,未上传房本照片,房子是别墅，卖一套少一套啊，房东诚意出售,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",小区生活配套全 环境好 距离环球港2000米 距离恐龙园1500米,,小区地理位置佳，绿化高，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,
138,精装修 龙城福第，客厅带阳台，落地窗,60万,7203,新北区璜土,龙城福第,2室2厅1厨1卫,高楼层 (共33层),83.3㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-02-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 35万元 35 客户偿还,未上传房本照片,小区大，视野很好，适合大人老人小孩居住。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,出小区就是五洲商场、连锁酒店、健身馆、大型综合商场等生活配套齐全。,,,,,,此房后面是别墅区，视野开阔，采光好，客厅带阳台户型、刚需可以利用空间多,,
139,恐龙园商旅圈/环球港旁坡地景观类独立别墅,668万,17749,新北区璜土,龙城福第,5室2厅1厨4卫,低楼层 (共3层),376.37㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2023-04-11,商品房,2015-08-20,别墅,暂无数据,共有,无抵押,已上传房本照片,地段好/生活设施齐全，房型好客厅挑高，每层有露台，有花园车库,,中华恐龙园，迪诺水镇，网红汉江路，环球港湾，五洲国际广场，观堂大酒店等。,龙城福第近临常澄公路，西望通江大道，东有青洋北路，南有沪宁高速，快速可抵新北市府区，亦方便快速抵达市区。目前有公交33路和302路，还有一号地铁线。交通便捷，出行方便！,龙城福第采用当代欧式风格与中国传统元素相结合，首创式将坡地景观引入社区，丰富的景观层次、多资的色彩变化、有序的景观空间开合。同时与的中间湖景相结合，使居于其间，充分领略生活之美。小区配备了会所、桌球馆、全场篮球场、网球场、乒乓球馆登设施。,,,,别墅共三层加地下室，一楼客厅挑高朝东南向，明亮有空间，餐厨一体化，一楼有北卧，南独立车库。二楼三卧室有北大露台，视野开阔景观好，三楼主卧套间设计加东露台，景观一览无余。位置好，地下室明亮不返潮。,暂无数据,
140,米兰阳光花苑 95平方 精装 三房,75万,7829,新北区璜土,米兰阳光花苑,3室2厅1厨1卫,中楼层 (共16层),95.8㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2023-07-31,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区位置安静 小高层 中上楼层 居住舒适，精装修未入住,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税..,环境优美，绿化充足，靠黄河路，通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店。靠龙虎塘社区，配套齐全,,小区环境好，绿化充足；通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店入住率百分之80，24小时安保，绿化比例2.2,,,,,,
141,花园洋房 总高5楼 有电梯 118平方 双阳台,98万,8306,新北区璜土,龙城福第,3室2厅1厨1卫,中楼层 (共6层),118㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,卖点： 江阴产权，看房方便，诚心出售，交通便利。 洋房,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均.3,配套： 出小区就是五洲商场、连锁酒店、健身馆、游泳馆、小湖综合菜市场水产市场,,小区位置好，邻近别墅区，人文素质高，物业管理好，安全设施齐全,,,,,,
142,龙城福第，三房朝南，南北通透，有钥匙，看中可谈,89万,6860,新北区璜土,龙城福第,3室2厅1厨2卫,低楼层 (共18层),129.74㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,暂无数据,暂无数据,暂无数据,2023-10-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,龙城福第，纯毛坯，3室2厅2卫，楼层好，采光佳，交通便利,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，契税为：1%。90㎡以上契税：1.5%。 二套房90㎡及以下依旧：1%，若90㎡以上将2%。三套房不论面积大小契税均按照3%,近有五洲国际商场，春潮购物广场，小湖市场，环球港、基本的生活设施都有。,,小区属于江阴产权，和常州一路之隔，地理位置优越，交通 便 利,,,,,,
143,龙城福第 95.3平方 毛坯 79.9万 价格可谈,68万,7136,新北区璜土,龙城福第,2室2厅1厨1卫,低楼层 (共18层),95.3㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-30,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 35万元 平安银行 客户偿还,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%..,,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,纯毛坯 业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,,,
144,碧桂园百兴澜庭，小高层3室，户型方正，中间好楼层,85万,9677,新北区璜土,碧桂园百兴澜庭,2室1厅1厨1卫,中楼层 (共9层),87.84㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,碧桂园百兴澜庭，三室两厅一卫，户型方正，中间好楼层,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,,户型方正，三室两厅，1梯2户，边上别墅，没有遮挡，随时可以看房,,
145,米兰阳光精装未入住，3房，中上楼层，满2年，看房方便,95万,7983,新北区璜土,米兰阳光花苑,3室2厅1厨2卫,中楼层 (共10层),119.01㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-04-18,商品房,2020-08-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区位置安静 小高层 中上楼层 居住舒适，精装修未入住,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税..,环境优美，绿化充足，靠黄河路，通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店。靠龙虎塘社区，配套齐全,,小区环境好，绿化充足；通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店入住率百分之80，24小时安保，绿化比例2.2,,,,,,
146,文鑫苑（世纪学府）98平方 毛坯 90万 三房,85万,8725,新北区璜土,文鑫苑,3室2厅1厨1卫,高楼层 (共30层),97.43㎡,暂无数据,暂无数据,塔楼,南 北,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2022-12-10,商品房,2020-07-31,普通住宅,暂无数据,共有,无抵押,已上传房本照片,新小区，位置好，楼层好，采光充足，视野开阔,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,碧桂园华星·世纪学府小区，环境优美，绿化充足；：自驾：通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店,,小区环境好入住率百分之80，24小时安保，绿化比例2.2..,,,,此房是三开间朝南，毛坯房，装修设计自由，户型好，采光很好，3室2厅1厨1卫，视野开阔,,
147,出售 龙城福第三房 精装楼层佳 采光无遮挡拎包入住,113万,9913,新北区璜土,龙城福第,3室2厅1厨1卫,低楼层 (共32层),114㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-07-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子精装修的 地段优越 小区环境优美，出行方便,目前在常州首房首贷首付2成，二贷首付3成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,,,小区位于新北区恐龙园边上，龙虎塘板块， 出行方便 环境绿化都很好 安静和谐 欢迎看房,,,,房子是三室两厅一厨一卫的 ，客厅朝西，俩房朝南，采光好 每个房间都很独立 空间好,,
148,米兰阳光简装3房，交通便利，诚心出售,75万,7889,新北区璜土,米兰阳光花苑,3室2厅1厨1卫,低楼层 (共16层),95.08㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,两梯两户,有,暂无数据,2023-05-05,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,视野开阔，采光充足，配套设施齐全，交通便利,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,距离恐龙园约3公里，公交站 交通便利 出行方便 交通便利，菜市场就近。近恐龙园（以侏罗纪为主题的公园），边上环球港和五洲国际两家综合体让你吃 喝 玩 乐一处全满足。,,,,业主置换，改善换房，计划和老人孩子一起住，看房提前约，业主随时可以签约,,,,
149,恐龙园旁精装修 产权清晰 中间楼层 随时可看 户型房子,63万,8490,新北区璜土,金美林花园,2室1厅1厨1卫,低楼层 (共16层),74.21㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,恐龙园旁精装修           中间楼层 随时可看 户型方正 精装..,,商城 菜场 都有 生活很便捷 价格合适户型方正 精装修 ..,,,"适宜人群:删除
适合刚需和养老 小区环境新 精装修 保养好 电梯房 产权清晰",,精装修 一直自住的 保养的比较好 可以拎包入住 电梯房 中间楼层,,,
150,此房精装修 ，视野开阔，采光充足有一个院子,103万,9200,新北区璜土,碧桂园百兴澜庭,3室2厅1厨2卫,低楼层 (共30层),111.96㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-10,商品房,2020-10-10,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房精装修 ，视野开阔，采光充足有一个院子,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,户型方正，三室两厅两卫，双阳台，两梯4户，边上别墅，没有遮挡，随时可以看房,,
151,江阴的房子 靠常州 楼层好 房东诚心 卖,105万,9349,新北区璜土,碧桂园百兴澜庭,3室2厅1厨2卫,高楼层 (共33层),112.32㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-10,商品房,2020-08-10,普通住宅,暂无数据,共有,有抵押,已上传房本照片,户型方正.采光充足.交通便利.配套齐全,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同
152,龙城福第 3室2厅 南,79万,6521,新北区璜土,龙城福第,3室2厅1厨2卫,低楼层 (共33层),121.16㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-03-27,商品房,2020-12-11,普通住宅,暂无数据,共有,有抵押 32万元 业主自还,已上传房本照片,,,,,,,,,,,
153,龙城福第，中上楼层，看房方便，房东诚售,120万,9250,新北区璜土,龙城福第,3室2厅1厨2卫,高楼层 (共18层),129.73㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-07-18,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,江阴产权，看房方便，诚心出售，交通便利。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,出小区就是五洲商场、连锁酒店、健身馆、游泳馆、小湖综合菜市场水产市场,,小区位置好，邻近别墅区，人文素质高，物业管理好，安全设施齐全,,,,,,
154,龙城福第别墅 位置安静 院子大 居住舒适,798万,26164,新北区璜土,龙城福第,5室2厅1厨2卫,低楼层 (共3层),305㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境好 绿化高 房子使用面积大 院子大,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,,小区环境优雅 安静 居住舒适安全 物业管理严格，让身处闹市的我们有一片闲静的空间,,,这套房子是毛坯的 装修中的改动空间很大。可以根据自己的风格进行改造,,,
155,文鑫苑 3室2厅 南 北,106万,9218,新北区璜土,文鑫苑,3室2厅1厨2卫,高楼层 (共30层),115㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,毛坯,三梯六户,有,暂无数据,2023-07-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,
156,恐龙园旁 小洋房总价低得房率高,115万,10088,新北区璜土,龙城福第,3室2厅1厨2卫,中楼层 (共6层),114㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子是洋房  毛坯的 地段优越 小区环境优美，出行方便,目前在常州首房首贷首付2成，二贷首付3成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,,,小区位于新北区恐龙园边上，龙虎塘板块， 出行方便 环境绿化都很好 安静和谐 欢迎看房,,,,房子是三室两厅一厨两卫的 ，户型中规中矩，采光好 每个房间都很独立 空间好,,
